h i n o r ɨ	h ɨ n o
n a k ɨ	n a k ɨ
r ɨ	r ɨ
t a	t a
p o ts e j a	p o ts e j a
ɨ n a	ɨ n a
n i k a	n i k a
n e n ɨ	n e n ɨ
t o p a t a	ts o p a t a
h i p i	s i
t i n ɨ	t e n ɨ
k a	k a
h i p u k	h ɨ p u
j u k i	j u k i
h a a h m ɨ n a	m ɨ n a
h o k a	h o k a
p u k u	p u k u
h i r e k a	h i r e k a
t a p a r i	t a p a r i
t i k a	t i k a
m e k ɨ	m e k ɨ
s ɨ p ɨ r ɨ	s ɨ p ɨ r ɨ
a k ɨ r o	a k ɨ r o
t u k a ts i	a t u k a ts i
p i	p i
ts i n a	ts i n a
p i k a	p i k a
k a	k a
s ɨ w a	s ɨ w a
k a k ɨ t ɨ	k a k ɨ t ɨ
p u r ɨ	p u r ɨ
h e k u r u	h e k u r u
t a	t a
s i j u	s i j u
k e r ɨ	k e r ɨ
h i r a r ɨ	h i r a r ɨ
s i k a	s i k a
s i m a	s i m a
r a p ɨ t a	r a p ɨ
p ɨ n a	p ɨ n a
j a k a	j a k a
h i m a t u k ɨ ts i	h i m a t u k ɨ
m a p i ts i r i	m a p i ts i r i
h a p i ɨ r ɨ	h a p ɨ k ɨ r ɨ
h i w a k a	h ɨ w a k a
s a t u	s ɨ t u
t a i	t a
k i t i	k i t i
k a i n a	k a i n a
k a n a w a	k a n a w a
a w a	a w a
i k ɨ r e	tʃ i k a r e
h e p i	h e p i
k ɨ w ɨ	k ɨ w ɨ
k a p s i	k a p i s i r i
h i n a	h i n a
k a ts i t i	k a ts i t ɨ
a p a	a p a
p o t u	p o t u
k a t u p a r ɨ	k a ts u p a r ɨ
p i n i	p i n i
n a n ɨ	n a n ɨ
ts i	ts i
h u p a i	h u p a i
h ɨ p o	h a p o
s a n ɨ	s a n ɨ
a t u k ɨ r ɨ	a t u k ɨ r ɨ
t a r a	t a r a h a
k u ts i	k u ts i
n a ts i	n a ts i
m e k a n i	m e k a n i
s i w e j u r ɨ	s i w e j u r ɨ
h a t ɨ	h ɨ t ɨ
p ɨ t a a n a	p ɨ t a h a n a
h a m e	h a m e
k i p a	k i p a
k a p e t a	k a p e t a
p u t ɨ	p u t ɨ
h i m a k a	h i m a k ɨ
k a s ɨ r ɨ	k a s ɨ r ɨ
m a p a	m a p a
k u p a r ɨ	k u p a r ɨ
h ɨ r a k a	h ɨ r a
n a t u	n a t u
k ɨ p a r ɨ	k ɨ p a r ɨ
ts e r ɨ	ts e r ɨ
h i m e n ɨ	h ɨ m e n ɨ
m e r i t i	m e r i t i
p o	p o
r o	r o
k ɨ s i	k ɨ s i
s ɨ t o	s ɨ t i o
ɨ r ɨ	h ɨ r ɨ
k e n a k o	k e n a
j u k a n a	j u k a n a
a h a	t a k ɨ
k a p a	k e p a
ɨ h a k n ɨ	ɨ k ɨ n ɨ
k e m a	k e m a
