m i ɴ ⁵⁵	ˀm i n ⁵⁵
tʰ ə ¹¹	tʰ ə ¹¹
s ei ¹¹	s ei ¹¹
p ə j ⁰	p ə ⁰
s ei ⁵⁵	s ei ⁵⁵
kʰ u ɴ ⁵⁵	cʰ u ɴ ⁵⁵
s r a ⁵⁵	s r a ⁵⁵
kʰ ei ⁵⁵	kʰ ei ⁵⁵
b ə ŋ ⁵⁵	b ə ŋ ⁵⁵
g ə ⁵⁵	k ə ⁰
ˀb ɴ u ŋ ¹¹	ˀb l u ŋ ¹¹
ʔ a m ¹¹	ʔ a m ¹¹
kʰ w au ⁵⁵	kʰ w au ⁵⁵
ˀb a ⁵⁵	ˀb a ⁵⁵
kʰ p ei ⁵⁵	kʰ w i ⁵⁵
n e ŋ ¹¹	n̥ e ŋ ¹¹
pʰ e ⁵⁵	pʰ e ⁵⁵
l ou ¹¹	l̥ ou ¹¹
cʰ a ¹¹	cʰ a ¹¹
ʔ ə ŋ ⁵⁵	ʔ ə ŋ ⁵⁵
tʰ ɔ ʔ̚ ⁵¹	tʰ ɔ ʔ̚ ⁵¹
j ɨ m ¹¹	j ɨ m ¹¹
tʰ w a ɴ ɴ ¹¹	tʰ w a ɴ ¹¹
ˀb ei ¹¹	ˀb i ¹¹
d ə ⁰	t ə ⁰
j ɔ ʔ̚ ⁵¹	ɲ̊ ɔ ʔ̚ ⁵¹
g ə ⁰	g ə ⁰
r a n ¹¹	r a ɴ ¹¹
s a ɴ ⁵⁵	s a ɴ ⁵⁵
ʔ o ¹¹	ʔ o ¹¹
m ɨ ¹¹	m ɨ ¹¹
j i ⁵⁵	j ai ⁵⁵
d e ⁵⁵	d e ɴ ⁵⁵
pʰ ɔ ʔ̚ ⁵¹	pʰ ɔ ʔ̚ ⁵¹
b l ɛ ʔ̚ ⁵¹	b l ɛ ʔ̚ ⁵¹
ˀd w ɛ ¹¹	ˀd w ɛ ¹¹
ʔ ɔ ⁵⁵	ʔ ɔ ⁵⁵
n̥ ɨ m ⁵⁵	n ɨ m ⁵⁵
s a ʔ̚ ⁵¹	s a ʔ̚ ⁵¹
s a ʔ̚ ⁵¹	s a ʔ̚ ⁵¹
d ɛ ʔ̚ ⁵¹	d ɛ ʔ̚ ⁵¹
ˀb ə ¹¹	ˀb ə ¹¹
tʰ w i ¹¹	tʰ w i ¹¹
r̥ ə ŋ ¹¹	r o ŋ ¹¹
g ə ⁰	k ə ⁰
r ə ⁵⁵	t r e ⁵⁵
b r e ʔ̚ ⁵¹	b r e ʔ̚ ⁵¹
k l a ⁵⁵	k l a ⁵⁵
s a ¹¹	s a ¹¹
s r ɔ ¹¹	s r ɔ ¹¹
l̥ ɛ ⁵⁵	l w ɛ ⁵⁵
ɟ a ¹¹	ɟ a ¹¹
n u ʔ̚ ⁵¹	n ə ʔ ⁵¹
cʰ ɴ a ɴ ¹¹	cʰ j a ɴ ¹¹
n ɔ ʔ̚ ⁵¹	n̥ ɔ ʔ̚ ⁵¹
b l ei ⁵⁵	b l ei ⁵⁵
l w i ¹¹	l w i ¹¹
ʔ a ⁵⁵	ʔ a ⁵⁵
m̥ ɛ ʔ̚ ⁵¹	m ɛ ʔ̚ ⁵¹
ˀb a ŋ ¹¹	ˀb a ŋ ¹¹
kʰ e ⁵⁵	kʰ e ⁵⁵
kʰ o ¹¹	kʰ o ¹¹
ʔ ɛ ɴ ¹¹	ʔ j ɛ n ¹¹
s ə ⁵⁵	s u ⁵⁵
d a ⁵⁵	t ə ʔ̚ ⁰
l ɛ ¹¹	l ɛ ¹¹
d ɨ m ⁵⁵	d ɨ m ⁵⁵
tʰ a ⁵⁵	tʰ a ⁵⁵
ɟ w i ʔ̚ ⁵¹	c w i k̚ ⁵¹
d o ŋ ¹¹	d o ŋ ¹¹
l a ʔ̚ ⁵¹	l a ʔ̚ ⁵¹
ʔ ɛ ŋ ¹¹	ʔ ɛ ɴ ¹¹
d a ʔ̚ ⁵¹	t a ʔ̚ ⁵¹
kʰ r ei ¹¹	kʰ r ei ¹¹
l a m ⁵⁵	l a m ⁵⁵
ˀb w a ⁵⁵	ˀb w w a ⁵⁵
ˀd ei ¹¹	ˀd ei ¹¹
b e ŋ ⁵⁵	b e ŋ ⁵⁵
s w a ¹¹	s w w a ¹¹
kʰ r a ¹¹	g r a ¹¹
d o ¹¹	d o ¹¹
l a ŋ ¹¹	l̥ a ŋ ¹¹
ʔ ou ⁵⁵	kʰ r ou ⁵⁵
m ə ŋ ¹¹	m ə ŋ ¹¹
n̥ w i ⁵⁵	ˀn w e t̚ ⁵¹
kʰ u ʔ̚ ⁵¹	kʰ u k̚ ⁵¹
tʰ u ⁵⁵	tʰ u ⁵⁵
m e ¹¹	m e ¹¹
r̥ e ¹¹	r e ¹¹
l o ɴ ⁵⁵	l o ⁵⁵
l a ŋ ⁵⁵	l a ŋ ⁵⁵
g au ɴ ⁵⁵	g a ŋ ⁵⁵
l o ʔ̚ ⁵¹	l o ʔ̚ ⁵¹
l̥ ei ¹¹	l̥ ai ¹¹
g i ⁵⁵	k i ⁵⁵
p l o ŋ ¹¹	p l o ŋ ¹¹
k ə ʔ ⁰	k o t ⁵⁵
pʰ r ɔ ⁵⁵	pʰ r ɔ ⁵⁵
r̥ e ŋ ⁵⁵	r̥ e ŋ ⁵⁵
m ɨ ɴ ⁵⁵	m w ɨ ɴ ⁵⁵
kʰ ei ¹¹	kʰ ei ¹¹
ˀd ə ⁵⁵	ˀd ə ⁵⁵
pʰ e ʔ̚ ⁵¹	pʰ e ʔ̚ ⁵¹
n a ¹¹	n a ¹¹
kʰ i ʔ̚ ⁵¹	kʰ i ʔ̚ ⁵¹
l ou ¹¹	l̥ ou ¹¹
ʔ ɔ ʔ̚ ⁵¹	kʰ r ɔ t ⁵¹
r e ʔ̚ ⁵¹	r e ʔ̚ ⁵¹
c e ¹¹	c e ¹¹
m̥ a ɴ ⁵⁵	m̥ a ɴ ⁵⁵
d ə ŋ ¹¹	d ə ŋ ¹¹
ŋ j e ⁵⁵	ŋ j ai ⁵⁵
ˀb a ¹¹	ˀb a ¹¹
kʰ ei ⁵⁵	kʰ ə ⁰
l ei ⁵⁵	l ei ⁵⁵
l̥ i ʔ ¹¹	l̥ i ¹¹
m a ⁵⁵	m a ⁵⁵
kʰ l̥ au ¹¹	kʰ l ɔ ¹¹
g a ŋ ⁵⁵	g a ŋ ⁵⁵
l̥ ei ⁵⁵	l ei ⁵⁵
cʰ w ɛ ¹¹	cʰ w ɛ ¹¹
n e ⁵⁵	n̥ e ⁵⁵
cʰ ou ¹¹	cʰ r ou ¹¹
tʰ ə ŋ ¹¹	tʰ ə ŋ ¹¹
cʰ ɴ a ɴ ⁵⁵	cʰ j a ɴ ⁵⁵
kʰ w i ⁵¹	kʰ w i t ⁵¹
ˀb a ɴ ⁵⁵	ˀb a ŋ ⁵⁵
ɴ ə ⁵⁵	n̥ ei ⁵⁵
k ə ⁰	k ə ⁰
l a ¹¹	l̥ a ¹¹
w a ⁵⁵	g w a ⁵⁵
p r u ⁵⁵	p r u ⁵⁵
r ə ʔ̚ ⁵¹	r ə ʔ̚ ⁵¹
pʰ ə ¹¹	pʰ ə ¹¹
n o ʔ̚ ⁵¹	n o k̚ ⁵¹
k r a ʔ̚ ⁵¹	k j a ʔ̚ ⁵¹
p a ʔ̚ ⁵¹	p ə ʔ̚ ⁰
m̥ ei ⁵⁵	m̥ ei ⁵⁵
tʰ a ¹¹	tʰ a ¹¹
p l a ⁵⁵	p l a ⁵⁵
j a n ¹¹	j a m ¹¹
ʔ̚ w i ¹¹	ʔ w i ¹¹
m u ¹¹	m u ¹¹
d ɔ ŋ ¹¹	d ɔ ŋ ¹¹
c i m ¹¹	ɟ i m ¹¹
kʰ ɔ ʔ̚ ⁵¹	kʰ ɔ ʔ̚ ⁵¹
ˀb w ɛ ⁵⁵	p w ɛ ⁵⁵
s r ei ¹¹	s r ei ¹¹
p l̥ a ¹¹	p l a ¹¹
l ə ʔ̚ ⁰	l a ʔ̚ ³³
s ə ⁰	s ə ⁰
n i ⁵⁵	n̥ i ⁵⁵
p ə ¹¹	p ə ¹¹
b r a ⁵⁵	b r a ⁵⁵
s ɨ ɴ ¹¹	s w ɨ n ¹¹
m ei ¹¹	m̥ ei ¹¹
cʰ ɨ m ⁵⁵	cʰ ɨ m ⁵⁵
k l ə ʔ̚ ⁵¹	k l ə ʔ̚ ⁵¹
p u ¹¹	b o ¹¹
k i ¹¹	k i ¹¹
s u ɴ ¹¹	s u n ¹¹
ˀb e ŋ ¹¹	ˀb e ŋ ¹¹
l u ⁵⁵	l u ⁵⁵
d ɛ ʔ̚ ⁵¹	d ɛ ʔ̚ ⁵¹
cʰ ɛ ŋ ⁵⁵	cʰ ɛ ŋ ⁵⁵
l ei ⁵⁵	l ei ⁵⁵
s w i ¹¹	s w i ¹¹
cʰ a ⁵⁵	cʰ a ⁵⁵
ɲ̊ ə ⁵⁵	ɲ̊ a ¹¹
k ə ¹¹	k ə ⁰
j o ⁵⁵	j o ⁵⁵
g l̥ ɛ ⁵⁵	k l ɛ ⁵⁵
ʔ u ⁵⁵	ʔ u ⁵⁵
k w a n ¹¹	g l a m ¹¹
m ə ¹¹	m ə ¹¹
j ɛ ʔ̚ ⁵¹	j ɛ ʔ ⁵¹
kʰ a ¹¹	kʰ a ¹¹
d a ɴ ⁵⁵	t ə ʔ̚ ⁰
kʰ l ei ¹¹	kʰ l ei ¹¹
l u ¹¹	l u ɴ ¹¹
s ə m ⁵⁵	s ə m ⁵⁵
tʰ a m ⁵⁵	tʰ a m ⁵⁵
