o o ⁴	χ ɯ ⁴
ts i ²	ts i ²
ʈ w æ n ²	ʈ w æ n ²
tʲ ɔ ¹	d ɔ ¹
⁴ w a ¹	ɕ w i ²
ɣ ɯ ²	ɣ ɯ ²
n i ²	n j i ⁴
dz o ⁴	dz o ⁴
d o ŋ ²	d j o ŋ ²
d j æ n ¹	t æ ¹
b ɯ ¹	b ɯ ¹
j ⁴ ¹	b j o ²
b e ¹	b e ¹
s j i ²	s j i ²
b u ²	b ɯ ²
ts o ²	k r o ²
s u ŋ ³	s u ŋ ³
ŋ ɔ ¹	ŋ ɔ ¹
s w a n ¹	s w a ŋ ²¹
n j o ŋ ⁴	ŋ j o ŋ ⁴
n ɛ ¹	n ɛ ¹
d r ɯ ³	d r ɯ ³
k u n ¹	ɣ o ŋ ¹
m o ²	m ø ²
⁴ o ⁴	ʔ o ⁴
j o ŋ ²	n j o ŋ ²
p o ²	p j o ²
sʰ o ⁴	sʰ o ⁴
k o ⁵	k o ⁵
j a ⁴	j a ⁴
ŋ o ŋ ²	ŋ u ²
p j ɛ ²	p j ɛ ²
ʈ r ɯ ²	ʈ ɯ ²
m o ²	m ø ²
q æ ⁴	q æ ⁴
k ɯ ¹	k ɯ ¹
d j ɯ ⁴	t ɯ ⁴
d r ɯ̃ ¹	d r ɯ̃ ¹
tʰ u ²	tʰ j u ²
m ɛ ⁵	m ɛ ⁵
k w ɛ ¹	k w ɛ ¹
l ɔ ¹	l a ¹
s r ɯ ²	sʰ r ɯ ²
q ɯ ¹	q ɯ ¹
b j o ⁴	b j o ⁴
¹ o ²	p u ²
