ŋ a k ⁴	ˀŋ a k ⁴
k e ¹	tʃ i ¹
m j u k ⁴	m j u k ⁴
d a t ⁴	d a t ⁴
d o ²	d o ²
m j u ¹	m j u ¹
k r k ²	ˀk j u ³
k k ²	tʃ i ²
k i ²	n i ŋ ²
m i ŋ ¹	m i ŋ ¹
j a b ⁴	j a p ⁴
k m i k ⁴	ˀk i k ⁴
a a ŋ ¹	p a ŋ ¹
w u t ⁴	w a p ⁴
ʃ u m ²	s u m ²
a a ²	dʒ ui ²
ˀl a ⁴	l a ³
k a ŋ ¹	n a ŋ ¹
d m k ⁴	ˀt i k ⁴
ŋ u ¹	ŋ ui ¹
p j a k ⁴	b j a k ⁴
l a k ⁴	l a k ⁴
l i ¹	l i ¹
a m ¹	ʔ a m ¹
m a k ¹	m a k ⁴
d i a ²	d i ŋ ²
l i k ⁴	l i k ⁴
a a ²	ˀt a ŋ ²
m a ⁴	m a ³
m i ²	m e ²
ŋ a ¹	ˀŋ a n ¹
a a a ⁴	ˀs u t ⁴
b j a m ¹	b j a m ¹
w a ¹	w ai ¹
k a m ²	t a ŋ ³
ˀp a ²	ˀp a ²
a m ¹	ts a m ¹
m ai ¹	ˀm ai ¹
k j a ⁴	g j a ³
k a ²	k o ²
ʃ a ŋ ¹	ʃ a ŋ ¹
k j a ŋ ³	k j a ŋ ³
m a ŋ ²	m a ŋ ²
dz i m ¹	dʒ i m ¹
k r u k ¹	g r u k ⁴
ʃ u k ⁴	ʃ u k ⁴
ŋ i ⁴	n i ³
m a k ²	m a t ⁴
ˀk r u k ⁴	ˀk r u k ⁴
a a b ⁴	ˀn a p ⁴
a a ²	p a ³
b i ²	b i ²
m u ²	n e ²
b a ²	b a n ²
ŋ a ²	ŋ a ²
p r i ŋ ¹	b j i ŋ ¹
d a ²	tʃ u ²
k a ŋ ¹	g a ŋ ¹
t u ²	ˀt a ²
ʃ a ¹	ʃ ɛ ¹
a a p ⁴	dʒ a p ⁴
r o ¹	r o ¹
j a ¹	j a ŋ ¹
a j a ¹	p j a ¹
m i ⁴	m i ³
l a ŋ ⁴	l a ŋ ³
d a p ⁴	ˀt a p ⁴
k a ŋ ³	tʃ a ŋ ³
u ŋ ²	ʔ u ŋ ²
m a ŋ ³	m a ŋ ³
ˀp u k ⁴	p u k ⁴
t r a ¹	b j a ¹
j a ŋ ²	j a ŋ ²
k a ¹	k a m ¹
j a ¹	j a ¹
ʃ a k ²	ʃ a n ²
u u m ⁴	l u m ¹
a i k ⁴	ˀp i k ⁴
g i ²	g r e ²
p a a ¹	b a n ¹
k a ŋ ²	g a ŋ ²
k a t ⁴	tʃ a p ⁴
l i ²	l i ²
k k ⁴	g j e ¹
a a m ¹	ˀn a m ¹
m i m ²	t i ŋ ³
k a t ⁴	ˀtʃ a t ⁴
k a m ²	n a m ²
p a ²	b a ³
p u m ¹	b u m ¹
k u k ⁴	g u k ⁴
k j a p ⁴	k j a p ⁴
m k a k ¹	m j i ¹
k u ²	d ʊ ²
ˀp i k ⁴	p i k ⁴
m a k ²	d a p ⁴
k j a ¹	g j ɛ ¹
j i k ⁴	ˀj i k ⁴
ˀk j a ⁴ ⁴	ˀk j u ¹
k a k ⁴	k a k ⁴
²	ˀt o ŋ ²
k a ¹	ˀŋ a ¹
m a ³	m a n ³
b j a ¹	b r i ŋ ¹
k a m ¹	g a m ¹
j u k ⁴	j u k ⁴
t a k ⁴	t a k ⁴
j a m ¹	j a m ¹
ˀp j a ²	ˀp r ɛ ²
k ai ¹	g ai ¹
d a ¹	d a m ¹
t u ŋ ²	t u ŋ ²
a i ¹	n i ¹
a i k ⁴	n i k ⁴
a r a ²	dʒ a ²
a i ŋ ⁴	dʒ i ŋ ³
a ai ⁴	ˀn ai ³
g r a ⁴	g r a ³
k u ⁴	n u ³
a a k ⁴	tʃ a k ⁴
a k ⁴	r a k ⁴
ˀk u ²	ˀk u ²
k r a m ²	g j a m ²
ˀl a ŋ ²	l a ŋ ²
a i m ¹	b ui ¹
k j k ⁴	b j e ²
k a ²	ts a ²
s a u ²	s a n ²
k a a ²	g a n ²
t a ³	ˀt a ³
