g a t ⁴	ˀk a t ⁴
i p ¹	ʔ a p ⁴
ˀt u ²	d ʊ ²
g j a ³	g j a ³
ˀt a t ⁴	d a t ⁴
m j u k ⁴	m j u k ⁴
k u ²	k o ²
m a k ⁴	r a k ⁴
ŋ j a k ⁴	ŋ j a k ⁴
l i ²	l i ²
i ¹	ʔ ʊ ¹
b j i ŋ ⁴	b r i ŋ ³
ŋ j a p ⁴	ŋ j a t ⁴
g j r i ²	g r a ²
ŋ a ²	ŋ a ²
ˀn a t ⁴	ˀts a t ⁴
g a m ¹	g a m ¹
j i ŋ ³	t i ŋ ³
k a ŋ ŋ ¹	s a ŋ ¹
m j a ²	m j a ²
j j i ²	dʒ a ²
b j a ⁴	b j a k ⁴
m a k ¹	m a k ⁴
p j u k ⁴	ˀp j a t ⁴
k a p ⁴	k a p ⁴
j a ¹	w a ¹
k j u ²	k r u ŋ ²
ˀl a ³	l a ³
a ŋ ¹	ʔ a m ¹
k a ⁴	k a m ¹
s a k ⁴	s u t ⁴
ʃ a ¹	ʃ a ¹
ts e ¹	ˀts ai ¹
j i k ⁴	ˀj u k ⁴
ˀs a ³	s ɛ ³
ts u ²	ˀts u ²
tʃ a ŋ ¹	d a m ¹
g r i ²	ˀk j u ³
b r i ¹	b r i ŋ ¹
l a ŋ ³	l a ŋ ³
m i k ⁴	m i k ⁴
ts a ¹	ts a m ¹
m a m ³	w a m ³
ts e ¹	tʃ i ¹
g u ²	g u ²
m i ²	n e ²
k a ²	k a ²
ˀl u ŋ ²	l a ŋ ²
ˀs o ²	ˀr o ²
j a ¹	k r a ¹
m e ⁴	m i ³
j a p ⁴	tʃ a k ⁴
i p ⁴	j i p ⁴
b j i ²	ˀp r ɛ ²
g a ŋ ŋ ²	g a ŋ ²
b i m ¹	b u m ¹
ˀl a ²	l a ²
ˀt a ŋ ŋ ⁴	d a ŋ ²
g a ¹	ʔ a ¹
u ŋ ²	ʔ u ŋ ²
k j u ²	k j u ³
p i k ⁴	p i k ⁴
ˀt a k ⁴	ˀt i k ⁴
p r u ³	p j ɛ ³
g a ¹	dz a ¹
tʃ u d ⁴	ˀts u t ⁴
ˀn a ¹	n ɛ ¹
b j u ¹	ˀp r o ¹
n i ⁴	n i ³
ˀl ai ¹	ˀl ai ¹
dʒ a p ⁴	ˀtʃ a p ⁴
ˀt a ŋ ŋ ³	tʃ a ŋ ³
k a ŋ ⁴	k a t ⁴
n a p ⁴	ˀŋ a p ⁴
ŋ a ŋ	ŋ a n ¹
m j i ŋ ¹	m r i ŋ ¹
j a k ⁴	ˀj i k ⁴
ˀk a ŋ ⁴	ˀk a m ¹
k j a p ⁴	k j a p ⁴
b a n ²	b a n ²
ˀr i ŋ ¹	ˀr i ŋ ¹
j a ¹	ʃ a m ¹
m j u ¹	m j u ¹
j a m ²	j a m ²
ˀt a k ⁴	ˀt a k ⁴
j a k ⁴	j a k ⁴
g a n ²	dz a n ²
m j a ²	m j a ŋ ²
ˀr a ²	ʃ a ²
ˀl a p ⁴	ˀl a p ⁴
b i ŋ ³	b i ŋ ³
m u ¹	m u ¹
b e ²	b i ²
b i p ⁴	b u p ⁴
g i ²	tʃ i ²
g u k ⁴	g u k ⁴
p a ²	s ɛ ²
k r a ³	k j a ŋ ³
ˀp a ²	ˀp a ²
ˀm ai ²	m ai ²
p j u ¹	p r o ¹
g e ²	g r e ²
ˀt i ŋ ³	ˀt i ŋ ³
ˀr a m ¹	s a m ¹
dʒ a k ⁴	dʒ a k ⁴
ʃ a k ⁴	ˀs a k ⁴
dz a ²	dz a ²
p a ŋ ŋ ¹	p a ŋ ¹
n a ⁴	n ai ¹
k j i m ²	g j a m ²
ʃ i ¹	ʃ i ³
j i ²	s i ŋ ²
b i ⁴	b ui ¹
j u k ⁴	r u k ⁴
m a ŋ ŋ ¹	w a ŋ ¹
j a p ⁴	j a p ⁴
r u ¹	r o ¹
g i ⁴	ˀtʃ a k ⁴
k i n ²	g a n ²
ˀs i p ⁴	ˀs u t ⁴
ˀs a ²	ʃ o ²
m i ¹	w ai ¹
ˀt i ŋ ²	d i ŋ ²
b a ³	b a ³
ˀs o n ²	s a n ²
m a ²	t a ŋ ³
k j a ²	j a ŋ ²
l i ŋ ²	l i ŋ ²
ˀs e ²	ˀs ai ²
g j u k ⁴	ˀk j a p ⁴
ˀn a ²	n a p ⁴
dʒ i ²	dʒ ui ²
ŋ u ¹	ŋ u ¹
m a ŋ ŋ ¹	ʃ a ŋ ¹
g r u ¹	g j ɛ ¹
p j u ⁴	b j ɛ ¹
ˀt a ŋ ²	t a ŋ ²
ˀs i ²	ʃ e ²
j a ¹	ʃ ɛ ¹
ˀn u ³	n u ³
g a ⁴	g a ŋ ¹
ˀk a k ⁴	k a k ⁴
m a ŋ ŋ ⁴	m a ŋ ³
ˀŋ a n ¹	ˀŋ a n ¹
m a ŋ ²	m a ŋ ²
l a m ¹	l a m ¹
b j a ¹	b r ɛ ¹
r a p ⁴	tʃ a p ⁴
ˀm i ²	m e ²
ˀt a ŋ ŋ ¹	t a ŋ ¹
m a ⁴	m a ³
m a m ¹	w a m ¹
d a k ⁴	d a k ⁴
b i k ⁴	b i k ⁴
m a n ³	m a n ³
g a k ⁴	g r a k ⁴
m i ŋ ¹	m i ŋ ¹
k e ŋ ⁴	dʒ i m ¹
d u ²	d o ²
ˀp a d ⁴	ˀp a t ⁴
m a ²	m a t ⁴
n a m ²	n a m ²
j i ²	d ai ²
j a ¹	j a ¹
g j a ²	g j a ²
ˀtʃ u ²	ˀɲ u ²
b j a ¹	b j a ŋ ¹
k r a ¹	k j a ŋ ¹
s i k ⁴	s i k ⁴
b a k ⁴	ˀp i k ⁴
g j j a ⁴	g r a ³
ˀk j a k ⁴	ˀk j a k ⁴
b j i ²	b j e ²
n i k ⁴	n i k ⁴
d u ŋ ¹	d u ŋ ¹
b j a ¹	b j a m ¹
j a m ¹	j a m ¹
ˀl i k ⁴	l i k ⁴
e m ¹	ˀj i m ¹
p a k ⁴	p a k ⁴
k ai ²	k ai ²
ˀtʃ a ³	ˀt i ³
p j a ¹	p j a ¹
b a n ⁴	b a n ¹
ˀt a ²	ˀt a ²
p j i k ⁴	b j i k ⁴
ˀn a ¹	ˀn a ¹
ˀt a ⁴	d u ²
ˀn a ŋ ¹	n a ŋ ¹
ˀt a k ⁴	w a k ⁴
ŋ a k ⁴	ŋ a k ⁴
ts a ²	ts a ²
l a k ⁴	l a k ⁴
j a p ⁴	ˀr a k ⁴
k a ¹	ˀŋ a ¹
g i k ⁴	g i k ⁴
j i ⁴	ˀn i k ⁴
ˀl i m ⁴	l u m ¹
k j i ¹	ˀk j ai ³
g u k ⁴	ˀk i k ⁴
k j i k ⁴	k j i k ⁴
ˀt a ⁴	ˀt a ³
ˀk r u k ⁴	ˀk r u k ⁴
ʊ ²	ʔ ʊ ²
m a p ⁴	w a p ⁴
ˀt a p ⁴	d a p ⁴
m i ¹	n i ¹
ˀp j i ŋ ¹	b j i ŋ ¹
ŋ u ¹	ɲ u ¹
ʃ u k ⁴	ʃ u k ⁴
ˀp r u ⁴	b j a ¹
t u ŋ ²	t u ŋ ²
m j a ¹	dz i ŋ ¹
j u k ⁴	j u k ⁴
ˀk a k ⁴	ˀk a k ⁴
