ts ɛ̠ ¹	ts ɛ ¹
m ¹	m j a ²
m a ³	m a ³
dʒ a ŋ ¹	dʒ e̠ ¹
ʃ i ¹	ʃ i̠ ¹
ˀv i̠ ³	v i̠ ³
d e ²	d i ²
d y ²	d y ²
i i ²	v y ²
ˀl a ²	ˀl a ²
a ¹	a ¹
kʰ ɛ̠ ¹	kʰ a̠ ¹
kʰ a ³	kʰ a ³
¹ a ¹	ˀŋ y ¹
b o ²	b o ²
kʰ u ¹	kʰ u ¹
ˀm y ²	ˀm y ²
k a ¹	k j i ³
ˀl u ²	l i ²
b o ¹	b ɨ̠ ¹
m e̠ ³	ˀm e̠ ³
ɣ a̠ ³	ɣ a ŋ ²
¹ u ³	tʰ u ³
x a ²	x a ²
d ɛ ²	d ɛ ²
ɣ a ³	ɣ a ³
s i̠ ¹	s i̠ ¹
l a ³	l a ¹
¹ a̠ ²	ʃ a ²
k a̠ ³	x a̠ ³
m a ²	m a ²
d ɨ̠ ³	ts a ŋ ³
tʰ a ²	tʰ a ²
ˀm e̠ ¹	ˀm j e̠ ¹
a ¹	a ¹
a ¹	a ¹
b a ²	b a ²
ɣ i ³	ɣ i̠ ³
ˀv i̠ ²	v i ²
ɲ j a̠ ²	ɲ a ²
b i ³	b i ³
p y ¹	p y ¹
a ¹	a ¹
a ¹	a ¹
k a ³	k a ²
dz i̠ ¹	dz e ¹
m a ³	m a ³
kʰ u ¹	kʰ u ¹
n ɛ ¹	ɲ e ¹
n i̠ ¹	n i̠ ¹
tsʰ a ¹	tʃʰ i̠ ³
ˀx i ³	x i̠ ³
v e̠ ³	v e̠ ³
g a ²	g i ²
g ɛ ²	g ɛ ²
ɲ j a̠ ³	ɲ a̠ ³
m j o̠ ³	m j o̠ ³
tʃʰ ɨ ²	tsʰ ɿ ²
n i ²	n i ²
a ¹	a ¹
p a ŋ ¹	p a ŋ ¹
pʰ e ²	pʰ e ²
l u ³	l u ³
d y ²	d y ²
i a ³	t e̠ ³
¹ a ¹	tʃ a ¹
tʰ o ²	tʰ a ²
¹ u ³	f u ³
ɲ u ³	n u ²
tsʰ e ¹	tsʰ e ¹
g u ³	g u̠ ³
i e̠ ¹	k u ²
v a ²	v a ²
p a̠ ³	p a̠ ³
ʃ ɛ ¹	ʃ ɛ ¹
a ¹	a ¹
a ²	a ²
b i ¹	b ɨ̠ ¹
m i ¹	ˀm i ¹
a ¹	a ¹
s ɛ ²	s e ²
ʒ e̠ ¹	ɣ e̠ ¹
ˀm i ³	ˀm i ³
tʃ i ²	g j o ¹
a j a ¹	ˀŋ j a̠ ¹
x a ³	ˀx a ³
b j a ²	b a ²
p i ¹	p u ¹
kʰ ɨ ²	kʰ o ²
ˀn i ³	ˀn i ³
b i ²	b o ²
ˀn a ²	n a ²
x y ¹	x y ¹
ˀm a ²	m o̠ ³
ˀl i ²	ˀl i ²
p u ²	p i ²
tʰ y ²	tʰ y ²
pʰ j a ŋ ¹	pʰ j a ¹
ts a ³	ts a ³
p ɨ ¹	p ɨ ¹
m a ³	m a ³
kʰ a ŋ ²	kʰ a ŋ ²
ɣ ɨ ¹	ɣ ɨ ¹
ɲ e ¹	n e ¹
ʃ a ¹	ʃ a ¹
p ɛ ²	p e ³
tʰ e ³	t i̠ ³
¹ a ¹	g j a ¹
ɣ i ¹	ɣ i ¹
dz i ²	dz i ²
dʒ ɛ ¹	dʒ ɛ ¹
x ɨ ¹	x ɨ ¹
kʰ ɛ ²	kʰ j ɛ ²
tʰ a ²	tʰ a ²
tʃ u ¹	tʃ u ¹
ˀm o ²	m o ²
b a ŋ ²	b a ²
pʰ i ²	p i ²
ɣ i ¹	ɣ i ¹
t o̠ ³	t o̠ ³
n y ¹	n y ¹
d o̠ ³	d a ²
pʰ y ²	pʰ j y ²
ˀm ɛ ¹	ˀm ɛ ¹
tʃʰ i ²	tʃʰ i ²
pʰ e̠ ²	pʰ e ²
m u ³	m u ³
d a ¹	d a ŋ ¹
a ¹	a ¹
b a ²	b a ²
l e̠ ³	l e̠ ³
t a̠ ³	t a̠ ³
ɣ a ŋ ²	ɣ a ŋ ²
x u ²	x ɛ ²
a ¹	a ¹
dz a ²	dz a ²
l u ²	l u ²
a ¹	a ¹
ɣ a ¹	x a ¹
n e̠ ³	ˀn e̠ ³
u ¹	ɨ̠ ¹
ʃ y ¹	s i ¹
d o ²	d y ²
m a ³	m a ³
ŋ a ¹	ŋ a ¹
ɣ i ¹	ɣ i ¹
s ɛ ²	s ɛ ²
l a ³	l a ³
s a ²	s a ²
a ¹	a ¹
ˀn i ²	ˀɲ y ²
ɣ ɨ ²	ɣ ɨ ²
n e̠ ²	n e ²
p ɛ̠ ¹	p u ¹
a ¹	a ¹
n i ²	n̩ ²
ˀl a ³	ˀl a ŋ ³
ʒ o̠ ¹	ʒ o̠ ¹
a ²	a ²
s u ¹	ʒ a ¹
m a ¹	ˀm ɛ ¹
g a ³	g j a ³
tsʰ o̠ ³	tsʰ o̠ ¹
l a ¹	l a ¹
n a ¹	n a ¹
ts e ²	ts e ²
k e ³	k e̠ ³
a ¹	a ¹
l a ²	l a ²
tʰ y ³	tʰ y ³
k o ³	kʰ j o ³
z a ²	z a ²
kʰ ɨ ¹	kʰ i ¹
b u ²	b o ¹
tʰ u ŋ ²	tʰ u ²
l a ²	l a ²
ʒ i ¹	ʒ e ¹
tʃʰ y ¹	tsʰ y ¹
ʃ i ¹	ɣ u ²
a ¹	a ¹
g ɨ ¹	g ɨ ¹
ʃ y ¹	s y ¹
ts i̠ ³	ts i̠ ³
a ¹	a ¹
dz i ¹	dz i ¹
m ɛ ²	m ɛ ²
h a ¹	h a ¹
x a ¹	k u ¹
s i ²	s e ²
b a ²	b a ²
tsʰ e̠ ¹	d u ¹
ˀn i ³	ˀn i ³
g a ²	g a ²
n i ¹	n i ¹
g u ²	g u ³
ʒ i̠ ³	ʒ i̠ ³
s a ²	s a ²
v a ²	v a ŋ ²
kʰ o̠ ³	kʰ o̠ ³
m a ³	m a ³
u u ²	ts ɛ ³
b a ³	b a ³
ˀm u ²	m e ²
l e̠ ³	l e̠ ³
dʒ a ¹	dʒ a ¹
n e̠ ³	n e̠ ³
v e̠ ³	v e̠ ³
a ¹	a ¹
b e̠ ¹	b e̠ ¹
d u ¹	d a ŋ ¹
pʰ ɛ ³	p ɛ ³
kʰ a ²	kʰ a ²
t o̠ ³	t u ³
tʃ ɛ ¹	tʃ ɛ ¹
b j y ²	b y ²
a ¹	a ¹
¹ a ²	v y ²
p ɨ ²	p j ɨ ²
ˀm i ³	ˀm j e̠ ¹
m u ²	m ɨ ²
k y ¹	k j o ¹
b j ɛ̠ ³	b j a̠ ³
kʰ ɨ ³	kʰ ɨ ³
d e̠ ¹	d e̠ ¹
tsʰ e̠ ¹	tsʰ e̠ ³
ts e ²	ts e ²
b ɨ̠ ¹	p ɨ ¹
l o̠ ³	l u̠ ¹
n i̠ ¹	n i̠ ¹
ɣ ɛ ²	ɣ ɛ ²
ˀl u ¹	ˀl o̠ ¹
ts u ¹	ts u ¹
a ¹	a ¹
m u ²	m o ²
s i ²	s i ²
tʃʰ e̠ ³	tʃʰ e̠ ³
s ɛ ²	s ɛ ²
k j a ¹	k a ¹
ɣ a ŋ ²	ɣ a ŋ ²
x ɛ ¹	kʰ a̠ ¹
¹ e̠ ³	tʃ e̠ ³
m a ³	m a ³³
o ¹	e̠ ¹
b e̠ ¹	b e̠ ¹
tʰ a ²	tʰ a ²
t o̠ ³	t o̠ ³
l a ²	l a ²
k e ²	k j ɛ ²
b o ¹	b o ¹
ʃ i ²	ʃ ɨ ²
ʃ i ¹	ʃ i ¹
kʰ u ²	kʰ u ²
m ɨ ¹	m ɨ ¹
g o̠ ²	g o̠ ³
p y ²	p y ²
a ²	a ²
b e ¹	b e ³
kʰ u ³	kʰ a ŋ ²
z e̠ ³	z e̠ ³
a ¹	a ¹
s e ¹	s e ¹
ˀl o̠ ³	ˀl o̠ ¹
pʰ e̠ ¹	pʰ e̠ ¹
dz i ¹	dz e ¹
s o ³	s i ³
ɣ y ³	ɣ y̠ ³
kʰ i ¹	kʰ i ¹
tʃ u ¹	tʃ ɛ ¹
pʰ i̠ ³	pʰ i̠ ³
m e ¹	m e ¹
ʃ i ³	ʃ i̠ ¹
h ɛ̠ ²	h ɛ ²
m e ¹	m i ¹
ʃ a ¹	h a ¹
n a ¹	ŋ a ¹
k a ²	k a ²
b i ²	b j e̠ ³
tsʰ e̠ ¹	tsʰ e̠ ¹
kʰ o̠ ³	kʰ o̠ ³
tʃʰ e ¹	tʃʰ e ¹
ˀm k u ¹	m i ¹
g a ²	g j a ²
kʰ y ²	kʰ y ²
b ɛ ¹	b ɛ ¹
s i̠ ¹	s i ²
m ɛ ²	m ɛ ²
pʰ u ²	pʰ e ²
p ɛ̠ ¹	p ɛ̠ ¹
ʃ o̠ ¹	h e ¹
tʃʰ ɛ ²	tʃʰ ɛ ²
b ɛ ¹	b ɛ ¹
g ɛ ²	g j ɛ ²
tʃ a̠ ³	tʃ a̠ ³
s y ¹	s y ¹
g u ²	g j u ²
ˀn ɨ̠ ³	n e ²
tʃʰ e ¹	tʃʰ e ¹
tsʰ y ¹	tsʰ y ¹
s o ¹	s u ¹
a ²	a ²
t i ²	t i ²
tsʰ a ¹	tsʰ a ¹
ˀn a ²	ˀn a ²
l i ³	ˀl i̠ ³
tʰ e ³	t i̠ ³
x y ¹	x e̠ ³
l u ³	l e̠ ³
n y ¹	n e̠ ³
a ²	a ²
a ³	a ²
tʰ u ³	tʰ u ³
a ¹	a ¹
ŋ a ¹	ŋ a ¹
x a ¹	x a ¹
ɣ a ²	ɣ a ²
pʰ ɛ ¹	pʰ ɛ ¹
s y ²	s y ²
d i ²	d i ²
ˀm i̠ ¹	m i̠ ¹
i ²	i ²
ˀn y ¹	ˀn y ¹
ɣ ɛ ²	s ɛ ²
kʰ o̠ ³	kʰ o̠ ³
l a ²	l a ²
ʒ e̠ ¹	ɣ e̠ ¹
¹ u ³	pʰ u ²
ˀn a ¹	ɲ a̠ ¹
k e̠ ²	k j e ²
ˀn a ¹	ˀn a ¹
ˀl o̠ ³	l o̠ ¹
tʃʰ i̠ ²	tʃʰ u ²
ʃ ɨ ²	ʃ ɨ ²
v ɛ̠ ³	v ɛ̠ ³
ɣ a ¹	g a ¹
dz i ²	dʒ i ²
tʃ u ¹	tʃ a ŋ ¹
tʰ e̠ ³	tʰ e̠ ³
ɣ i ¹	ɣ ɨ ¹
tsʰ e̠ ²	g ɨ ²
b ɛ̠ ¹	b ɛ̠ ¹
ʒ y ³	ts y ³
ʒ i ³	ʒ e ³
t e̠ ¹	t ɛ ¹
z i ²	z i ²
l a ³	l o̠ ³
l y ²	l y ²
m a ³	m a ³³
t o̠ ³	d o̠ ³
m u ¹	m u ¹
v a ¹	v u ¹
m u ²	m j u ²
t ɛ ¹	t ɛ ¹
t a ³	t a̠ ³
l a ¹	l y ³
ʃ u ³	s e ³
ˀv ɛ ¹	ˀv ɛ̠ ¹
t y ²	t y ²
a ¹	a ¹
z i ³	z i̠ ³
pʰ u ¹	pʰ u ³
g i ¹	g i ¹
m j a ³	m j a ³
ŋ j a ³	b j y ¹
tsʰ u ¹	tsʰ o̠ ¹
ʒ ɨ̠ ³	ɣ ɛ ¹
pʰ i ²	pʰ i ²
kʰ i ¹	kʰ i ¹
b o̠ ¹	b o̠ ¹
m e̠ ¹	m e̠ ³
d e̠ ³	d ɛ̠ ³
t a ¹	t a ⁵⁵
a ¹	a ¹
tʃʰ e ¹	tʃʰ e ¹
s a ²	s a ²
b y ²	b y ²
ˀl y ³	ˀl y ³
n u ¹	n u̠ ¹
n e̠ ¹	n e̠ ¹
m o̠ ¹	m o̠ ¹
v a ³	v a ³
p a ¹	p e ¹
k a ³	k a ¹
ˀn a ¹	ˀn a ¹
d i ¹	d i ¹
g a ¹	g j a ¹
p a̠ ³	p a̠ ³
tʰ a ²	dʒ ɛ ²
ɣ i ¹	ɣ i ¹
kʰ y ²	kʰ j o ²
kʰ o̠ ³	kʰ o̠ ³
l ɛ ¹	l ɛ ¹
ˀn i ²	n i ²
pʰ e̠ ¹	pʰ u ¹
ʃ o ¹	ɣ u ²
pʰ j a ŋ ¹	pʰ j a ¹
p a̠ ³	p a̠ ³
m̩ ²	m̩ ²
d y ¹	d y ¹
dʒ i ³	dʒ i ³
ˀn o̠ ³	ˀn u̠ ³
z a ²	z a ²
m u ²	m j a ²
l ɛ̠ ³	l ɛ̠ ³
d a ¹	d a ¹
pʰ e̠ ¹	pʰ e̠ ¹
p o̠ ¹	p o̠ ¹
k j ɛ ²	k j ɛ ²
v e̠ ¹	v e ¹
kʰ ɨ ²	kʰ ɨ ²
ˀm i ¹	m o ²
ʃ a̠ ³	ʃ a̠ ³
pʰ ɛ ¹	pʰ e̠ ¹
a ¹	a ¹
dʒ a ŋ ¹	dʒ a ŋ ¹
ˀm e̠ ³	ˀm j e̠ ¹
l o ²	l y ²
kʰ o̠ ³	kʰ o̠ ³
s e ³	s o̠ ³
a ²	a ²
a ¹	a ¹
kʰ ɛ ³	kʰ ɛ ²
ˀm o ²	m o ²
m a ³	m a ³
ˀn o̠ ³	ˀn u̠ ³
a ¹	a ¹
b o ²	b o ²
b i ²	b j o ²
pʰ y ²	pʰ y ²
s e̠ ³	s e̠ ³
m a ŋ ²	m u ²
ʃ ɛ ²	ʃ ɨ̠ ³
d e ¹	d e ¹
u u ³	p e̠ ³
m ɛ̠ ²	m ɛ ²
tʃ a ³	tʃ a̠ ³
