k e s i	k ɨ s i
t u m a	t u m a
h i ts u	h i ts u
h e k u r u	h e k u r u
m e k ɨ	m e k ɨ
a k ɨ r o	a k ɨ r o
k a n a r ɨ	k a n ɨ r ɨ
m a n e	m a n e
p u r u	p u r u
s i ts u	s i t u
k a m a ts i	k a m a
h i i	s i
s i k i	s i
ɨ n ɨ r u	ɨ n ɨ r u
k a ts u p a r ɨ	k a ts u p a r ɨ
h u n ɨ	h u n ɨ
n a m a	n a m a
k o m i	ts o m i
k o n a k o	k e n a
h a a h m ɨ n a	m ɨ n a
p a t ɨ	p a t ɨ
s i p a	k i p a
p o	p o
p e k i r i	p e k i r i
k e m a	k e m a
h u p a n a	h u p a n a
k o p a t a	ts o p a t a
k a n o	k a n o
r ɨ	r ɨ
p i n i	p i n i
t u r u	t u r u
p a t e	p a t e
p u p a r i	p u p e r i
k i i n a	k a i n a
k ɨ p a r ɨ	k ɨ p a r ɨ
j u k a n a	j u k a n a
t a	t a
h a t i n ɨ	h a t ɨ n ɨ
p u k u	p u k u
a p a	a p a
h a p u k a	a p u k a
w a r a	w a r a
k e r ɨ	k e r ɨ
n a ts i	n a ts i
h ɨ p ɨ n a	ɨ p ɨ n a
m a n a h i	m a n a h i
h i r a r ɨ	h i r a r ɨ
k i t i	k i t i
k a	ts a
h i i	k i r i
h i k a r e	tʃ i k a r e
ɨ h ɨ k n ɨ	ɨ k ɨ n ɨ
t a	t a
p e r a	p ɨ r a
a a ɨ r ɨ	h ɨ w ɨ
a n i k a	a n i k a
e p ɨ r ɨ	e p ɨ
t i n ɨ	t e n ɨ
h i t a p u	t a p u
s a t u k a	s a t u k a
k a p a s i	k a p i s i r i
k a	k a
m a t a	m a t a
h ɨ m e n ɨ	h ɨ m e n ɨ
p u r ɨ	p u r ɨ
k a m a r a	k a m a r a
m u k a	m u s a
h o k ɨ	h o k ɨ
t ɨ r ɨ	t ɨ r ɨ
h o o k a	e r o k a
m a p i ts i r i	m a p i ts i r i
p u t ɨ	p u t ɨ
h a p ɨ	h a p ɨ
j u k i	j u k i
h ɨ r a h a	h ɨ r a
n a k ɨ	n a k ɨ
h a p o	h a p o
t a a	t a r a h a
p a t a	p a t a
h t u k a ts i	a t u k a ts i
ts i k u t ɨ	ts i k u t ɨ
h i m a t u k ɨ u ɨ	h i m a t u k ɨ
s ɨ t o	s ɨ t i o
k a p e t a	k a p e t a
k ɨ n a ɨ	ts ɨ n ɨ
k a k ɨ t ɨ	k a k ɨ t ɨ
e p ɨ r u	e p ɨ
a w a	a w a
m a k a r a	m a k a r a
h i a p o t u	p o t u
h i r e k a	h i r e k a
p ts a j a	p o ts e j a
j a k a	j a k a
n a n i	n a n i
h i m a k ɨ	h i m a k ɨ
m a j u r ɨ	m a j u r ɨ
h a p ɨ k ɨ r ɨ	h a p ɨ k ɨ r ɨ
h i p e t ɨ	h i p e t ɨ
m a p a a	m a p a
p a w a	p a w a
n u	n u
ɨ m ɨ k a	ɨ m a k a
h a k ɨ	h a k ɨ
m u j u	m u j u
h i n a r ɨ	h ɨ n o
k a	k a
k ɨ w ɨ	k ɨ w ɨ
p u r i	p u r i
h a m e	h a m e
h u m a	h u m a
t a k a	t a k a
h ɨ t ɨ	h ɨ t ɨ
h a n o u h	h a n o
t a h a	t a k ɨ
h e r u t ɨ	h e r u t ɨ
k a a a r i	k a s i r i
t u k a n a	t u k a n ə
e t u a a	e t a
j e ts i	j a ts i
k a k ɨ r ɨ	k a s ɨ r ɨ
k h a j u k ɨ r ɨ	k a j u k ɨ r ɨ
k a ts a r ɨ	k a ts a r ɨ
k e r ɨ	ts e r ɨ
r a p ɨ t a	r a p ɨ
h ɨ p u k a	h ɨ p u
t a h i	t a
a k a p a	a k a p a
h u p a s i	h u p a i
j a n a	j a n a
k u n a h a	k u n u h a
p i	p i
ts i ts i	ts i ts i
s ɨ t u	s ɨ t u
m e k a n h i	m e k a n i
p a r u	p a r u
n a n ɨ	n a n ɨ
k u t a	k u t a
k e m a	k e m a
k u n a	k u n a
h ɨ w a k a	h ɨ w a k a
ts i n a	ts i n a
k e n ɨ	k e n ɨ
h i t i t i	h i t i t i
s ɨ w a	s ɨ w a
k a n a w a	k a n a w a
k u ts a	k u ts a
r ɨ	r ɨ
p i t i	p i t i
r o	r o
n a k a	n a k a
m e k a n h ɨ	m e k a n i
ts i	ts i
m i s i	m ɨ s i
t e n a	t e n o
m u t u	m u t u
k u ts i	k u ts i
m e r i t i	m e r i t i
p ɨ m a r ɨ	p ɨ m a r ɨ
j u t u r	j u t u r o
