d ħ p	d ħ p
ʃ ɬ r	w ɬ r
r a ʔ w	r a ʔ
ʃ i k a r	ʃ i k a r
b qˤ l	b qˤ l
k	k
ħ l	ħ a
tˤ ʕ m	tˤ ʕ m
ʔ a p ʕ	ʔ a p ʕ a w
ʃ m ʕ	ʃ m ʕ
ħ i m t	ħ i m a t
k a r i ɬ	k a r i ɬ
ʃ n a t	ʃ i n a t
g j	g a w i ʔ
k m m	k m
ʃ i θ	ʃ i d θ
θ qˤ l	θ qˤ l
w ʃ m t	w ʃ m
p d j	p d j
ʕ a j n	ʕ a j n
ħ sˤ	ħ θˤ θˤ
w aː i l	w aː b i l
p ʃ r	p ʃ r
ʃ z	gʷ a z
sˤ a r sˤ a r	sˤ a r sˤ a r
a r aː n	k a r a θ
ʕ i ɬ r	ʕ i ɬ r uː
θ i d	θ a qˤ i d
ʔ a ʃ l	ʔ a ʃ a l
b i n t	b i n t
ɬ a p a t	ɬ p
w qˤ d	w qˤ d
k a b	k a b ɬ
k r s i ʕ	k u r s ʕ
ʔ a θ a r	ʔ a θ a r
ɣ l	ɣ z aː l
θ a p r	θ a p r
ħ a qˤ l	ħ a qˤ l
j a r b	j a r b ʕ
g r d	g r d
r ʕ t	r u ɣ w a t
p qˤ d	p qˤ d
a b b	g a b b
p r r	p r r
p a ħ m	p ħ m
k a t a p	k a t i p
qˤ a m ħ	qˤ a m ħ
ɬ m	ɬ m
r ʔ ʃ	r a ʔ ʃ
b n	b a j n
k d	k i ʃ aː d
r b w	r b j
ð	z iː z
s m s m	ʃ u m ʃ u m
l	p l ħ
r ħ t	r aː ħ a t
m qˤ	m qˤ
ɣ d r	ɣ d r
d	tˤ a ɣ
p a r	p a r ɬˤ
n a k p a t	n a k a p a t
ʃ i p p	ʃ p p
ɣ p r	ɣ p r
b u tˤ m	b u tˤ m
r	z w r
ʔ aː j t	ʔ a j a t
ʔ a n t u m	ʔ a n t u m u
ʔ d a m	ʔ d m
ħ b tˤ	ħ b tˤ
k s l	k s l
x ɬ j s a t	ħ b ɬₓ
ɣ ɣ a b	ɣ a
ɬ r p	ɬ r b
n ʕ r	n ʕ r
ð b l	z b l
ʃ m	ʃ u m u
ɬˤ ʕ n	θˤ ʕ n
l a w	l aː
ʔ a n p	ʔ a n p
d l w	d l w
sˤ a l m	θˤ l m
ʔ a n t i n	ʔ a n t i n a
m x r	m x r
tˤ a j j b	tˤ j b
m w z m	w z n
k	k b s
m a ʕ j	m ʕ a j
l l a t	g l g l a t
ɬ a d	ɬ a d a w
t i ʃ ʕ	t i ʃ ʕ
d j n	d j n
g p p	g a p p
r ħ	r ħ ɬˤ
ʔ i l	ʔ i l
r a d	r a ʕ d
n a sˤ a sˤ	n a
s a l w	l w
p r g	p a r g
g r w	g uː r
qʷˤ	qˤ aː ʕ
s i n n t	s n uː n a t
d θ	d w ʃ
l w j	l w j
n i m r	n a m i r
r m	r m
n r	n w r
m a ʃ k	m a ʃ k
j ʃ r	j ʃ r
n m	n w m
k a m	k m a
b k r	b k r
d a ʔ j a t	d a ʔ j
j	ʕ s b
ʔ a z r	ʔ a z
ħ a ɬ a	ħ a ɬ j
p a r ʔ	p a r ʔ
b a qˤ	b h qˤ
ħ r l l	ħ r b
x a n n a t	x n z z
b r j	b r j
ɬ m	ɬ j m
x l sˤ	l x sˤ
ħ m tˤ tˤ	ħ m tˤ
ʔ a l	ʔ a j l
n qˤ	ʕ n qˤ
g g	g uː g
b a qˤ qˤ	b a qˤ qˤ
g x	g b x
ħ k k	ħ k k
x n	ħ a n n
l x	l i
p a r r	p a r r
ʔ a ħ a d	ʔ a ħ a d
tˤ b ħ	tˤ b ħ
s u r m	s u r m
j r j	w r j
qˤ ʔ	qˤ a j ɬ
p	p s ħ
ʔ r t	ʔ i r a t
d l l	d l l
p a r ʕ	p a r ʕ
ɣ l p	ɣ l p
qˤ r	k a
d aː d	d aː d
sˤ ɣ	sˤ b ɣ
m n	m iː n
b r qˤ	b r qˤ
ɣ r i b	ɣ aː r i b
p r ʃ	p r s
ð a b	ð b b
b qˤ l	b qˤ l
g ɬ	g ɬ ʕ
d aː r	d w r
qˤ n	k w n
b l tˤ	b l tˤ
n a p i j j	n p j
h d a d	h a d a d
j d ʕ	w d ʕ
l i b b	l i b b
n p x	n p x
tˤ iː n	tˤ iː n
qˤ u d m	qˤ d m
ʔ m	w
i sˤ a	ʕ θˤ aː j
ʃ t j	ʃ t j
m ɬ j	m ɬ
θ b r	θ b r
sˤ a b j	θˤ a b j
n a b l t	n a b i l a t
ʕ a p a r	ʕ a p a r
ʔ d	j a d
l i ʃ a w n	l i ʃ aː n
p l g	p l g
ʃ p l	ʃ p l
w k l	w k l
l ʃ	l ħ ʃ
ʔ θ k aː l	ʔ θ k aː l
m a ʔ n a t	m n
n a m r t	n m r
p ħ l	p a ħ l
sˤ r	ʕ sˤ sˤ uː r
ɬ a p a t	ɬ a p a t
d b aː	ð
d b s	g b ʃ
p i ʔ t	p i ʔ a t
n ʃ	n ʃ
ɬ a m	ɬ a ħ m
h l a l	h l l
k u l	k a l
ʕ	ʕ m s
sˤ r r	θˤ r r
ʔ d m	ʔ t m
s n	θ n
g n n	g n n
r ʕ	r ʕ w
ɣ a ʃ	ʕ a w
k r b	k r b
ð ʕ t	ð ʕ a t
b k j	b k j
j a m	j a w m
r k b	r k b
ʃ u r n	ʃ u
g m r	g m r
ɬ r m	ɬ r m
tˤ ħ n	tˤ ħ n
ʔ d a m	d h m
ʃ i θ n	θ i n aː
qˤ l l	qˤ l ħ
r ʃ ʕ a	r ʃ ʕ
ʃ	ʃ u
m a θ l	m θ l
l a m a	l a m θˤ
qˤ i θ θ ʔ	qˤ θ ʔ
p r ʕ	p a r ɣ
ð m r	z m r
h iː j	ʃ i
k i l	k i l ʔ
x a s s	ħ a s iː s
ʔ a n θ	ʔ a n θ a t
b r i k	b i
w a r qˤ	w r qˤ
ʃ b t	ɬₓ b a j
t i l i ʕ	t a w l i ʕ a t
s a m k	s m k
ʃ a t	ʃ i t
l a n	l a b b
ɬˤ p	ʕ ɬˤ p
ʃ m m	ʃ
p l i j	p l
b r	b ɬ r
qˤ a l b	qˤ a l b
p t ħ	p t ħ
x z iː r	x z iː r
ð i b l	z i b l
ʔ n ʃ	ʔ n ʃ
m u ʃ	m u ʃ j
p l	p l ħ
qˤ a qˤ a d	qˤ d qˤ d
qˤ n n a t	qˤ i n n
ʃ a b ʕ	ʃ a b ʕ
ʃ a m aː j	ʃ a m a j
qˤ d ʃ	qˤ d ʃ
x l qˤ	x l qˤ
p s	p ʃ w
qˤ	k s
b j t	b j t
r g m	r g m
b r ʃ	b u r aː θ
w θ b	w θ b
w a r i k	w a r i k
θ a r b	θ a r b
ɬˤ m d	ɬˤ m d
θ m	θ uː m
m t	m u t
ð i ʔ b	ð i ʔ b
ʔ b m	b h n
ʕ g l	ʕ i g w a l
ʔ x z	ʔ x ð
ħ w	ħ u b b
l a j l	l a j l i j
ʕ ʃ t	ʕ a ʃ t
d r	d w r
ʔ a r m	ɬ r m
ʔ j j	ʔ a j j
k s m	k s m
ʔ w m	h m
tˤ r d	tˤ r d
r a qˤ qˤ	r a qˤ qˤ
ʕ a m	ʕ a θˤ m
m t	m w t
p w qˤ	p w qˤ
w a r i d	w a r iː d
b r	b k r
ʃ j l	x l
qˤ a n	qˤ a n a j
qʷˤ	qˤ r b
ħ s	ħ p ɬ
m i n a n	m n
p r m	p r m
ʔ n ħ n	n i ħ n u
b u l l	b l
ʃ l	ʔ b l
ɣ u r l	ɣ u r l
n x l	n x l
i m r ʔ	m a r ʔ
r qˤ ħ	r qˤ ħ
ð k r	ð k r
r a ħ a j	r i ħ a j
h l k	h l k
ɣ p r	ɣ a p a r
n ʕ aː m t	n u
