tˤ b x	tˤ b ħ
ʔ a n p	ʔ a n p
x tˤ tˤ	x tˤ tˤ
k i n	k w n
ʃ	m s
ʔ a z r	ʔ a z
g d d	g d d
n i m r	n a m i r
ħ a r g l	ħ a r g a l
ħ a l ʔ	ħ
d h p	d ħ p
g r r	g r r
r k b	r k b
ʕ n qˤ	ʕ n qˤ
ɬˤ n	ɬˤ a ʔ n
ɬ a p a t	ɬ a p a t
l b ʃ	l b ʃ
k a m	k a m ʔ a t
r b ɬˤ	r b ɬˤ
p qˤ	p w qˤ
ʔ a m ʃ l	ʔ a m ʃ a j
ɬ r p	ɬ r b
ʃ x t	ʃ a x j
tˤ ħ n	tˤ ħ n
b ʕ iː r	b ʕ r
ħ b t	ħ b ɬₓ
ʕ r r	ʕ u
ʔ a m t	ʔ a m a t
p r j	p r j
p ħ l	p a ħ l
r ħ m	r ħ m
ʔ a tˤ a d	ʔ a tˤ a d
ʕ a r b	ʕ a
l	ʔ a θ a l
k m m	k m
d l l	d l l
w θ b	w θ b
ʔ a l p	ʔ a l p
k a r i ɬ	k a r i ɬ
j a r b ʕ	j a r b ʕ
ɬˤ	sˤ ħ w
ʔ θ l	ʔ a θ l
ʔ n x r	n x r
ɬₓ a	ɬₓ m a t
x r ʃ	x r ʃ
m ʔ a t	m i ʔ a t
g u r n	g u r n
ʕ a m m	ʕ a m m
ħ a n n	ħ a n n
w a r i k	w a r i k
g b b x	g b x
r ʔ m	r i ʔ m
qˤ p	qˤ a p j
r d ʔ	r d ʔ
ʃ ʔ b	ʃ ʔ b
d w r	d w r
ʔ a x	ʔ a x
θ a m ʃ	ɬ a m ʃ
ʔ θ k l	ʔ θ k aː l
m a t n	m a t n
ʔ a n t m	ʔ a n t u m u
ħ a m θ	ħ a m θ
j ʃ r	j ʃ r
r ħ j	r i ħ a j
ɬ a ħ m	ɬ a ħ m
t i l l	t l l
l ʃ d	l a ʃ d
n a h r	n a h r
qˤ r d	qʷˤ r d
ɬ u r ʃ	ɬ r ʃ
θˤ a h r	θˤ a h r
ʔ r n	ʔ n a r
n p ʃ	n p ʃ
h n n	h a n n i
ɬ a p	ɬ a j p
ʔ b b ʕ t	b ʕ b ʕ
l a m ɬˤ	l a m θˤ
