ŋ a ²	ŋ a ²
m e ²	n e ²
ˀn a ŋ ¹	ˀn a ŋ ¹
ʔ u ²	ʔ ʊ ²
g j u k ⁴	g j u k ⁴
m r i ŋ ¹	m r i ŋ ¹
g r o t ⁴	g r o k ⁴
b e ²	b i ²
r a k ⁴	r a k ⁴
j a p ⁴	j a p ⁴
m i ŋ ¹	m i ŋ ¹
g r a k ⁴	g r a k ⁴
g a n ²	dz a n ²
k r u ²	k j u ³
ˀl a ⁴	l a ³
l a k ⁴	l a k ⁴
k u ²	ˀk u ²
g a ŋ ²	g a ŋ ²
ŋ a n ¹	ˀŋ a n ¹
ˀj i p ⁴	j i p ⁴
g r ɛ ⁴	b r ɛ ¹
p a ŋ ¹	p a ŋ ¹
b a n ²	b a n ²
g a k ⁴	ˀk i k ⁴
k a k ⁴	ˀk a m ¹
g e ²	g r e ²
ˀk a ⁴	ˀtʃ a k ⁴
b r i ŋ ⁴	b r i ŋ ¹
k j u ŋ ²	k r u ŋ ²
j a k ⁴	m j a k ⁴
d a ŋ ¹	d a m ¹
u ŋ ²	ʔ u ŋ ²
ʔ j i k ¹	dz i ŋ ¹
s u m ²	s u m ²
d o ²	d o ²
m u ²	m u ²
w ai ¹	w ai ¹
s a ²	s ɛ ²
ŋ u ¹	ŋ ui ¹
dʒ a ²	dʒ ui ²
j a m ²	j a m ²
ˀr a m ¹	s a m ¹
t a ²	t a ŋ ³
l a m ¹	l a m ¹
ˀt a k ⁴	ˀt a k ⁴
g j u k ⁴	g r u k ⁴
ʃ a ¹	ʃ a ¹
ˀk j a m ⁴	g j a m ²
t u ŋ ²	t u ŋ ²
dʒ u ²	ʃ o ²
d i ŋ ²	d i ŋ ²
k a ¹	k a m ¹
m j ai ⁴	m j i ¹
k a k ⁴	k a k ⁴
p u k ⁴	p u k ⁴
ˀs ai ²	ˀs ai ²
d u ŋ ¹	d u ŋ ¹
g j u k ⁴	ˀk j u ¹
ˀs a k ⁴	ˀs u t ⁴
ˀp i ŋ ³	b i ŋ ³
d a ²	tʃ u ²
g e k ²	ˀk j i ²
t a t ⁴	d a t ⁴
dʒ a ²	dʒ a ²
k ui ²	ˀk ui ²
b j i ²	b j e ²
tʃ a t ⁴	tʃ a p ⁴
w a m ³	w a m ³
b a ³	ˀp a ³
m a ⁴	m a ³
ŋ a ¹	ˀŋ a ¹
b u m ¹	b u m ¹
b j a t ⁴	b j a k ⁴
g a ŋ ¹	g a ŋ ¹
ts a m ¹	ts a m ¹
b r a ⁴	b r a ¹
m e ⁴	m i ³
j a k ⁴	j a k ⁴
ˀt a k ⁴	w a k ⁴
ˀp j i k ⁴	b j i k ⁴
m a ⁴	m a t ⁴
ˀt u ¹	d ʊ ¹
g j a k ⁴	ˀk j a p ⁴
n a t ⁴	ˀts a t ⁴
k i k ⁴	k i k ⁴
b j i ŋ ¹	b j i ŋ ¹
m e ²	m e ²
m u ¹	m u ¹
g j a k ⁴	ˀk j a k ⁴
m a ŋ ²	m a ŋ ²
ˀl i ŋ ²	l i ŋ ²
ˀj a m ¹	j a m ¹
g j o k ⁴	ˀk r u k ⁴
ˀl a ŋ ²	l a ŋ ²
b ai ¹	b i ¹
p i k ⁴	p i k ⁴
g ai ¹	g ai ¹
dʒ i ŋ ³	dʒ i ŋ ³
ˀn a p ⁴	ˀn a p ⁴
ŋ u ¹	ɲ u ¹
m j a ŋ ²	m j a ŋ ²
n e ⁴	n i ³
n ai ³	ˀn ai ³
dʒ e ²	dz e ²
k a p ⁴	k a p ⁴
g a k ⁴	ˀk a k ⁴
tʃ a ŋ ³	tʃ a ŋ ³
ˀl i ¹	l i ¹
l a ŋ ³	l a ŋ ³
ˀr a ¹	dz a ¹
k a ²	k a ²
ʃ a ŋ ¹	ʃ a m ¹
k j a ¹	k j u ¹
g u ²	g u ²
g i k ⁴	g i k ⁴
s i ŋ ²	s i ŋ ²
b r i ŋ ³	b r i ŋ ³
ˀt a ŋ	ŋ a n ¹
t a ŋ ¹	t a ŋ ¹
k j a m ¹	k j a m ¹
l i k ⁴	l i k ⁴
dʒ a p ⁴	ˀtʃ a p ⁴
d i k ⁴	ˀt i k ⁴
l i ²	l i ²
m j u k ⁴	m j u k ⁴
d a ŋ ²	dz a ²
n a m ²	n a m ²
b a ¹	b j ɛ ¹
k j a ŋ ¹	k j a ŋ ¹
ˀt a ²	d ʊ ²
w a ¹	w a ¹
ˀts e ¹	tʃ i ¹
w a p ⁴	w a p ⁴
b a n ¹	b a n ¹
