g a l ɛ r ʊ m	g a l eː r ʊ m
s k oː l oː p ɛ n d r a m	s k ɔ l ɔ p ɛ n d r a m
t ʊ b ɛ r oː s ʊ m	t uː b ɛ r oː s ʊ m
k ɔ d ɪ k ɪ lː ʊ m	k oː d ɪ k ɪ lː ʊ m
k ɪ p a m	k aɪ p a m
w ɔ l uː p t ɛ m	w ɔ l ʊ p t aː t ɛ m
p ʊ g ɪ l ɛ	p ʊ g ɪ l ɛ m
d ɛ s t ɪ n aː r ɛ	d eː s t ɪ n aː r ɛ
t ɛ r t j ʊ m	t ɛ r t j ʊ m
s t r ɛ p ɪ t ʊ m	s t r ɛ p ɪ t ʊ m
p r ɛ s aː g j ʊ m	p r aɪ s aː g j ʊ m
k a lː ɪ d ʊ m	k a lː ɪ d ʊ m
l a k t ɛ ʊ m	l a k t ɛu m
g r ɛ m j ʊ m	g r ɛ m j ʊ m
n a f t a m	n a pʰ tʰ a m
aʊ s p ɪ t j ʊ m	aʊ s p ɪ k j ʊ m
p aː r t aː r ʊ m	p a r t j aː r j ʊ m
r ɪ s p l ɛ n d k ɛ r ɛ m	r ɛ s p l ɛ n d eː r ɛ
a nː ɪ k ɪ l aː t j oː n ɛ m	a nː ɪ h ɪ l aː t j oː n ɛ m
aʊ d aː k j a m	aʊ d aː k j a m
f ɛ l ɪ k ɛ	f eː l iː k ɛ m
m ʊ l k ɛ r ɛ	m ʊ l k eː r ɛ
k a mː ɪ n ʊ m	k a mː iː n ʊ m
s p ʊ t aː r ɛ	s p uː t aː r ɛ
p ɛ r t ɛ n t ɛ r ɛ m	p ɛ r t ɪ n eː r ɛ
d ɪ ŋ n aː t j oː n ɛ m	d ɪ ŋ n aː t j oː n ɛ m
a w ɪ d ɪ t ɛ m	a w ɪ d ɪ t aː t ɛ m
ɔ n k a m	ʊ ŋ k j a m
p a t r j aː r k a m	p a t r j a r kʰ a m
g r aː k ʊ a m	g r aː k ʊ l a m
s a n aː t j oː n ɛ m	s aː n aː t j oː n ɛ m
n ɛ k t aː r ɛ	n ɛ k t a r
a b n ɛ g aː r ɛ	a b n ɛ g aː r ɛ
a k k ɛ n t ʊ m	a kː ɛ n t ʊ m
d ɔ t aː r ɛ	d oː t aː r ɛ
m ɛ r ɪ d j oː n aː l ɛ m	m ɛ r iː d j oː n aː l ɛ m
g ɔ d ɛ r ɛ	g aʊ d eː r ɛ
a nː ɛ k t ʊ	a nː ɛ k s ʊ m
a b l ʊ ɛ r ɛ	a b l ʊ ɛ r ɛ
g ɛ l oː s ʊ m	z eː l oː s ʊ m
w ʊ l p ɛ	w ʊ l p ɛ m
ɛ fː ɛ k t aː ɛ r ɛ	ɛ fː ɪ k ɛ r ɛ
a r m aː r ɛ	a r m aː r ɛ
