u n	θ n
ʃ l w	l w
ʔ a ʃ r	ʔ s r
qˤ d m	qˤ d m
r b w	r b j
ħ j	ħ b ɬₓ
ɣ ʃ	ʕ a w
ħ a m m	ħ m m
ʕ r p	ɣ a r p
ʃ b ʕ	ʃ a b ʕ
p a r ʕ	p a r ʕ
n b l t	n a b i l a t
b l tˤ	b l tˤ
m r n	ʔ n a r
qˤ r d	qˤ r d
g	gʷ a z
r k b	r k b
ʕ θˤ m	ʕ a θˤ m
qˤ qˤ a	qˤ a ʔ
t l ʕ	t a w l i ʕ a t
ɣ d r	ɣ d r
qˤ i ʃ θ ʔ	qˤ θ ʔ
k ʃ l	k s l
	ʃ u
ʃ i n t	ʃ i n a t
w a r d	w a r iː d
x i m ʔ a t	x i m ʔ a t
r	ʔ a z
b l	w b l
n	n
w a r i k	w a r i k
ð ʔ b	ð i ʔ b
ʔ a b r	ʔ a
m n j	m n j
g d	g iː d
m qˤ	m tˤ qˤ
ʔ j j	ʔ a j j
p r p r	p r p r
ʔ l	ʔ a j l
ʃ l t	ʃ i l j a t
b i ʔ ʃ	b ʔ ʃ
h d	h ð j
p sˤ d	p sˤ d
qˤ a m ħ	qˤ a m ħ
m ʃ k	m a ʃ k
ɬˤ b tˤ	ɬˤ b tˤ
ʔ aː j t	ʔ a j a t
d u ʕ t	ð ʕ a t
w θ b	w θ b
k	k
tˤ ʕ m	tˤ ʕ m
b k r	b k r
ʕ b qˤ j	ʕ a b a qˤ
ʔ a z	ʔ a
ɣ r n	ɣ r n
p ʃ	p ʃ w
k sˤ d	qˤ sˤ d
b t	ɬₓ b a j
ʔ a l m a l t	ʔ a l m a n a t
ħ	s ħ
ʃ ɣ r	θ ɣ r
r	h r j
d aː d	d aː d a t
θ r	θ a w r
ɣ a r b	ʕ r b
d a qˤ n	ð a qˤ a n
b j t	b a j t
w ɬ r	w ɬ r
ħ i m aː r	ħ i m aː r
n ɣ r	n ɣ r
k a l a t	k a l l a t
m tˤ	m u ɬ tˤ
d r	h d r
k ʃ d	k i ʃ aː d
ɬ a p	ɬ a j p
d w	d w j
r	ʔ a r m
ħ u p n	ħ u p n
ɬ u r a n	θ r m iː n
b ɬ r	b ɬ r
ɬ a j b t	ɬ a j b a t
ħ k k	ħ k k
p r θ	p a r θ
n a h r	n a h r
m ʕ t	m ʕ a j
ʔ a r ɬˤ	ʔ a r ɬˤ
p t ħ	p t ħ
ʃ qˤ	ʃ qˤ j
k u r k j j	k u r k i j
g	g a w i ʔ
r m	r ʔ m
ʃ i ʃ	ʃ i d θ
d qˤ qˤ	d qˤ qˤ
θ b b t	θ b l
k a t p	k a t i p
tˤ a j j b	tˤ j b
ħ a d θ	ħ d θ
b n t	b i n t
θˤ a r	θˤ a h r
z z	z iː ð
s m m	s m m
l ɬ ʃ	l ħ ʃ
x l qˤ	x l qˤ
