qʰ w æ ¹	qʰ w æ ³
s ɔ ŋ ³	s u ŋ ³
h ɔ ³	h ɔ ³
m ɯ ²	m ɯ ²
pʰ æ ¹	pʰ a ¹
k o ⁵	k o ⁵
p j i ⁴	b a ŋ ⁴
tʰ u ²	tʰ j u ²
ɕ r æ ⁴	ɕ a ⁴
b u ²	t u ²
tsʰ w æ ŋ ²	tsʰ w a ŋ ²
ŋ o ŋ ²	ŋ u ²
ts r e ¹	ts r e ŋ ¹
ŋ w æ ⁵	ŋ w æ ⁵
kʰ ɔ ¹	qʰ o ŋ ¹
m o ŋ ²	m ø ²
s r e ¹	s r e ŋ ¹
s j e n ¹	s j e n ¹
tsʰ j i ⁴	tsʰ j i ⁴
n j o ŋ ²	n j o ŋ ²
pʰ ɔ ³	pʰ ɔ ³
q a ¹	q æ ⁴
tɕ ɯ ²	tɕ ɯ ²
m i ²	m i ²
ʈ r æ ⁴	ʈ æ ⁴
t æ n ¹	t æ ¹
q w a ⁴	q w a ⁴
j ɯ ¹	j ɯ ¹
ʈ o ⁴	d r o ⁴
j e n ¹	j e n ¹
b ɯ ¹	b r i ¹
q a ŋ ¹	q a ŋ ¹
p r ɔ ¹	p r ɔ ¹
tɕ e ¹	tɕ i ¹
ɖʐ w e n ⁵	ɖʐ w e n ⁵
kʰ o ³	kʰ r o ³
n ɔ ŋ ³	n ɔ ³
ts r ɯ ²	ʈ ɯ ²
ɣ ɯ ²	ɣ ɯ ²
ɣ o ⁴	ɣ u ⁴
b u ²	b ɯ ²
ɣ ɔ ¹	ɣ ɔ ¹
x e n ¹	x e n ¹
t æ ⁴	t æ ŋ ⁴
m ɛ ²	m ɛ ²
b e ⁴	n j i ⁴
