a ¹	a ²
a ¹	a ¹
m i̠ ³	m ɛ ³
n ɛ ²	n ɛ ²
h e ¹	h e ¹
m e̠ ²	m e̠ ³
k a ³	k a̠ ³
pʰ u ²	pʰ u ²
ʃ u ¹	h u ¹
d a ŋ ¹	d a ŋ ¹
n i ²	n i̠ ¹
l o̠ ³	ˀl o̠ ³
tʰ u ¹	tʰ u ¹
n i̠ ¹	n i̠ ¹
ˀn i ²	ˀɲ y ²
ˀn a ²	ˀn a ²
kʰ ɨ ²	kʰ o ²
ɣ y ¹	ɣ i ¹
pʰ i ²	pʰ e ²
tsʰ y ¹	tsʰ a m ¹
x e ¹	ˀx y ¹
kʰ u ³	kʰ j o ³
ɣ i ¹	ɣ i ¹
kʰ o̠ ³	kʰ o̠ ³
k i ²	tsʰ i ²
n i ³	ˀn i ³
tʃʰ e̠ ¹	tʃʰ e̠ ¹
ˀm e̠ ¹	ˀm j e̠ ¹
t a ¹	t u ¹
a ¹	a ¹
ts a ³	ts a ³
ˀl u ³	l u ³
n i ²	n i ²
ˀm e̠ ¹	ˀm j e̠ ¹
s j a ¹	s y ¹
m a ²	m a ²
dz i̠ ¹	dz e ¹
a ²	a ²
ɣ a ³	ɣ a ŋ ²
dz i ³	dz i ³
s a ¹	s e ¹
p y ³	p y ³
ɣ i ¹	ɣ ɨ ¹
tʰ y ³	tʰ y ¹
a ¹	a ¹
n a ¹	n a ¹
a ¹	a ¹
ʒ i ³	ʒ e ¹
k i̠ ²	k j e ²
a ²	a ²
l a ¹	l a ¹
l a ¹	l a ¹
pʰ e̠ ²	ˀv ɛ ²
pʰ a ¹	pʰ j a ¹
tʰ u ²	d u ¹
m i ¹	ˀm i ¹
a ¹	a ¹
ŋ o ¹	ŋ o ¹
p a ¹	ˀv a ¹
dʒ e̠ ¹	dʒ e̠ ¹
kʰ ɛ ³	kʰ y̠ ¹
tsʰ o ³	tsʰ y̠ ¹
s a ¹	s a ¹
kʰ j ɛ ³	kʰ ɛ̠ ³
d y ²	d y ²
d u̠ ²	tʃʰ e̠ ¹
t i ¹	t a ³
ɣ i ¹	ɣ i ¹
ts a ¹	ts a ¹
m a ³	m a ³
p i ²	p j ɨ ²
g i ¹	g i ¹
k ²	m u ²
pʰ u ¹	pʰ u ¹
b y ¹	b y ¹
t ɛ ¹	t ɛ ¹
a ¹	a ¹
tʃ i ¹	g j o ¹
s i̠ ¹	s i ²
ʃ a ¹	ʃ a ¹
k j u ¹	k a ŋ ¹
k u ³	ʃ a̠ ³
tsʰ e̠ ¹	tsʰ e̠ ¹
dz a ³	g a ³
p a̠ ³	p a̠ ³
t ɛ ¹	t u ¹
m ɛ ²	m ɛ ²
l i ¹	l i ¹
h e ¹	h e ¹
m a ³	m a ³³
ɣ i ¹	ɣ a ŋ ¹
s e ¹	s e ¹
a ¹	a ¹
a ¹	a ¹
d i ²	d i ²
g j a̠ ¹	g ɛ̠ ¹
s e̠ ³	s e̠ ³
ɣ ɛ ¹	s e ¹
tʰ u ²	tʰ u ²
p a ³	p a̠ ³
m o̠ ¹	m o̠ ¹
b o ²	b o ²
a ¹	a ¹
ˀx ɛ ¹	kʰ a ²
ts e ¹	tʃ e ¹
pʰ e̠ ¹	pʰ e̠ ¹
k u ²	k o̠ ³
s i̠ ¹	s i̠ ¹
ˀl y ²	ˀl y ²
dʒ i ³	dʒ i ³
a ¹	a ¹
dz y ¹	dz y ¹
m y ¹	m y ¹
p a ¹	g j a ¹
ˀl i ²	ˀl i ²
ˀm o ³	ˀm y̠ ¹
d ɛ ²	d ɛ ²
b i ²	p i ²
p ɨ ²	p y̠ ¹
a ¹	a ¹
z a ²	z a ²
k u̠ ³	k a ²
z e̠ ³	z e̠ ³
s a ²	s a ²
ˀl a ¹	ˀl a ¹
t e̠ ¹	t i̠ ¹
p a̠ ³	p a̠ ³
p a ¹	ˀv a ¹
tsʰ a ¹	tsʰ a ¹
h u ¹	s e ³
m a ŋ ²	m a ŋ ²
a ¹	a ¹
x a̠ ³	x a̠ ³
ts y ³	ts y ³
h o ¹	ɣ u ²
dz a ¹	tsʰ ɛ̠ ¹
n y ¹	n y ¹
tsʰ y ¹	tsʰ y ¹
x a̠ ³	x a̠ ³
p e ¹	p e ¹
ts u ¹	ts u ¹
k i ²	tsʰ i ²
p ɛ ²	p e ³
d a ¹	d a ŋ ¹
d u ¹	d u ¹
ɣ i ³	ɣ i ¹
d e̠ ¹	d e̠ ¹
s y ²	ʃ y ¹
k u ¹	k u ¹
v e̠ ³	v e̠ ³
a ²	a ²
k ɛ ¹	k j ɛ ¹
ɣ a ³	ɣ a ŋ ²
d y ¹	d y ¹
k u ³	ts ɛ ³
kʰ y ³	kʰ ɨ̠ ³
b o ¹	b o ¹
kʰ u ¹	kʰ u ¹
ʃ a ¹	ʃ a ¹
pʰ i ³	pʰ e ¹
tʃʰ ɨ ¹	tʃʰ ɨ ¹
d o̠ ²	d u ²
b a ³	b a ŋ ³
a ²	a ²
h ɛ ¹	h a ¹
a ²	a ²
v i̠ ³	v i̠ ³
tsʰ u ¹	tsʰ u ¹
l y ¹	l y ¹
d e ¹	d e ¹
b e̠ ¹	b e̠ ¹
ˀn i ¹	ˀn i ¹
kʰ ɨ ¹	kʰ i ¹
p a̠ ³	p a̠ ³
d a ¹	d a ¹
ts i̠ ³	ts i̠ ³
a ¹	a ¹
ʃ i ¹	ʃ i̠ ¹
ɣ i ¹	ɣ i ¹
ˀl a̠ ³	l a ³
m a ³	m a ³
l y ²	l y ²
s ɛ ²	s ɛ ²
tsʰ i ²	tsʰ ɨ ²¹
n i ¹	ˀn i ¹
l u ³	l e̠ ³
ŋ ²	n u ²
tsʰ u ¹	tsʰ e̠ ¹
a ¹	a ¹
kʰ u ¹	kʰ u ¹
p y ²	p y ²
p i ²	v y ²
b i ¹	b ɨ̠ ¹
kʰ a ŋ ²	kʰ a ŋ ²
ˀn e̠ ²	n e ²
ʃ ɨ ²	ʃ ɨ ²
pʰ e̠ ³	pʰ e̠ ³
m a ŋ ²	m a ŋ ²
