s i k ⁴	s i k ⁴
b u t ⁴	b u p ⁴
m r i ŋ ¹	m r i ŋ ¹
a ¹	ʃ a ŋ ¹
ˀk r a p ²	ˀk j i ²
s i ŋ ²	s i ŋ ²
g a t ⁴	ˀtʃ a t ⁴
g r r a ⁴	g r a ³
dʒ a p ⁴	ˀtʃ a p ⁴
ŋ a p ⁴	ˀŋ a p ⁴
p a p ⁴	ˀr a k ⁴
m i ŋ ¹	m i ŋ ¹
d a k ⁴	ˀt i k ⁴
m j a ²	m j a ²
g a ⁴	ts a m ¹
b j i ²	b j e ²
n a k ²	n i ŋ ²
r u ¹	r o ¹
ˀts ai ⁴	ˀts ai ¹
ŋ a p ⁴	ŋ a k ⁴
j a ¹	j a ¹
d i p ²	d i ŋ ²
m a k ⁴	m a k ⁴
g j a ³	ˀk j u ³
g j i k ⁴	k j i k ⁴
ˀs ai ⁴	ˀs e ¹
ˀts a ²	dz a ²
ŋ a n ¹	ˀŋ a n ¹
b j a ²	ˀp r ɛ ²
m u ²	m e ²
g j i ⁴	g j e ¹
ŋ a k ⁴	ˀŋ a k ⁴
ɲ u ²	ˀɲ u ²
g a ²	g a ŋ ²
k a p ⁴	tʃ a p ⁴
g u ⁴	d ʊ ¹
ʃ u k ⁴	ʃ u k ⁴
n a ŋ ¹	n a ŋ ¹
ˀn a t ¹	ˀn a ŋ ¹
b r u ¹	ˀp r o ¹
u ŋ ²	ʔ u ŋ ²
m i ¹	dz i ŋ ¹
d a ²	ˀt a ²
w a ŋ ¹	w a ŋ ¹
d ai ⁴	d ai ²
dʒ p a ⁴	dʒ a ²
b i k ⁴	b i k ⁴
ŋ a ¹	ŋ a ¹
n ɛ ¹	n ɛ ¹
n u ³	n u ³
d a ²	d o ²
ˀts i ³	tʃ i ²
ˀl a ⁴	l a ³
b r a ⁴	b r a ¹
b j a p ⁴	b j a k ⁴
j a ŋ ²	j a ŋ ²
g a n ²	dz a n ²
l a ŋ ³	l a ŋ ³
p i p ³	t i ŋ ³
g a m ¹	g a m ¹
j a m ¹	j a m ¹
b r i p ⁴	b r i ŋ ¹
a ¹	n ai ¹
ˀp a ²	ˀp a ²
b ai ²	b i ²
g j u k ⁴	g j u k ⁴
ˀs i ŋ ¹	ˀr i ŋ ¹
ˀl a p ⁴	ˀl a p ⁴
a m ¹	ʔ a m ¹
g u k ⁴	ˀk i k ⁴
dʒ a ²	dʒ ui ²
d a p ⁴	ˀt a p ⁴
m r a ŋ ¹	m r a ŋ ¹
ˀk u ²	ˀk u ²
m a ŋ ²	m a ŋ ²
ŋ a ¹	ˀŋ a ¹
p ai ⁴	m ai ²
ˀs a ³	ʃ o ²
k j u ŋ ³	k r u ŋ ²
dʒ a k ⁴	dʒ a k ⁴
g i ²	ʃ e ²
r a ¹	k r a ¹
g r a ²	g r a ²
w a p ⁴	w a p ⁴
ˀj a ŋ ³	t a ŋ ³
p a p ⁴	k a p ⁴
ˀk j u k ⁴	ˀk r u k ⁴
ˀp a t ⁴	ˀp a t ⁴
s ui ²	ˀs ui ²
j a k ⁴	j a k ⁴
k j a ŋ ŋ ¹	k j a ŋ ¹
l a m ¹	l a m ¹
ŋ j a p ⁴	ŋ j a t ⁴
p a k ⁴	p a k ⁴
ˀts a ⁴	dz a ¹
g a ŋ ¹	g a ŋ ¹
m a n ³	m a n ³
p a p ⁴	k a k ⁴
b r a ¹	b r ɛ ¹
ŋ j a k ⁴	ŋ j a k ⁴
w a k ⁴	w a k ⁴
k a m ¹	t a ŋ ¹
j u k ¹	ˀj i k ⁴
ˀs u ²	ˀr o ²
ˀts u t ⁴	ˀts u t ⁴
d a ŋ ¹	d a m ¹
b j a ¹	b j a ¹
k j a m ¹	k j a m ¹
g i k ⁴	g i k ⁴
dʒ i ²	dz e ²
g j a k ⁴	ˀk j a k ⁴
p a ŋ ŋ ¹	p a ŋ ¹
k a ŋ ²	t a ŋ ²
n a m ²	n a m ²
ɲ a ⁴	n a p ⁴
g a t ⁴	ˀk a t ⁴
k r i ¹	ˀk j ai ³
b i ¹	b i ¹
g r u ³	g r e ²
d i ³	ˀt i ³
b i k ⁴	ˀp i k ⁴
d u ⁴	d u ²
ˀl a ŋ ²	l a ŋ ²
l i ŋ ²	l i ŋ ²
m u ⁴	m i ³
k j a p ¹	k r u p ⁴
ŋ ui ¹	ŋ ui ¹
ŋ a ²	ŋ a ²
k a k ⁴	k a t ⁴
g a t ⁴	d a t ⁴
p ai ¹	ˀm ai ¹
k j a ŋ ³	k j a ŋ ³
dʒ i ŋ ³	dʒ i ŋ ³
b j a ¹	b j a m ¹
b i m ¹	b u m ¹
g a k ⁴	ˀk a k ⁴
m a ŋ ŋ ³	m a ŋ ³
p a m ¹	s a m ¹
ʔ m u ¹	m u ¹
l a ²	l a ²
k a ²	ˀtʃ a k ⁴
m a ⁴	m a t ⁴
b r i ŋ ⁴	b r i ŋ ³
k a ²	k o ²
b j i ŋ ¹	b j i ŋ ¹
m a ⁴	m a ³
d a p ⁴	ˀt a k ⁴
d a ²	ˀt a ŋ ²
d a ⁴	ˀt a ³
d a k ⁴	d a k ⁴
g u ²	g u ²
ˀl u ²	ˀl i ²
b a n ¹	b a n ¹
ˀs a p ²	ˀt o ŋ ²
s a ŋ ŋ ¹	s a ŋ ¹
b j a ŋ ¹	b j a ŋ ¹
u ²	ʔ ʊ ²
p j a m ⁴	g j a m ²
k j a p ⁴	k j a p ⁴
p r ai ¹	m j i ¹
d u ŋ ¹	d u ŋ ¹
n i ⁴	n i ³
ˀs a k	ŋ a n ¹
g j a ³	g j a ³
m i ²	n e ²
b a p ⁴	tʃ a k ⁴
p a m ¹	ʃ a m ¹
g u k ⁴	g u k ⁴
ˀts i ¹	tʃ i ¹
u ¹	ʔ ʊ ¹
ˀn ai ³	ˀn ai ³
b i ŋ ³	b i ŋ ³
g j a ¹	g j ɛ ¹
g j a p ⁴	ˀk j a p ⁴
p r u ¹	p r o ¹
ˀs a ³	ˀr a ²
m j a ŋ ²	m j a ŋ ²
b a ¹	b a ¹
k a ŋ ³	tʃ a ŋ ³
g a ¹	ʔ a ¹
j a k ⁴	t a k ⁴
p a ¹	ʃ ɛ ¹
ʃ a ⁴	ʃ a ¹
ˀn a ¹	ˀn a ¹
g i n ²	g a n ²
m j u ¹	m j u ¹
b j a p ⁴	ˀp j a t ⁴
ˀn a p ⁴	ˀn a p ⁴
ˀj i t ⁴	j i p ⁴
ˀs a ²	s ɛ ²
p j a ¹	p j a ¹
j a m ⁴	ˀn i k ⁴
ˀj u m ⁴	l u m ¹
p i k ⁴	k i k ⁴
ˀj u ²	d ʊ ²
j a m ²	j a m ²
l i ¹	l i ¹
g r u k ⁴	ˀk j u ¹
s u m ²	s u m ²
n i k ⁴	n i k ⁴
w a ¹	w a ¹
l i ²	l i ²
l i k ⁴	l i k ⁴
ʃ a n ²	ʃ a n ²
m j u k ⁴	m j u k ⁴
g r a k ⁴	g r o k ⁴
ˀl ai ¹	ˀl ai ¹
ˀts a ²	ʃ a ²
b a ¹	b j ɛ ¹
ˀts u ⁴	tʃ u ²
ˀts a p ⁴	ts a p ⁴
ˀt u ŋ ²	t u ŋ ²
j a k ⁴	m j a k ⁴
s a n ²	s a n ²
p j a ³	p j ɛ ³
