ˀtʃ a ŋ ³	dʒ i ŋ ³
ˀk ɛ ¹	ʃ ɛ ¹
p i k ⁴	p i k ⁴
ˀk a ²	ˀp a ²
b j i ŋ ³	b r i ŋ ³
u ŋ ²	ʔ u ŋ ²
g a ŋ ²	g a ŋ ²
ˀk i ¹	n i ¹
b a k ⁴	b i k ⁴
ˀk a ŋ	ŋ a n ¹
ˀk a p ⁴	tʃ a k ⁴
ˀk a m ⁴	ˀk a m ¹
l a k ¹	l i k ⁴
d a ŋ ³	dz a ²
ˀk a ²	ˀt a ŋ ²
ˀk ɛ p ⁴	k a p ⁴
l a m ¹	l a m ¹
g r r a ⁴	g r a ³
g r a k ⁴	g r a k ⁴
m u ²	m u ²
ˀtʃ i ²	dz e ²
ˀŋ a p ⁴	ŋ a k ⁴
m a ¹	ˀm ai ¹
ˀk a ²	ʃ o ²
ˀk a p ⁴	j a k ⁴
k r u p ¹	k r u p ⁴
ˀk j a k ⁴	ˀk r u k ⁴
g a ²	d ʊ ²
ˀk i ²	k ai ²
ˀk i p ⁴	ˀs u t ⁴
g i ²	g r e ²
l a ŋ ²	l a ŋ ²
ŋ j a ŋ ²	j a ŋ ²
ˀk a ²	k o ²
m a ŋ ²	m a ŋ ²
ŋ i ¹	ɲ u ¹
r i ŋ ¹	s i ŋ ²
ˀk i ²	b i ²
ˀk u p ⁴	b u p ⁴
ʃ u k ⁴	ʃ u k ⁴
g u k ⁴	g u k ⁴
b j a p ⁴	ˀp j a t ⁴
ˀk a m ²	g j a m ²
m ɛ ¹	m a t ⁴
d i ²	d ai ²
t a ŋ ²	t a ŋ ²
ŋ a ¹	ŋ a ¹
w a ŋ ¹	w a ŋ ¹
ai n ¹	ˀj i m ¹
b j a ²	ˀp r ɛ ²
ˀk i ²	ˀs ui ²
t a ³	ˀt a ³
j a k ⁴	m j a k ⁴
ˀtʃ u ²	ˀɲ u ²
ˀŋ j a k ⁴	ŋ j a k ⁴
ˀk a t ⁴	ˀts a t ⁴
ˀtʃ ɛ p ⁴	dʒ a p ⁴
ˀk ai ²	ˀs ai ²
ai ³	ʔ ʊ ¹
ˀk a p ⁴	ˀr a k ⁴
r a k ⁴	ˀs a k ⁴
ˀk i k ⁴	ˀj u k ⁴
ˀk ɛ ⁴	s ɛ ²
ˀk a ŋ ¹	b j i ŋ ¹
ˀk j a k ⁴	ˀk j a k ⁴
n u ³	n u ³
d a t ⁴	d a t ⁴
ˀn a ³	ˀn ai ³
ˀk a ⁴	dz a ¹
ˀn a m ¹	ˀn a m ¹
