x a ¹	k u ³
ˀn o̠ ³	ˀn u̠ ³
g a ³	g a ³
a ¹	a ¹
n y ¹	n y ¹
ɣ o̠ ³	t u ³
tsʰ e ¹	tsʰ e ¹
b i ¹	b i ¹
tsʰ e ¹	tsʰ e̠ ³
tsʰ i̠ ¹	tsʰ i̠ ¹
m a ³	m a ³
ˀl i ¹	ˀl i ¹
v e̠ ŋ ³	v i̠ ³
b i ²	pʰ e ²
pʰ u ³	b y̠ ³
d e ³	d e ³
a ¹	a ¹
x i̠ ³	x ɨ̠ ³
ɣ o̠ ¹	h u ¹
pʰ i ³	pʰ e ¹
g u ²	g j u ²
p a̠ ²	p a̠ ³
a ¹	a ¹
ɣ i ¹	ɣ i ¹
b a ŋ ²	m o̠ ³
ˀl o̠ ³	ˀl o̠ ¹
tʰ e̠ ¹	tʰ e̠ ¹
kʰ u ³	kʰ a ŋ ²
g a ¹	g ɨ ¹
kʰ i ¹	kʰ i ¹
l o̠ ¹	l u̠ ¹
g a ŋ ²	ɣ o ³
ɣ a ²	dz i ²
s a ²	s a ²
b ɛ ¹	b ɛ ¹
dz i ²	dz i ²
m u ¹	m o ²
k a ²	dz a ¹
b a ²	b j a ²
a ¹	a ¹
d e̠ ¹	d e ¹
l o ²	l y ²
ʃ a ¹	ʃ a ³
a ¹	a ¹
ŋ o̠ ¹	ŋ w a ¹
v a ²	v a ²
tʃ i ¹	tʃ ɨ̠ ¹
tʃ ɛ ¹	tʃ i̠ ¹
ts a ³	ts a ³
a ²	a ²
b ²	n i ²
tsʰ i̠ ³	g j o ¹
p y ³	p ɨ̠ ¹
b y ³	p u ¹
s e ¹	s e ¹
s ɛ ²	s ɛ ²
ˀm a̠ ²	m ɛ ²
z a ²	z a ²
a ²	a ²
m e ²	m a ³
v y ²	v i ²
b i ²	b j o ²
g u ¹	g o ŋ ¹
ɣ u ¹	h e ¹
tʃʰ e ²	tʃʰ e ¹
ˀn a ŋ ²	n a ²
m j a ²	m j y ²
ɣ i ¹	ɣ i ¹
b a ³	b u̠ ¹
b y ¹	b y ¹
s a ¹	s u ¹
m o ²	m o ²
d a ¹	d a ¹
ˀn a ²	ˀn a ²
ˀn a ²	ˀn a ²
tʃʰ a ¹	tʃʰ u ¹
ʒ ɛ ²	s ɛ ²
b e̠ ²	b e ²
ˀl y ²	l i ²
m j o̠ ³	m j o̠ ³
ʃ a ¹	ʃ a ¹
ʒ o̠ ³	ʒ o̠ ³
pʰ u ²	pʰ u ²
b ɛ ³	b j e̠ ³
n i̠ ¹	n i̠ ¹
m a ³	m a ³
l a ŋ ²	ˀl i̠ ³
l a ²	l a ²
l e̠ ³	l e̠ ³
ɣ u ³	ʃ a̠ ³
b a ²	b a ²
x a̠ ³	x a̠ ³
kʰ ɛ ²	kʰ j ɛ ²
d o ²	d u ¹
a ²	a ²
kʰ a ¹	kʰ a ¹
d e ²	tʃʰ e ²
ŋ a ¹	ŋ a ¹
m e̠ ³	ˀm e̠ ³
e̠ ³	a ²
s ɛ ²	s ɛ ²
t e ²	t e ²
tʃʰ i ¹	tʃʰ e ¹
b e̠ ³	b e̠ ³
b o ²	b o ²
z a ²	z a ²
b i ¹	ˀn i ¹
x y ¹	x y ¹
ts a̠ ¹	ts a ¹
m e̠ ¹	m j a ²
t a ⁵⁵	t a ⁵⁵
ˀl a ²	ˀl a ²
b ɛ̠ ¹	b e ³
dz a ²	dz a ²
k i ²	k a ŋ ²
g a ³	g a̠ ³
d u ¹	d u ¹
ɣ ɛ̠ ³	h e̠ ³
kʰ ɨ ³	kʰ ɨ̠ ³
b u ³	p ɛ ¹
ˀn u ŋ ³	n i̠ ³
s ɛ ²	s ɛ ²
s y ¹	s y ¹
k u ²	tʃ u ²
b ɛ ¹	b ɛ ¹
t e ¹	d e ¹
b u ¹	b ɨ̠ ¹
dz a ŋ ¹	dz a ŋ ¹
ɣ e ¹	ɣ u ²
ˀn e̠ ¹	ŋ j a̠ ¹
m a ²	ˀm u ¹
m a ³	m a ³
ɣ i ²	h ɛ ²
dz a ¹	dz a ¹
k o ³	k o ³
tʰ ɛ ³	tʰ ɛ ³
n e̠ ¹	n e̠ ¹
a ¹	a ²
ɣ i̠ ³	ɣ i̠ ³
a ²	a ²
d i ¹	d i ¹
e ²	e ²
ˀm y ¹	m y ¹
ʃ ɛ ¹	ʃ ɛ ¹
g a ²	g j a ²
tsʰ i ¹	tsʰ u ¹
pʰ y ³	pʰ y̠ ³
kʰ j e̠ ¹	kʰ e̠ ¹
ɣ a ¹	h a ¹
m ŋ u ²	m j a ²
b a ²	b a ²
dz i ³	dz i ³
s e ²	s e ²
ˀn a ²	n ɛ ²
z i ²	z i ²
ɨ̠ ²	ɨ̠ ¹
tsʰ o̠ ³	tsʰ o̠ ¹
dʒ ɛ ¹	dʒ ɛ ¹
a ¹	a ¹
ɣ ɛ ¹	ʃ ɛ ¹
ɣ i ¹	ɣ i ¹
tsʰ a ²	tsʰ ɛ ²
l a ŋ ¹	l a ŋ ¹
b i ²	pʰ u ¹
tʃʰ e̠ ³	tʃʰ e̠ ³
b a̠ ¹	h e ¹
tʰ i ²	t i̠ ³
tʃʰ y ¹	tsʰ y ¹
ˀm j e̠ ³	ˀm j e̠ ¹
a ¹	a ¹
ɣ a ŋ ²	h a ŋ ²
kʰ i ¹	kʰ u ¹
t i ³	tʃʰ ɛ ²
ˀl y ¹	ˀl y ¹
m̩ ²	m o ²
pʰ a̠ ²	p a̠ ³
d ɛ ²	d ɛ ²
kʰ u ²	kʰ u ²
l a ŋ ²	l a ŋ ²
k ɛ ¹	k j ɛ ¹
tʃʰ o̠ ¹	tʃʰ o̠ ¹
ˀn i ¹	ˀn i ¹
m o̠ ³	m o̠ ¹
tʰ a ŋ ²	tʰ a ŋ ²
pʰ u ³	p e̠ ³
b y ²	b y ²
tʃʰ u ³	tʃʰ i̠ ³
kʰ i ¹	kʰ i ¹
b o ³	b o ³
t a ŋ ¹	t a ŋ ¹
m̩ ²	m u ²
tsʰ i ²	tsʰ i ²
t e ¹	t e ²
kʰ o̠ ¹	kʰ j y ¹
b j ɛ̠ ³	b j a̠ ³
k i ²	kʰ ɨ̠ ¹
n e̠ ³	n e̠ ³
b ɛ̠ ³	b j ɛ̠ ¹
pʰ e̠ ³	pʰ i̠ ³
a ²	a ²
a ¹	a ¹
pʰ a ²	pʰ a ²
ɣ o̠ ¹	ʃ o̠ ¹
l e̠ ³	l e̠ ³
l u ²	h y̠ ³
ɣ i ¹	ˀn i ¹
a ¹	a ¹
pʰ a̠ ²	pʰ ɛ ³
s a ²	s a ²
n a ²	ˀn a ²
d ɛ̠ ³	d ɛ̠ ³
ɣ i ¹	ɣ i ¹
pʰ a ³	pʰ o̠ ¹
ˀm j e̠ ¹	ˀm j e̠ ¹
dʒ a ¹	dʒ e̠ ¹
p ɨ ²	p j ɨ ²
m j a ²	m j a ²
s i̠ ¹	s i̠ ¹
ɣ y ¹	ɣ i ¹
pʰ o ²	pʰ u ¹
ˀn e̠ ŋ ³	n e ²
ʃ i ³	ʃ i̠ ¹
g a ŋ ³	g a ³
pʰ i ¹	pʰ e̠ ¹
g a ²	g a ²
p a̠ ²	b ɨ ²
m a ²	m a ²
ɣ a ¹	h a ¹
kʰ j y ²	kʰ ɨ̠ ³
tʃʰ i ²	tʰ i ²
x a ŋ ³	ˀx o̠ ¹
g y ²	g o̠ ³
ɣ y ŋ ³	ɣ y̠ ³
m a ³	m a ³
s e ¹	s e ¹
z a ³	t a ³
pʰ e ²	p ɛ ³
z i ³	ʒ i̠ ³
ˀn a ³	ˀn u̠ ³
k y ŋ ³	kʰ j o ³
d a ŋ ³	d a ŋ ¹
g e ²	kʰ u ²
dz i ²	dʒ e ³
ɣ i ³	ɣ ɨ ³
ʒ o ¹	ʒ u ¹
k a ¹	dʒ a ¹
k e̠ ²	k j ɛ ²
ˀl u ³	ˀl o̠ ¹
k a ¹	k a̠ ³
ˀl a ŋ ¹	l a ŋ ¹
z a ŋ ²	ts u ²
d e̠ ³	tʃ e̠ ³
a ¹	a ¹
l u ³	l u ³
k e̠ ²	k j e ²
ɣ i ¹	ɣ i ¹
ˀn i ¹	n i ¹
n e̠ ³	n i̠ ³
dz a ¹	dz i̠ ¹
kʰ a ³	kʰ a ³
kʰ ɨ ²	kʰ ɨ ²
d i ¹	d i ¹
n a ³	n a ŋ ³
m y ²	m u ²
kʰ a ²	kʰ a ²
ɲ u ²	n u ²
ɣ y ²	t i ²
z a ²	ʃ a ²
ˀm o̠ ³	m o̠ ³
