j o ⁵	j ɔ ⁵
m æ ⁴	m æ ⁴
dʑ i ³	d i ³
n o ²	n o ²
ɣ æ ¹	ɣ æ ¹
k w a ⁴	k w a ⁴
d a ⁴	d a ⁴
tsʰ e ¹	tsʰ r e ŋ ¹
tsʰ o ⁴	tsʰ o ⁴
tʰ ɯ ⁴	tʰ ɯ̃ ⁴
dʑ e n ²	ɖʐ e n ²
m æ ¹	m æ ¹
x e n ¹	x e n ¹
q w ɛ ⁵	q w ɛ ³
b æ ¹	b æ ¹
qʰ w æ ¹	qʰ w æ ¹
l o ŋ ¹	l o ŋ ¹
tsʰ e ²	tsʰ r e n ²
k w ɛ ¹	k w ɛ ¹
ɣ u ²	ɣ u ŋ ²
tsʰ o ŋ ⁵	tsʰ o ŋ ³
ɖʐ i ²	ɖʐ i ²
tʰ r o ⁴	tʰ r o ⁴
s r ɯ ²	sʰ r ɯ ²
tʰ j u ²	tʰ r u ²
ʈ o ⁴	ts r o ⁴
b w æ ⁴	x w a ¹
b o ²	b j o ²
n r e n ⁴	n j e ⁴
sʰ j ɔ ¹	sʰ r ɔ ¹
χ w a ⁴	h w a ⁴
b ɯ ¹	b ɯ ¹
x e n ¹	x e n ¹
ɣ ɯ ²	ɣ ɯ ²
m ø ²	m o ²
p j a ⁴	b a ŋ ⁴
ɖʐ o ŋ ²	ɖʐ u ŋ ²
ɣ o ¹	w u ⁴
m ɔ ¹	m ɔ ¹
ŋ w e n ¹	ŋ w e n ¹
ɣ w o ¹	ɕ w i ²
k o ⁵	k o ⁵
n o ŋ ¹	n o ŋ ³
n j e n ¹	n j e n ¹
d r o ŋ ¹	d r o ŋ ¹
s u ŋ ³	s u ŋ ³
p u ²	p ɯ ²
sʰ r ɯ ²	sʰ r ɯ ²
q æ ⁵	q æ ⁵
b w o ⁴	s w a ⁴
qʰ o ⁴	kʰ o ⁴
ts r e ¹	ts r e ŋ ¹
ŋ ɔ ³	ŋ ɔ ³
b e ⁴	b ɛ ⁴
ɖʐ i ¹	ɖʐ i ¹
t w e n ¹	t w e n ¹
q ɯ ¹	q ɯ ¹
ts u ŋ ²	ts u ŋ ²
ts i ²	ts i ²
k ɯ ¹	k ɯ ¹
d ɔ ⁵	d ɔ ⁵
d r ɯ ²	d r ɯ ²
s r e ¹	sʰ r e ŋ ¹
tʰ e ⁴	tʰ r e ⁴
d o ⁴	d r o ⁴
l ɔ ¹	l ɔ ¹
b r u ²	b ɯ ²
tsʰ u ³	tsʰ u ³
ɣ o ¹	ɣ ɔ ¹
dʑ i ⁴	d i ⁴
tsʰ j i ⁴	tsʰ j i ⁴
qʰ e n ¹	qʰ e n ¹
ɣ j u n ¹	z r o ŋ ¹
ɣ o ⁴	ʔ o ⁴
tʰ r o ŋ ¹	tʰ r o ŋ ¹
d r ɯ ¹	d j ɯ ¹
p æ n ²	p æ n ²
qʰ u ¹	qʰ u ¹
z i ³	z ɯ ³
tsʰ j i ¹	tɕʰ i ¹
sʰ o ⁴	sʰ o ⁴
j a ⁴	j a ⁴
b æ ⁴	b æ ⁴
b r i ŋ ¹	p r i ¹
ŋ ɔ ¹	ŋ ɔ ¹
s j i ²	s j i ²
ts o ⁵	ts o ⁵
tsʰ j j æ n ¹	tɕʰ æ ¹
ts i ²	ts i ²
ɣ æ ⁴	ɣ æ ⁴
t ɯ n ⁴	tʲ ɯ ⁵
n w e n ¹	ʔ w e n ¹
ʈ u ŋ ²	ʈ s u ŋ ²
qʰ ɔ ¹	qʰ ɔ ¹
qʰ a ⁴	qʰ a ⁴
ɖʐ o ³	ɖʐ o ³
q a ŋ ¹	q a ŋ ¹
kʰ r o ²	kʰ r o ²
tsʰ o ¹	tsʰ u ŋ ¹
ɕ i ⁴	ɕ i ⁴
d r o ⁴	d j ɯ ¹
qʰ w æ ³	qʰ w æ ³
m ɛ ¹	m ɛ ¹
s r u ⁵	s r o ⁵
b ɔ ³	b ɔ ³
k o ⁵	k o ⁵
qʰ o ŋ ¹	kʰ u ŋ ¹
d ɯ ¹	d r ɯ̃ ¹
q a ŋ ¹	q a ŋ ¹
ɖʐ i ⁴	ɖʐ i ⁴
t æ ⁴	t æ ŋ ⁴
m r i ¹	m j i ¹
q ɯ ¹	q ɯ ¹
s w a ŋ ¹	s w a ŋ ¹
k ɔ ⁴	k o ⁴
pʰ æ ⁴	pʰ æ ⁴
m ɛ ³	m i ¹
m ɯ ¹	m ɯ ¹
ɣ a ŋ ¹	ɣ æ ¹
tɕ i ¹	tɕ u ¹
n j o ŋ ⁴	ŋ j o ŋ ⁴
b j e ²	b j ɛ ²
tsʰ i ⁴	tɕʰ i ⁴
q w a ⁴	q w a ⁴
x ɯ ²	x ɯ ³³
ʈ r æ ⁴	ʈ æ ⁴
ɖʐ i ⁴	ɖʐ i ⁴
d o ¹	d r o ŋ ¹
t i ¹	tʲ ɯ ¹
tʰ æ ⁴	tʰ r æ ⁴
qʰ o ŋ ¹	kʰ o ŋ ¹
m e ²	m ɛ ²
ŋ o ³	ŋ o ³
tʰ u ³	tʰ r u ³
χ ɯ ⁴	χ ɯ ⁴
q æ n ¹	q æ n ¹
dʑ i ²	dʑ i ²
b e ²	b e ²
s o ¹	s ɔ ⁴
ts j j e n ⁵	ts j e n ⁵
m e ⁵	m ɛ ⁵
d o ¹	d r o ŋ ¹
g ɯ ŋ ³	g ɯ̃ ³
p æ ⁴	p æ ⁴
ʁ ɯ ¹	ʁ ɯ ⁴
s ɔ ²	s ɔ ²
g ɔ ¹	g ɔ ¹
s r æ ²	s r e ŋ ²
q æ ⁴	q æ ⁴
qʰ ɔ ²	qʰ ɔ ²
q o ⁴	q ɔ ⁴
ts o ⁴	ts o ⁴
s j i ⁴	s j i ⁴
ts r e ²	ts r e n ²
d u ŋ ¹	ts u ŋ ¹
tsʰ j æ n ¹	tsʰ j æ n ¹
ɣ o ¹	ɕ a
d e ⁴	d r ɛ ⁴
b ɛ ²	p ɛ ²
ʁ o ŋ ¹	ʁ o ŋ ¹
ŋ w a ⁴	ŋ w a ⁴
tʰ u ²	tʰ j u ²
n j o ²	ŋ j o ²
d w a ¹	d w a ⁴
m i ²	m i ²
n r e ⁴	n j i ⁴
n ɛ ¹	n ɛ ¹
x æ ŋ ¹	χ æ n ¹
b o ¹	b ã ¹
ts r e ¹	ts r e ŋ ¹
s r u ¹	s r u ¹
sʰ o ⁴	ɕ o ⁴
d r ɯ ³	d r ɯ ³
d o ŋ ²	d j o ŋ ²
b i ¹	p r i ⁴
m ɯ ²	m ɯ ²
j o ²	n j o ²
p r o ¹	p r ɔ ¹
tɕ i ¹	tɕ i ¹
h o ¹	h ɔ ¹
b o ŋ ²	b o ŋ ²
m ɯ ¹	m ɯ ²
d ɛ ⁴	d ɛ ⁴
p j o ⁴	p j u ⁴
sʰ æ ⁴	sʰ r æ ⁴
q æ ¹	q æ n ¹
ʈ o ²	ts r ɔ ²
ɯ ²	ɯ̃ ²
s r o ²	s r o ²
ɣ j e n ¹	p r e n ¹
ŋ w e n ²	ŋ w e n ²
q æ n ²	q æ n ²
p ɯ ¹	b r i ¹
sʰ w a ŋ ³	sʰ w a ŋ ³
p u ²	p u ²
ɣ ɯ ²	p u ²
ŋ ɯ ¹	ŋ ɯ ¹
q æ n ²	q æ n ¹
b r æ n ³	b æ n ³
ʈ j ɯ ²	ʈ ɯ ²
d r a ⁴	ɕ a ⁴
qʰ w a ŋ ²	qʰ w a ŋ ²
tʰ r æ n ¹	tʰ æ n ¹
ɣ ɯ ¹	ɣ ɯ ¹
tɕ j ɯ ²	tɕ ɯ ²
b r i n ¹	b r i ²
s j e n ¹	s j e n ¹
x w i ²	x w i ²
q ɯ ²	ɣ ɯ̃ ²
b æ ŋ ¹	b æ ŋ ¹
m ɔ ⁴	m ɔ ⁴
l ɔ ¹	l ɔ ¹
tɕ r ɯ ¹	tɕ ɯ ¹
s r e ¹	s r e ŋ ¹
ɖʐ u ŋ ⁴	ɖʐ u ŋ ⁴
ɣ w i ²	kʰ w ɛ ²
n w e n ¹	ʔ w e n ¹
n o ŋ ⁵	n o ŋ ⁵
m ɯ ⁴	m ɯ ⁴
h e ŋ ³	h a ŋ ⁵
ts r i ²	ts r i ²
s e n ⁵	s e n ⁵
ɣ u ¹	ʂ u ¹
m e ¹	m e ¹
p r i n ¹	p r e n ¹
tʰ ə ⁴	tʰ e ⁴
