kʰ l ei ¹¹	kʰ l ei ¹¹
b l ɔ ŋ ¹¹	p l ɔ ŋ ¹¹
ʔ e ¹¹	ʔ e ¹¹
s a n ⁵⁵	s a ɴ ⁵⁵
n ə ¹¹	n ei ¹¹
l w i ¹¹	l w i ¹¹
p l e ⁵⁵	p l e ⁵⁵
n ɔ ʔ̚ ⁵¹	n̥ ɔ ʔ̚ ⁵¹
ˀb u ⁵⁵	ˀb ə ⁵⁵
d ɨ m ⁵⁵	d ɨ m ⁵⁵
d ɛ ʔ̚ ⁵¹	d ɛ ʔ̚ ⁵¹
kʰ l ɔ ¹¹	kʰ l ɔ ¹¹
s o ʔ̚ ¹¹	s o ¹¹
j a ⁵⁵	ŋ j ai ⁵⁵
l ei ⁵⁵	l ei ⁵⁵
kʰ ɔ ʔ̚ ⁵¹	kʰ ɔ ʔ̚ ⁵¹
ˀb ɔ ⁵⁵	ˀb ɔ ⁵⁵
ˀd ɛ ¹¹	ˀd ɛ ¹¹
m ɨ n ⁵⁵	m w ɨ ɴ ⁵⁵
g i ⁵⁵	k i ⁵⁵
b r e ⁵⁵	b r e ⁵⁵
k l a ⁵⁵	k l a ⁵⁵
tʰ a ŋ ⁵⁵	tʰ a ŋ ⁵⁵
ˀd ə n ⁵⁵	ˀd w ɨ ɴ ⁵⁵
cʰ a ¹¹	cʰ a ¹¹
g w a m ¹¹	g l a m ¹¹
d e ⁵⁵	d e ɴ ⁵⁵
tʰ au ⁵⁵	tʰ au ⁵⁵
tʰ ə ŋ ⁵⁵	tʰ ə ɴ ⁵⁵
k ou ¹¹	h ou ¹¹
b i ʔ̚ ⁰	b ə ʔ̚ ⁰
j o ʔ̚ ⁵¹	j o ʔ̚ ⁵¹
k ə ⁰	p ə ⁰
t ə ⁰	d ə ŋ ⁵⁵
s o ⁵⁵	s o ⁵⁵
s ei ¹¹	s ei ¹¹
m a ¹¹	m̥ a ¹¹
r r ə ⁵⁵	t r e ⁵⁵
r u ŋ ⁵⁵	r̥ u n ⁵⁵
pʰ ou ⁵⁵	pʰ ou ⁵⁵
k a ⁰	k ə ʔ̚ ⁰
tʰ a ɴ ¹¹	tʰ a ŋ ¹¹
kʰ w i ⁵⁵	kʰ w i ⁵⁵
l̥ o ⁵⁵	l̥ o ⁵⁵
pʰ e ʔ̚ ⁵¹	pʰ e ʔ̚ ⁵¹
l a ɴ ⁵⁵	l a m ⁵⁵
n o k̚ ⁵¹	n o k̚ ⁵¹
k o ⁵⁵	s u ⁵⁵
n i ⁵⁵	n̥ i ⁵⁵
cʰ ei ⁵⁵	cʰ ei ⁵⁵
m ɛ ¹¹	m w ɛ ¹¹
s w w a ¹¹	s w w a ¹¹
kʰ a ɴ ⁵⁵	kʰ a ɴ ⁵⁵
j a ⁵⁵	r j a ⁵⁵
l e ʔ̚ ⁵¹	l e ʔ̚ ⁵¹
ɲ̊ ə ⁵⁵	ɲ̊ au ⁵⁵
ŋ j a ʔ̚ ⁵¹	ŋ j a ʔ̚ ⁵¹
cʰ u ŋ ⁵⁵	cʰ u ɴ ⁵⁵
n̥ ɨ ŋ ⁵⁵	n ɨ ŋ ⁵⁵
d o ¹¹	d o ¹¹
l̥ i ⁵⁵	l ei ⁵⁵
cʰ a n ⁵⁵	cʰ j a ɴ ⁵⁵
n a t̚ ⁵¹	ŋ j a t̚ ⁵¹
r ou ¹¹	r ou ¹¹
l a ŋ ⁵⁵	l a ŋ ⁵⁵
c ɔ ¹¹	c ɔ ¹¹
j ə m ¹¹	j ɨ m ¹¹
k ə ⁰	g ə ⁰
ˀd e ¹¹	ˀd e ¹¹
tʰ w ɨ m ⁵⁵	tʰ w ɨ ɴ ⁵⁵
k l ə ʔ̚ ⁵¹	k l ə ʔ̚ ⁵¹
m u ¹¹	m u ¹¹
k ə ⁰	k ə ⁰
l ou ¹¹	l̥ ou ¹¹
ʔ a m ¹¹	ʔ a m ¹¹
m i n ⁵⁵	ˀm i n ⁵⁵
k ə ⁰	k ə ⁰
kʰ j o ʔ̚ ⁵¹	kʰ r o ʔ ⁵¹
ˀb a ŋ ¹¹	ˀb a ŋ ¹¹
kʰ i ʔ̚ ⁵¹	kʰ i ʔ̚ ⁵¹
b i ʔ̚ ⁵¹	p i ʔ̚ ⁵¹
tʰ ei ⁵⁵	tʰ ei ⁵⁵
k l o ŋ ¹¹	k l ə ŋ ¹¹
m ə ¹¹	m ə ¹¹
kʰ o ʔ̚ ⁵¹	kʰ o ʔ̚ ⁵¹
w a ⁵⁵	g w a ⁵⁵
kʰ ei ⁵⁵	kʰ ei ⁵⁵
b o ¹¹	b o ¹¹
tʰ u ⁵⁵	tʰ u ⁵⁵
s ə ŋ ⁵⁵	s ə ŋ ⁵⁵
cʰ ɛ ŋ ⁵⁵	cʰ ɛ ŋ ⁵⁵
ˀd e ʔ̚ ⁵¹	ˀd e ʔ̚ ⁵¹
l a ¹¹	l̥ a ¹¹
cʰ a n ¹¹	cʰ j a ɴ ¹¹
l̥ ɛ ⁵⁵	l w ɛ ⁵⁵
m e ¹¹	m e ¹¹
l e ¹¹	l e ¹¹
kʰ l e ⁵⁵	kʰ l i ⁵⁵
j ə ⁵⁵	j ai ⁵⁵
kʰ u ¹¹	kʰ u ¹¹
tʰ ɔ ʔ̚ ⁵¹	tʰ ɔ ʔ̚ ⁵¹
d ə ŋ ¹¹	d ə ŋ ¹¹
n ɔ ¹¹	n̥ ɔ ɴ ¹¹
c u ⁵⁵	c u ⁵⁵
s ɔ ʔ̚ ⁵¹	s ɔ ʔ̚ ⁵¹
tʰ a m ⁵⁵	tʰ a m ⁵⁵
b l a ¹¹	b l a ¹¹
pʰ a ʔ̚ ⁵¹	p a ʔ̚ ⁵¹
ʔ u ⁵⁵	ʔ u ⁵⁵
kʰ ei ¹¹	kʰ ei ¹¹
kʰ l ɛ ŋ ⁵⁵	kʰ l ɛ ɴ ⁵⁵
s ə ⁰	s ə ⁰
l ou ¹¹	l̥ ou ¹¹
kʰ r a ¹¹	g r a ¹¹
s r a ⁵⁵	s r a ⁵⁵
m a ⁵⁵	m̥ a ⁵⁵
ʔ ə ŋ ⁵⁵	ʔ ə ŋ ⁵⁵
p l a ¹¹	p l a ¹¹
t a ʔ̚ ⁰	t ə ʔ̚ ⁰
cʰ a ⁵⁵	cʰ a ⁵⁵
m ə ŋ ¹¹	m ə ŋ ¹¹
kʰ a ʔ̚ ⁵¹	kʰ a ʔ̚ ⁵¹
r a ŋ ¹¹	r a ɴ ¹¹
s i ⁵⁵	s ei ⁵⁵
p u ¹¹	p ɨ ¹¹
kʰ l i t ⁵⁵	kʰ l i ʔ ⁵¹
p r ɔ ʔ̚ ⁵¹	p r ɔ ʔ̚ ⁵¹
s a t ⁵¹	h a t̚ ⁵¹
l i m ¹¹	l i n ¹¹
kʰ ɔ ʔ̚ ⁵¹	kʰ r ɔ t ⁵¹
ˀb ɔ ⁵⁵	ˀb ɔ ɴ ⁵⁵
m ɨ ¹¹	m ɨ ¹¹
s a ¹¹	s a ¹¹
ʔ a ⁵⁵	ʔ a ⁵⁵
d a ʔ̚ ⁵¹	d a ʔ̚ ⁵¹
tʰ o ¹¹	tʰ o ¹¹
kʰ i ŋ ⁵⁵	kʰ i ŋ ⁵⁵
kʰ l ei ⁵⁵	kʰ l ei ⁵⁵
kʰ w i ¹¹	kʰ w i ¹¹
l o ŋ ¹¹	l o ŋ ¹¹
pʰ a ⁵⁵	pʰ a ⁵⁵
n a ¹¹	n a ¹¹
d a ʔ̚ ⁵¹	d a ʔ̚ ⁵¹
b r a ⁵⁵	b r a ⁵⁵
j w a ¹¹	h w a ¹¹
ˀb ə ¹¹	ˀb ə ¹¹
cʰ a ŋ ⁵⁵	cʰ a ŋ ⁵⁵
l e ʔ̚ ⁵¹	l e k̚ ⁵¹
k i ¹¹	k i ¹¹
j ɔ ʔ̚ ⁵¹	ɲ̊ ɔ ʔ̚ ⁵¹
n w ɛ ¹¹	n̥ w ɛ ¹¹
s a ʔ̚ ⁵¹	s a ʔ̚ ⁵¹
ˀb a ¹¹	ˀb a ¹¹
p a ¹¹	p j a ¹¹
s w i ¹¹	s w i ¹¹
s ɨ ¹¹	s w ɨ ɴ ¹¹
p u ŋ ¹¹	ˀb l u ŋ ¹¹
ˀb o ʔ̚ ⁵¹	ˀb o ʔ̚ ⁵¹
k ə ⁰	l a ʔ̚ ³³
ɟ w i k̚ ⁵¹	c w i k̚ ⁵¹
ʔ̚ w i ¹¹	ʔ w i ¹¹
b ə ʔ̚ ⁵¹	p ə ʔ̚ ⁰
ˀb i ¹¹	ˀb i ¹¹
tʰ a ʔ̚ ⁵¹	tʰ a ʔ̚ ⁵¹
cʰ a ⁵⁵	c a ⁵⁵
tʰ u n ¹¹	tʰ u ɴ ¹¹
kʰ i ⁵⁵	kʰ ə ⁰
j ɔ ʔ̚ ⁵¹	j ɔ ʔ̚ ⁵¹
tʰ w ɛ ⁵⁵	tʰ w ɛ ⁵⁵
kʰ a ŋ ⁵⁵	g a ŋ ⁵⁵
s r ɔ ¹¹	s r ɔ ¹¹
g l ɛ ⁵⁵	k l ɛ ⁵⁵
r ə ʔ̚ ⁵¹	r ə ʔ̚ ⁵¹
s a ¹¹	s a ¹¹
