ˀx i̠ ³	x i̠ ³
pʰ j a ¹	pʰ j a ¹
ˀl a ¹	ˀl a ¹
ˀl y ³	ˀl y ³
m i ¹	m i ¹
kʰ o ¹	kʰ o ¹
b i ¹	b e ³
ˀl o̠ ¹	ˀl o̠ ¹
k j ɛ ²	k j ɛ ²
v ɛ ¹	v ɛ ¹
ˀm e̠ ¹	ˀm j e̠ ¹
a ¹	a ¹
l u ³	l e̠ ³
z e̠ ³	z e̠ ³
b y ¹	b y ¹
g j u ²	g j ɛ ²
dz y ¹	dz i ¹
a ¹	a ²
h e̠ ³	h e̠ ³
g a ¹	g a ¹
t i ¹	t i ¹
m o̠ ¹	m o̠ ¹
ɣ a ³	ɣ a ³
b y ¹	b y ¹
tʃ a̠ ³	tʃ a̠ ³
k j a ŋ ²	ts u ²
tʃ ɨ̠ ¹	tʃ ɨ̠ ¹
ɣ ɨ ¹	ɣ ɨ ¹
a ¹	a ¹
h e ¹	h e ¹
h a ŋ ²	h a ŋ ²
m e̠ ³	ˀm e̠ ³
k a ¹	dʒ a ¹
b ɛ ¹	b ɛ ¹
t o̠ ³	t o̠ ³
a ¹	a ¹
h u ²	h y̠ ³
d e ³	d e ³
ŋ j o ¹	ˀŋ j a̠ ¹
z y ²	z y ²
a ¹	a ¹
m e ¹	m e ¹
kʰ ɛ ²	kʰ j ɛ ²
a ²	a ¹
a ¹	a ¹
ˀl u ³	ˀl u ³
k a ³	k a̠ ³
tʃ a ³	tʃ a ³
tʰ u ²	tʰ u ²
k i ¹	k i ¹
kʰ ɛ ³	g a ³
tʰ y ³	tʰ y ¹
m̩ ²	m u ²
l o̠ ¹	l u̠ ¹
ˀn i ¹	ˀn i ¹
n o̠ ¹	n u̠ ¹
k a ¹	k a̠ ³
kʰ i ¹	kʰ i ¹
n i ²	n i ²
b a ŋ ²	v a ŋ ²
d a ¹	d a ¹
d ɛ ²	d ɛ ²
kʰ o ²	kʰ o ²
k u̠ ³	k a ²
ʃ u ¹	ɣ u ²
n i̠ ¹	n i̠ ¹
t o̠ ³	t u ³
l e̠ ³	l e̠ ³
k o ³	k o ¹
a ¹	a ¹
ˀn o ²	ˀɲ y ²
dz u ¹	dz ɿ ³
d e̠ ¹	d e̠ ¹
tsʰ u ³	tsʰ o̠ ¹
ɣ e̠ ¹	ɣ e̠ ¹
ɣ a̠ ²	ɣ a ŋ ²
d i̠ ¹	d i ¹
tsʰ e̠ ¹	tsʰ e̠ ¹
tʰ u ¹	tʰ e̠ ¹
pʰ ɨ ¹	pʰ ɨ ¹
t y ²	t y ²
g u̠ ³	g o̠ ³
a ²	a ²
b y ³	b y ³
kʰ u ¹	kʰ u ¹
ts i ³	ts i ³
b a ²	b a ²
h e ¹	h e ¹
x u ²	x ɛ ²
ˀm i ³	ˀm i ³
m i ³	ˀm u ²
x a ¹	k u ³
tʃʰ y ¹	tsʰ y ¹
m o ¹	m o ²
m u ¹	m o ²
x a ²	x a̠ ³
l e̠ ³	l e̠ ³
dʒ o̠ ³	dʒ o̠ ³
n e̠ ³	n i̠ ³
p e ²	b y ²
m o ²	m o ²
ts e ¹	ts e ¹
m y ¹	m y ¹
m e ³	m ɛ ³
x i ¹	h ɛ̠ ¹
k a ¹	k a ¹
ʃ i ²	ɣ u ²
ɣ i ¹	ʒ e ¹
p a̠ ³	p a̠ ³
b e̠ ³	b e̠ ³
dz i ²	dʒ i ²
ʃ u ²	ʃ u ²
ɣ i ²	ɣ o ³
b a ŋ ²	b a ŋ ²
kʰ a ³	kʰ a ³
ˀm ɛ ¹	ˀm ɛ ¹
ʃ a ³	ʃ a̠ ³
s ɛ̠ ³	s ɛ̠ ³
ˀm j ɛ ¹	ˀm ɛ ¹
pʰ j ɛ ²	pʰ ɛ ³
k o ³	k o ³
d y ²	d y ²
p a̠ ³	p a̠ ³
g u ²	g j u ²
v a ²	v a ²
