k a p e t a	k a p e t a
k o k a k o	k e n a
i a p o t u	p o t u
k a t a t u	k a t a t u
ts i n a	ts i n a
p a n a	p a n a
h a w a k a	h ɨ w a k a
ɨ r ɨ	h ɨ r ɨ
m u s a	m u s a
ɨ n ɨ r u	ɨ n ɨ r u
k a j u k ɨ r ɨ	k a j u k ɨ r ɨ
a a w ɨ	h ɨ w ɨ
ts o p a t a	ts o p a t a
p u r i	p u r i
h a n o	h a n o
h t a p u	t a p u
j u t u r o	j u t u r o
m i s i	m ɨ s i
s i k a	s i k a
a r o k a	e r o k a
k a ts i n u	k a ts i n u
s ɨ w a	s ɨ w a
h i t i t i	h i t i t i
j u k i	j u k i
m a t a	m a t a
n a k ɨ	n a k ɨ
n i k u r u k a	n i k u r u
a w a	a w a
s i j u	s i j u
k a s ɨ r ɨ	k a s ɨ r ɨ
p a w a	p a w a
p a r u	p a r u
h e k u r u	h e k u r u
r o	r o
k a ts i t ɨ	k a ts i t ɨ
p a t e	p a t e
k a p s i	k a p i s i r i
k a m a	k e m a
ts ɨ n a	ts ɨ n ɨ
s ɨ t o	s ɨ t i o
h i m a t u ɨ ts ɨ	h i m a t u k ɨ
ts i k u t ɨ	ts i k u t ɨ
ts e r ɨ	ts e r ɨ
m a j u r ɨ	m a j u r ɨ
h i p e t ɨ	h i p e t ɨ
m a n a	m a n e
k i m e k a	k i m e k a
p u k u	p u k u
w a r a	w a r a
p ɨ t a a n a	p ɨ t a h a n a
p o t u	p o t u
h a t u k a	s a t u k a
h i m a k ɨ	h i m a k ɨ
k a m a	k e m a
m e k a n i	m e k a n i
h i r i	k i r i
h u m a	h u m a
p o	p o
k a a r i	k a s i r i
a p a	a p a
h i ts u	s i t u
s i k a r i	tʃ i k a r e
t i n ɨ	t e n ɨ
k a n ɨ r ɨ	k a n ɨ r ɨ
k a	k a
h a p ɨ	h a p ɨ
ts i ts i	ts i ts i
ɨ m a	ɨ m a
t a p a r i	t a p a r i
p u p e r i	p u p e r i
ts a	ts a
n e n ɨ	n e n ɨ
p u t ɨ	p u t ɨ
s a k ɨ	n a n ɨ
m a p i ts i r i	m a p i ts i r i
a t u k ɨ r ɨ	a t u k ɨ r ɨ
h a m e	h a m e
h ɨ t ɨ	h ɨ t ɨ
a k ɨ r o	a k ɨ r o
h u r i	h a
n a n i	n a n i
k u ts i	k u ts i
p a t ɨ	p a t ɨ
m a p a a	m a p a
a n i k a	a n i k a
h a k ɨ	h a k ɨ
s i m a	s i m a
h e r u t ɨ	h e r u t ɨ
s u t a r ɨ	s u t a r ɨ
t e n o	t e n o
p i	p i
t a k a	t a k a
k e n ɨ	k e n ɨ
h a p u k a	a p u k a
r ɨ	r ɨ
t u m a	t u m a
h u p a i	h u p a i
h ɨ m e n ɨ	h ɨ m e n ɨ
h a p ɨ ɨ r ɨ	h a p ɨ k ɨ r ɨ
