g r aː k ɪ l ɛ	g r a k ɪ l ɛ m
a m aː t ɔ r j ʊ m	a m aː t oː r j ʊ m
p aː r ɪ r ɛ	p a r ɛ r ɛ
ɪ rː ʊ m p ɛ r ɛ	ɪ rː ʊ m p ɛ r ɛ
j ɪ n ɪ p r ʊ m	j uː n ɪ p ɛ r ʊ m
m ɛ s t m ɪ k ʊ m	m ɪ k s t iː k j ʊ m
a n t ɛ k ɛ d ɛ r ɛ	a n t ɛ k eː d ɛ r ɛ
s ʊ b aː k ɛ r ɛ	s ʊ b j a k eː r ɛ
n ɔ t a m	n ɔ t a m
n ɛ s p ɛ m r ʊ m	m ɛ s p ɪ l ʊ m
f uː g aː k ɛ	f ʊ g aː k ɛ m
t ɪ t ʊ l aː r ɛ	t ɪ t ʊ l aː r ɛ m
f ɪ r ɛ	f ɪ ɛ r iː
t ɪ m oː n ɛ m	t eː m oː n ɛ m
p ɔ sː ɛ sː oː r ɛ	p ɔ sː ɛ sː oː r ɛ m
ɪ n k ɪ t aː t j oː n ɛ m	ɪ ŋ k ɪ t aː t j oː n ɛ m
p r ɛ ɔ kː uː p aː t j oː n ɛ m	p r aɪ ɔ kː ʊ p aː t j oː n ɛ m
d ɪ fː a m aː r ɛ	d ɪ fː aː m aː r ɛ
m ɛ s t ʊ m	m aɪ s t ʊ m
r ɛ f ɛ k t j oː n ɛ m	r ɛ f ɛ k t j oː n ɛ m
t aː k sː aː r ɛ	t a k s aː r ɛ
r ɛ g ʊ l aː r ɛ	r eː g ʊ l aː r ɛ
k aː d uː k ʊ m	k a d uː k ʊ m
b aː s j ʊ m	b aː s j ʊ m
ɛ k s ɔ r t aː r ɛ	ɛ k s h ɔ r t aː r iː
a k s ɛ m	a k s ɛ m
k ɔ m p l a m k ɛ r ɛ	k ɔ m p l a k eː r ɛ
ɪ n d aː m n ɛ m	ɪ n d ɛ m n ɛ m
a gː r ɛ g aː r ɛ	a gː r ɛ g aː r ɛ
b r aː k aː t ʊ m	b r aː k aː t ʊ m
ɔ r d ɪ n aː r j ʊ m	oː r d ɪ n aː r j ʊ m
k ʊ m n t ʊ m ɛ l j aː	k ɔ n t ʊ m eː l j a m
a fː ɛ k t j oː n ɛ m	a fː ɛ k t j oː n ɛ m
k r ɔ n ɪ k ʊ m	kʰ r ɔ n ɪ k ʊ m
b ɔ rː m aː	b ʊ rː a m
s t r ɪ ŋ g ɛ r ɛ	s t r ɪ ŋ g ɛ r ɛ
ɪ s ɔ l aː t ʊ m	iː n s ʊ l aː t ʊ m
b aː k a l ɛ r ɛ	b a kː a l aʊ r ɛu m
a d ɪ t j oː n ɛ	a dː ɪ t j oː n ɛ m
r ɛ s t a	r ɛ s t ɛ m
j uː s t ɪ f ɪ k aː t j oː n ɛ	j uː s t ɪ f ɪ k aː t j oː n ɛ m
n ɔ w ɪ t j ʊ m	n ɔ w iː k j ʊ m
w aː r ɛ	w eː n aː r iː
k ɪ b aː r ɛ	k ɪ b aː r ɛ
a d ɔ r aː r ɛ	a d oː r aː r ɛ
k ɪ r k ʊ n w ɛ n ɪ r ɛ	k ɪ r k ʊ m w ɛ n iː r ɛ
p l ɔ m b oː s ʊ m	p l ʊ m b oː s ʊ m
k ʊ w a m r ɛ	k ʊ b aː r ɛ
ɪ w oː r ʊ m	ɛ b ɔ r ɛu m
g ɔ t j ʊ m	g ɛu s j aː s
k ɔ lː ɛ k t a m	k ɔ lː eː k t a m
k ɔ k ɔ m ɛ r ʊ m	k ʊ k ʊ m ɛ r ɛ m
a b r ɔ g aː r ɛ	a b r ɔ g aː r ɛ
ɔ fː ɪ k ɪ n a m	ɔ fː ɪ k iː n a m
m aː l f ɛ r ɛ	m a l ɛ f a k ɛ r ɛ
a s t r ʊ m	a s t r ʊ m
a m ɛ n t ʊ m	aː m ɛ n t ʊ m
d ɛ m p r ɛ m d aː r ɛ	d eː p r aɪ d aː r iː
b a l t ɪ k ʊ m	b a l t ɪ k ʊ m
a b ɪ g ɪ ʊ m	a b ɪ g ɛu m
a b s t ɛ m j ʊ m	a b s t eː m j ʊ m
p uː ŋ n aː k ɛ	p ʊ ŋ n aː k ɛ m
m ɪ n ɔ r aː r ɛ	m ɪ n oː r aː r ɛ
r ʊ f ʊ m	r uː f ʊ m
s t ɔ r aː k ɛ m	s t y r a k ɛ m
a g ɪ t aː d oː r ɛ	a g ɪ t aː t oː r ɛ m
l ʊ s t r ʊ m	l ʊ s t r ʊ m
ɛ l ɛ f a n t ɪ n ʊ m	ɛ l ɛ pʰ a n t ɪ n ʊ m
k ʊ n aː r ɛ	k ʊ n ɛ aː r ɛ
p r a n d ɛ r ɛ	p r a n d eː r ɛ
s ʊ b j ʊ k g aː r ɛ	s ʊ b j ʊ g aː r ɛ
p r ɛ p oː s ɪ t ɛ m	p r aɪ p ɔ s ɪ t ʊ m
d ɛ m s ɛ m m n aː r ɛ	d eː s ɪ ŋ n aː r ɛ
s ɪ r p ʊ m	s k ɪ r p ʊ m
k ɔ n f ɛ r iː r ɛ	k oː n f ɛ rː ɛ
m ɛ r k ɛ m	m ɛ r k ɛ m
t r ɪ b ʊ l aː r ɛ	t r ɪ b ʊ l aː r ɛ
f ʊ s t ɪ g aː r ɛ	f uː s t iː g aː r ɛ
a t ɪ k ʊ m	aː t ɪ k ʊ m
g r a n d ɛ m	g r a n d ɛ m
f ɪ n kː aː r ɛ	f iː g ɛ r ɛ
s ɛ p ʊ l k r ʊ m	s ɛ p ʊ l k r ʊ m
s ɔ m nː ɪ f ɛ r ʊ m	s ɔ m n ɪ f ɛ r ʊ m
d ɪ sː ɪ m ɪ l ɛ	d ɪ sː ɪ m ɪ l ɛ m
m ɔ k ʊ n ɛ m	m uː t ʊ l ʊ m
d ɪ f l ʊ ɛ r ɛ	d ɪ fː l ʊ ɛ r ɛ
d ɛ s ɛ r t j oː n ɛ m	d eː s ɛ r t j oː n ɛ m
s k ʊ rː ɛ r ɛ	ɛ k s k ʊ rː ɛ r ɛ
p ɛ r ɪ m ɛ r ɛ	p ɛ r ɪ m ɛ r ɛ
k r ɛ m aː	k r aː m ʊ m
l aː t ɪ f ʊ n d j ʊ m	l aː t ɪ f ʊ n d j ʊ m
w ɛ ɛ m m ɛ n t ɛ m	w ɛ h ɛ m ɛ n t ɛ m
p a m p aː n ʊ m	p a m p ɪ n ʊ m
s ɪ m j ʊ m	s iː m j ʊ m
k ɪ m b aː l ʊ m	k y m b a l ʊ m
g r aː t a	k r aː t ɛ m
ɪ m p ɛ r j aː l ɛ	ɪ m p ɛ r j aː l ɛ m
m ʊ r ɪ k ɛ m	m uː r ɪ k ɛ m
k ɔ n k r ɛ t j ʊ m n ɛ m	k ɔ ŋ k r eː t j oː n ɛ m
g ʊ s t ɪ f ɪ k aː t ʊ m r ɛ	j uː s t ɪ f ɪ k aː t oː r ɛ m
a k k ɛ p t aː r ɛ	a kː ɪ p ɛ r ɛ
d ɛ m s ʊ m ɛ r ɛ	d eː s uː m ɛ r ɛ
k ɔ k s aː l ɛ	k ɔ k s aː l ɛ m
p ɛ s t aː r ɛ	p ɪ s t aː r ɛ
p r ɔ d uː k t ɪ w ʊ m	p r oː d ʊ k t iː w ʊ m
m ɛ r ɪ z aː r ɛ	m ɛ r iː d j aː r ɛ
a b ɪ t aː r ɛ	h a b ɪ t aː r ɛ
k ɛ r w ʊ s a m	k ɛ r w ɛ s j a m
p aː l ʊ s t r ɛ m	p a l uː s t r ɛ m
ɪ n t ɛ k r ʊ m	ɪ n t ɛ g r ʊ m
ɛ k s t ɛ n s ɪ w ʊ m	ɛ k s t eː n s iː w ʊ m
ɔ r ɛ k ʊ j a m	ɔ r ɪ k l a m
d ʊ l t ɪ s ɔ n ʊ m	d ʊ l k ɪ s ɔ n ʊ m
p r ɛ s ɪ d ɛ r ɛ	p r aɪ s ɪ d eː r ɛ
a ɛ r ɔ m a n t j a m	aː ɛ r ɔ m a n t iː a m
s a m l k ɛ t ʊ m	s a l ɪ k eː t ʊ m
t r a n s m ɪ g r a m r ɛ	t r aː n s m ɪ g r aː r ɛ
ɔ r n aː t ʊ m	oː r n aː t ʊ m
ɪ n s t r ʊ m ɛ n t aː l	iː n s t r uː m ɛ n t aː l ɛ m
ɪ n f ɛ r m ʊ m	iː n f ɪ r m ʊ m
k ʊ lː aː	k uː n a m
s p ɔ l a m r ɛ	s p ɔ l j aː r ɛ
f uː r t ʊ m	f uː r t ʊ m
p oː m ɛ k ɛ	p uː m ɪ k ɛ m
w ɛ r ɪ t aː t ɛ m	w eː r ɪ t aː t ɛ m
l ʊ r ɛ ʊ m	l aʊ r ʊ m
w aː k ɪ lː aː t j oː n ɛ m	w a k ɪ lː aː t j oː n ɛ m
g ɛ l ʊ m	g ɛ l uː
h aː b ʊ m l aː r ɛ	f aː b ʊ l aː r iː
m ɔ r d aː k ɛ	m ɔ r d aː k ɛ m
k ɪ k ɔ n a m	k ɪ k oː n j a m
ɪ m b ʊ ɪ r ɛ	ɪ m b ʊ ɛ r ɛ
ɪ n s ʊ l t ʊ m	iː n s ʊ l t ʊ m
w ɔ l w ɛ r ɛ	w ɔ l w ɛ r ɛ
aʊ r ɪ g ɛ m r ʊ m	aʊ r ɪ g ɛ r ʊ m
p ɔ r t aː r ɛ	p ɔ r t aː r ɛ
k s p ɛ n d ɛ r ɛ	ɛ k s p ɛ n d ɛ r ɛ
f ɔ r m ɛ m	f oː r m ɛ m
p r oː n ʊ m	p r oː n ʊ m
p ɛ r g ʊ r j ʊ m	p ɛ r ɪ uː r j ʊ m
s ʊ b t r a h ɛ r ɛ	s ʊ b t r a h ɛ r ɛ
ɔ n d aː r ɛ	ʊ n d aː r ɛ
m ɪ l aː r j ʊ m	m iː lː j aː r j ʊ m
w ɪ n d ɪ k t a m	w ɪ n d ɪ k t a m
s ɔ lː ɪ k ɪ t uː d ɪ n ɛ m	s ɔ lː ɪ k ɪ t uː d ɪ n ɛ m
p r ɔ t ɔ k ɔ l aː r j ʊ m	p r oː t ɔ k ɔ lː aː r j ʊ m
ɪ n t ɛ r p ʊ n g ɛ r ɛ	ɪ n t ɛ r p ʊ ŋ g ɛ r ɛ
a b ɛ rː aː r ɛ	a b ɛ rː aː r ɛ
k ɛ n t aʊ r j aː	k ɛ n t aʊ r eːa m
r ɛ s t r ɪ ŋ g ɛ r ɛ	r ɛ s t r ɪ ŋ g ɛ r ɛ
b uː f a l ʊ m	b uː b a l ʊ m
r ɛ b ɛ l aː r ɛ	r ɛ b ɛ lː aː r ɛ
ɛ m ɪ k r aː n j a m	h eː m ɪ k r aː n j a m
m uː n ɪ k ɪ p j ʊ m	m uː n ɪ k ɪ p j ʊ m
s ɛ m g aː r ɛ	s ɛ k aː r ɛ
l ɪ t ɛ m	l iː t ɛ m
l aː k r ɪ m a m	l a k r ɪ m a m
k ɔ n t r aː k t ɛ	k ɔ n t r a h ɛ r ɛ
t a l p ɛ a m	t a l p a m
w aː g ʊ m	w a g ʊ m
a l ɪ j ɛ n aː r ɛ	a l ɪ eː n aː r ɛ
l a t r aː r ɛ	l a t r oː n ɛ m
m aː mː ɛ lː a m	m a m ɪ lː a m
r oː t ɛ lː a m	r ɔ t ɛ lː a m
r ɛ k uː s aː t j oː n ɛ m	r ɛ k uː s aː t j oː n ɛ m
ɛ m ʊ l aː t oː r ɛ	aɪ m ʊ l aː t oː r ɛ m
ɛ n ɪ ʊ m	a eː n ɛu m
k aː n s aː r ɛ	k a m p s aː r ɛ
p r aː w ʊ m	p r aː w ʊ m
g ɔ k ʊ n d ɪ t aː t ɛ m	j uː k ʊ n d ɪ t aː t ɛ m
t r ɪ p l ɪ k k ɛ	t r ɪ p l ɪ k ɛ m
a t ɪ ŋ g ɛ r ɛ	a tː ɪ ŋ g ɛ r ɛ
a p ɛ m lː ɪ d aː r ɛ	a pː ɛ lː ɪ t aː r ɛ
m ɛ d ɪ k ɪ n aː l ɛ	m ɛ d ɪ k iː n aː l ɛ m
ɛ r b aː k ɛ ʊ m	h ɛ r b aː k ɛu m
l aː s ɪ r	l ɪ k eː r ɛ
