aː b s k ʊ s ʊ m	a b s k ɔ n s ʊ m
g ɔ b j ʊ m n ɛ m	g oː b j ʊ m
r aː p ɪ d ɪ t aː	r a p ɪ d ɪ t aː t ɛ m
a pː r ɛ n s j oː n ɛ m	a pː r ɛ h ɛ n s j oː n ɛ m
k j ʊ d ɛ r ɛ m	k l aʊ d ɛ r ɛ
d ɪ s k ʊ rː ɛ r ɛ	d ɪ s k ʊ rː ɛ r ɛ
d ɪ sː ɛ m ɪ n aː r ɛ	d ɪ sː eː m ɪ n aː r ɛ
f ɔ lː iː k ʊ lː ʊ m	f ɔ lː ɪ k ʊ l ʊ m
f aː m ʊ l ʊ m	f a m ʊ l ʊ m
p r ɔ f ɛ r ɪ r ɛ	p r oː f ɛ rː ɛ
ɛ k ɛ lː ɛ r ɛ	ɛ k s k ɛ lː ɛ r ɛ
s ʊ b sː ɪ d j ʊ m	s ʊ b s ɪ d j ʊ m
d ɪ s k r ɛ p aː r ɛ	d ɪ s k r ɛ p aː r ɛ
ʊ l t ɛ r j ʊ m r ɛ	ʊ l t ɛ r j oː r ɛ m
m aː l f aː t oː r ɛ	m a l ɛ f a k t oː r ɛ m
n ʊ m ɛ m r ɔ s ɪ t aː t ɛ m	n ʊ m ɛ r oː s ɪ t aː t ɛ m
k a w aː r ɛ	k a w aː r ɛ
ɔ kː a s j oː n ɛ	ɔ kː aː s j oː n ɛ m
iː m p ɛ m t ɪ g ɪ n ɛ m	ɪ m p ɛ t iː g ɪ n ɛ m
a b s t r ɛ r ɛ	a b s t r a h ɛ r ɛ
s ʊ m t ʊ m	s uː m p t ʊ m
l ʊ n aː r ɛ	l uː n aː r ɛ m
r ɪ s p l ɛ n d ɛ r ɛ	r ɛ s p l ɛ n d eː r ɛ
b ɔ t ɛ lː ʊ m	b ɔ t ɛ lː ʊ m
s k ɔ l aː s t ɪ k ʊ m	s kʰ ɔ l a s t ɪ k ʊ m
r ɛ d uː k t j oː n ɛ m	r ɛ d ʊ k t j oː n ɛ m
aː r ɔ m aː t ɪ k ʊ m	a r oː m a t ɪ k ʊ m
p ɛ r w ɛ r t ɪ r ɛ	p ɛ r w ɛ r t ɛ r ɛ
oː r ɪ ʊ m	h ɔ rː ɛu m
