ɖʐ j o ⁴	ɖʐ o ⁴
b j ɔ ⁴	b j o ⁴
tsʰ u ŋ ¹	tsʰ u ŋ ¹
ɕ r i ²	ɕ w i ²
n i ⁴	n j i ⁴
ɖʐ o ³	ɖʐ o ³
j i ³	j i ³
k ɯ ¹	k ɯ ¹
ts r u ²	ts u ²
d u ²	t u ²
ŋ o ¹	ŋ o ¹
ts r e ²	ts r e n ²
b r i w ¹	p r i ¹
b æ ¹	b æ ¹
t ɯ ⁴	tʲ ɯ ⁵
n o ŋ ¹	n o ŋ ¹
d æ ŋ ¹	ts u ŋ ¹
q æ ⁵	q æ ⁵
tʰ ə ²	tʰ j e ²
q w a ⁴	q w a ⁴
m ɯ ¹	m ɯ ¹
k o ⁵	k o ⁵
ɖʐ w e n ⁵	ɖʐ w e n ⁵
kʰ o ŋ ¹	kʰ u ŋ ¹
j e n ¹	j e n ¹
ts j w i ⁴	ts w ɛ ⁴
tsʰ o ŋ ⁵	tsʰ o ŋ ³
ts o ⁴	ts o ⁴
p r a ⁴	b r æ ⁴
j e n ¹	j e n ¹
g ɯ ¹	g ɯ ¹
k o ŋ ²	k o ŋ ²
pʰ ɔ ⁵	pʰ ɔ ³
s a ⁴	s a ⁴
ts r i ¹	ts r i ¹
p i ⁴	p r i ⁴
d ɔ ⁵	d ɔ ⁵
ts r i ²	ts r i ²
d e ⁴	d r ɛ ⁴
s j i ²	s j i ²
k o ŋ ¹	k o ŋ ¹
l ɔ ¹	l a ¹
ŋ j ə ⁴	n j e ⁴
ɣ ɯ ¹	ɣ ɯ ²
ʔ w e n ¹	ʔ w e n ¹
o ⁴	ɔ ⁴
b æ n ³	b æ n ³
k æ ⁴	k æ ⁴
b æ ¹	b æ ¹
s i ²	s r i ²
ŋ ɯ ¹	ŋ ɯ ¹
ʈ w æ n ²	ʈ w æ n ²
j a ⁴	j a ⁴
ts r e ŋ ¹	ts r e ŋ ¹
sʰ w a ŋ ¹	sʰ w a ŋ ¹
b æ ⁴	b æ ⁴
χ ɯ ⁴	χ ɯ ⁴
ŋ w e n ²	ŋ w e n ²
kʰ o ⁴	kʰ o ⁴
k w e ¹	k w ɛ ¹
d i ⁴	d i ⁴
tsʰ w æ ŋ ²	tsʰ w a ŋ ²
ɖʐ i ²	ɖʐ i ²
b e ¹	b e ¹
m o ŋ ²	m ø ²
ɣ w a ⁴	ɣ w a ⁴
n ɛ ¹	n ɛ ¹
p j ɛ ³	pʰ j ɛ ³
d o ¹	d r o ŋ ¹
h æ n ³	h a ŋ ⁵
sʰ r o ŋ ¹	sʰ r o ŋ ¹
z i ³	z ɯ ³
n e ⁴	n ɛ ¹
ɖʐ u ¹	ɖʐ u ŋ ¹
b o ¹	b ã ¹
x ɯ ⁴	x ɯ ³³
m r æ ŋ ¹	m j æ ¹
x e n ¹	x e n ¹
g ɯ ¹	k ɯ ¹
m o ²	m o ²
n j e n ¹	n j e n ¹
m a ⁴	m a ⁴
h w æ ⁴	x w a ¹
m ɯ ³	m ɯ ⁵
b j ɯ ²	b j ɛ ²
qʰ w a ⁴	qʰ w a ⁴
t æ ⁴	t æ ŋ ⁴
q ɯ ¹	q ɯ ¹
p i ¹	b r i ¹
ɕ r æ ²	ɕ a ⁴
ʈ r æ ⁴	ʈ æ ⁴
tʰ r æ ⁴	tʰ r æ ⁴
ts r o ²	ts r ɔ ²
dʑ a ⁴	dʑ a ⁴
ɕ w i ⁴	s w a ⁴
m i ¹	m e ¹
j æ j ¹	b j o ²
j ɯ ⁴	j ɯ ⁴
qʰ w a ŋ ²	qʰ w a ŋ ²
p e ⁴	b ɛ ⁴
ɣ ²	ɯ̃ ²
tɕ r ɯ ¹	tɕ ɯ ¹
tʰ o ŋ ²	tʰ u ²
p j o ¹	pʰ j u ŋ ¹
h o n ¹	z r o ŋ ¹
p j u ¹	p j e ¹
sʰ r ɯ ²	sʰ r ɯ ²
t ɛ ⁴	t ɛ ⁴
x w i ²	x w i ²
ŋ w a ⁴	ŋ w a ⁴
ts o ŋ ²	ts u ŋ ²
d r o ŋ ¹	d r o ŋ ¹
sʰ a ŋ ¹	sʰ a ŋ ¹
ɕ w e ⁴	ts w ɛ ⁴
ɣ ɯ̃ ²	ɣ ɯ ²
ɣ o ⁴	ɣ u ⁴
qʰ ɔ ¹	qʰ ɔ ¹
m æ ¹	m æ ¹
sʰ o ⁴	sʰ o ⁴
d ɔ ⁴	d r o ⁴
tʰ r o ⁴	tʰ r o ⁴
qʰ ɔ ²	qʰ ɔ ²
sʰ r o ŋ ¹	s o ŋ ¹
tɕʰ j æ n ¹	tɕʰ æ ¹
p u ²	p ɯ ²
ŋ o ²	ŋ u ²
n ɛ ⁴	n e ⁴
ʈ j ɯ ²	ʈ ɯ ²
s e n ⁵	s e n ⁵
ɖʐ i ¹	ɖʐ i ¹
tsʰ j i ¹	tsʰ j i ¹
ɣ o ⁴	tsʰ w a ⁴
s u ¹	s r u ¹
q ɯ ¹	q ɯ ¹
b ɯ ¹	b ɯ ¹
s j e ŋ ¹	s j e n ¹
z ɔ ¹	z ɔ ¹
ŋ j o ²	ŋ j o ²
n w ɔ ⁴	b j o ⁴
ɕ ⁴ ⁴	ɕ a
tɕ j e n ²	ɖʐ e n ²
q ɛ ¹	q ɛ ¹
ts j j e n ⁵	ts j e n ⁵
ɣ o ³	g o ŋ ³
p ɯ ²	p ɯ ²
k w a ⁴	k w a ⁴
p ¹ ¹	ʁ ɯ ⁴
b e ²	b e ²
l o ŋ ¹	l o ŋ ¹
g o ŋ ¹	ɣ o ŋ ¹
tɕ j æ ⁴	tɕ æ ¹
q w ɛ ⁵	q w ɛ ³
tʰ u ²	tʰ j u ²
sʰ r ɯ ²	sʰ r ɯ ²
s r u ⁵	s r o ⁵
p r i ŋ ⁴	b a ŋ ⁴
d j ɯ ¹	d j ɯ ¹
sʰ r o ⁵	s r o ⁴
tsʰ j e ¹	tsʰ j e n ¹
m æ ŋ ²	m æ ²
p a ŋ ¹	ʁ a ŋ ¹
tsʰ o ŋ ¹	tsʰ o ŋ ¹
sʰ w a ŋ ³	sʰ w a ŋ ³
ɖʐ o ⁴	ɖʐ u ŋ ⁴
tʰ u ³	tʰ r u ³
j a ⁴	j a ⁴
tsʰ o ³	tsʰ u ³
k a ŋ ¹	k a ŋ ¹
q ɯ ¹	q ɯ ¹
tɕʰ ə ⁴	tʰ e ⁴
sʰ w a ŋ ¹	sʰ w a ŋ ¹
m o ²	m ø ²
ɣ ɯ ¹	ɣ ɯ ¹
n o ²	n o ²
q æ ⁴	q æ ⁴
g ɯ ¹	g ɯ ¹
j a ⁴	j a ⁴
ɖʐ u ŋ ²	ɖʐ u ŋ ²
sʰ w ɛ ⁴	sʰ w ɛ ⁴
p ɔ ¹	ŋ ɔ ¹
q æ n ²	q æ n ²
ts o ⁵	ts o ⁵
ts o ⁴	dz o ⁴
t w e n ¹	t w e n ¹
d r ɯ̃ ¹	d r ɯ̃ ¹
m ɯ ⁴	m ɯ ⁴
tʰ e ⁴	tʰ r e ⁴
d r ɯ ³	d r ɯ ³
qʰ ɛ ŋ ¹	qʰ e n ¹
pʰ r a ⁴	pʰ r a ⁴
tʰ r o ⁴	tʰ r o ⁴
l ɔ ¹	l ɔ ¹
ts o ŋ ¹	dz o ŋ ¹
ɕ o ŋ ¹	ɕ o ŋ ¹
ts i ²	ts i ²
x e n ¹	x e n ¹
n o ²	ŋ j o ²
p o ⁴	ŋ o ³
s e ⁴	s r i ⁴
ɣ æ ⁴	ɣ æ ⁴
qʰ ɔ ¹	qʰ o ŋ ¹
m ɛ ¹	m ɛ ¹
dʑ j i ¹	dʑ e n ¹
d ɯ ²	dʑ ɯ ²
m ɛ ³	m i ¹
m i ¹	m e ¹
tʰ e ²	tʰ j e ²
p w i ²	kʰ w ɛ ²
ɣ ɯ ²	ɣ ɯ ²
d ɔ ¹	d ɔ ¹
q a ŋ ¹	q a ŋ ¹
b r i ¹	b r i ²
n j o ŋ ¹	n j o ¹
m æ ⁴	m æ ⁴
qʰ æ ⁴	qʰ æ ⁴
m ɛ ¹	m ɛ ¹
d o ŋ ²	d j o ŋ ²
ɕ o ⁴	ɕ o ⁴
qʰ u ¹	qʰ u ¹
b o ³	b ɔ ³
tsʰ e ŋ ¹	tsʰ r e ŋ ¹
ts i ²	ts i ²
χ ɯ ²	χ ɯ̃ ²
b a ⁴	b a ⁴
s r o ¹	s r o ¹
d i ¹	dz i ¹
m ɛ ¹	m ɛ ¹
pʰ ɯ ¹	pʰ ɯ ¹
n w ɛ ⁴	b j ɛ ⁴
