ʃ θ n a j	θ i n aː
r ʕ d	r a ʕ d
g b b x	g b x
ʃ i n n	ʃ i n n
ʕ m	ʕ m s
ħ k k	ħ k k
ʔ m d n	m d iː n
x a m i ʃ	x a m ʃ
k r m	k r m
l w j	l w j
ɬ m	ɬ m
n p ʃ	n a p ʃ
x l	x aː l a t
r a qˤ qˤ	r a qˤ qˤ
ʃ m m	ʃ
ħ l	ħ a
n ʃ qˤ	n ʃ qˤ
b θˤ r	b n θˤ u r
r ħ m	r ħ m
ħ l sˤ	ħ l sˤ
t i n	t i ʔ i n
x r p	x r p
ɬₓ m a	ɬₓ m a t
ɬˤ n	ɬˤ a ʔ n
ħ w b	ħ u b b
x tˤ m	x u tˤ m
ɣ d r	ɣ d r
ɣ l p	ɣ l p
k i n	k w n
w r	w r j
p r qˤ	p r qˤ
θ a r b	θ a r b
k a t p	k a t i p
ʕ a r ʕ a r	ʕ a r ʕ a r
ʔ d m qˤ	d m qˤ
k a m a t	k a m ʔ a t
ʃ l ħ	ʃ l ħ
w r d	w r d
θˤ a h r	θˤ a h r
ʔ ʃ d	ʔ i ʃ d
ʕ a θ θ	ʕ θ θ
l a qˤ l a qˤ	l a qˤ l a qˤ
p a r ʕ	p a r ʕ
p l l	p l l
ʕ a j n	ʕ a j n
p a r ʔ	p a r ʔ
d i m t	d i m
w a r iː d	w a r iː d
k a b d	k a b i d
ɬ a p	ɬ a j p
x i m ʔ a t	x i m ʔ a t
ʔ a t i	ʔ a n t i
d w j	d w j
t i b n	t i b n
b a ʕ l	b a ʕ l
k b r	k b r
p t l	p t l
s k t	ʃ k t
d a m	d a m
ʔ a b r	ʔ a
w b i l	w aː b i l
ʕ a l qˤ	ʕ a l a
b	b w θ
k s m	k s m
ħ l p	ħ l p
ʔ d h m	d h m
m t	m w t
r ħ ɬˤ	r ħ ɬˤ
θ a p r	θ a p r
r qˤ ħ	r qˤ ħ
sˤ sˤ r	ʕ sˤ sˤ uː r
p a x r	p x r
b r	b i ʔ r
r d j	r d j
l i ʃ aː n	l i ʃ aː n
g ɬ	g ɬ ʕ
b b iː l	ʔ b b l
