tʰ a ³	tʰ a ³
ʃ o̠ ³	h u ¹
ɣ i ³	ʒ e ³
ˀl a ŋ ¹	ˀl a ŋ ³
dz i ²	dʒ i ²
tsʰ y ¹	tsʰ y ¹
g a ³	g a ³
p e ²	v y ²
a ¹	a ¹
m a ²	m a ²
m i ³	m i ¹
z a ²	z a ²
m y ¹	m o ¹
m a ³	m a ³
k y ²	kʰ y ¹
ʃ ɛ ¹	ʃ ɛ ¹
tʃʰ e ¹	tʃʰ e̠ ¹
g a ¹	g a ¹
ɣ a ³	t a ³
tʰ ɛ ³	tʰ ɛ ³
m a ³	m a ³
t e̠ ¹	t i̠ ¹
ʒ o̠ ²	ʒ o̠ ³
ˀl y ²	l e̠ ³
s ɛ ²	s ɛ ²
s a ¹	s a ¹
a ¹	a ¹
m ɛ ²	m a ³
v e ¹	v e ³
k i ¹	k i ¹
x e ¹	ˀx y ¹
b y ³	b y ³
kʰ u ¹	kʰ u ¹
a ¹	a ¹
tʰ y ³	tʰ y ³
ŋ a ¹	ŋ a ¹
m a ²	m a ²
g a ²	g j a ²
m a ³	m a ³³
m a ³	m a ³
p y ³	p y ³
z a ²	z a ²
kʰ u ²	kʰ u ²
ɣ ɨ ¹	ɣ i ¹
tsʰ a ²	tsʰ a ²
p y ¹	ɣ y ¹
b i ¹	tʃʰ i̠ ³
kʰ i ²	kʰ i ²
g o̠ ²	g y ²
s u ¹	s u ¹
ʒ i̠ ²	ʒ i̠ ³
m ² ² ¹	m i ¹
ʒ o̠ ¹	ʒ o̠ ¹
k a ¹	k a̠ ³
ts ɛ ¹	ts ɛ ¹
f o ²	pʰ u ²
tsʰ i ²	tsʰ i ²
v ¹	v u ¹
k a ³	ɣ o ²
p ɛ ²	m ɛ ²
ʃ a̠ ³	ʃ a̠ ³
k i ¹	k o̠ ¹
b y ²	b y ²
d o̠ ¹	d o̠ ¹
ɣ ²	e ²
b e ²	b j e̠ ³
ɣ a ¹	x a ¹
ˀn ɛ̠ ³	ˀn ɛ̠ ³
l a ³	l a ¹
z e̠ ³	z e̠ ³
v ɛ ¹	v ɛ ¹
s i̠ ¹	s i̠ ¹
k o̠ ²	k o̠ ³
d ɨ ¹	d i ¹
kʰ ɨ̠ ²	kʰ ɨ ²
m o ²	m u ²
f u ¹	pʰ u ²
m a ³	m a ³
d i ¹	d e̠ ³
k a ²	k a ŋ ²
k j o̠ ²	k u ²
a ¹	a ¹
d a ²	d a ²
dz i̠ ²	dz i ²
k j u ¹	k a ŋ ¹
v i̠ ¹	ˀv i̠ ³
b i ¹	b e ³
ts i ¹	ts u ¹
pʰ e ²	pʰ i̠ ³
b a ¹	b e ³
b a ŋ ¹	t ɛ ¹
b o̠ ¹	b o̠ ¹
ɣ i ¹	ɣ i ¹
n a ŋ ²	n a ²
l i ³	ˀl i̠ ³
ʃ i̠ ²	ɣ u ²
pʰ o̠ ²	tʰ u ²
dz i̠ ¹	dz i̠ ¹
z a ²	z a ²
b ɛ ¹	b ɛ ¹
ʃ a ¹	ʃ a ¹
ˀm j o ¹	m o ²
s i̠ ²	s e ²
v ² a ¹	b j y ¹
l a ²	l a ²
s i̠ ¹	s i̠ ¹
x i ¹	h ɛ̠ ¹
ʃ a ¹	s e ¹
p u ²	d u ²
kʰ e ³	kʰ y̠ ¹
z a ²	z a ²
p a̠ ¹	p a̠ ³
a ¹	a ¹
p y ¹	p y ¹
b e̠ ¹	b e̠ ¹
ʃ y ²	s i ¹
n u ²	ˀn e̠ ³
ɣ i ¹	ɣ e̠ ¹
l u ³	l u̠ ¹
tʰ a ²	tʰ a ²
m a ³	m a ³
tsʰ i̠ ²	tʃʰ u ²
t i ¹	t i ¹
pʰ e ¹	pʰ e̠ ¹
ˀl u ¹	l u ³
a ¹	a ¹
m ɛ ²	m ɛ ²
g ɨ ¹	g ɨ ¹
dz i̠ ²	dz i ³
z a ²	z a ²
x a̠ ³	x a̠ ³
ɣ ɛ ¹	ɣ ɛ ¹
k ² ³	k e̠ ³
m a̠ ²	m a ²
ʃ ɨ ²	ʃ ɨ ²
b a ²	b a ²
ˀm j e̠ ³	ˀm e̠ ¹
ʃ i̠ ³	ʃ i ³
a ¹	a ¹
tʃʰ o̠ ¹	tʃʰ o̠ ¹
ˀn i ¹	n i ¹
a ¹	a ¹
dz e ²	dz i ¹
a ²	a ¹
p a ¹	p a ŋ ¹
a ¹	a ¹
tʃ a̠ ³	tʃ a̠ ³
ˀl o̠ ³	ˀl o̠ ¹
n e ³	n e ³
b j a ²	b j a ²
tʃ i̠ ¹	tʃ u ¹
m o ¹	m u ¹
kʰ a ³	kʰ o̠ ³
z i ²	z i ²
m a ³	m a ³
s i̠ ³	ʃ e̠ ³
h e̠ ³	h e̠ ³
tʃ i̠ ¹	tʃ u ¹
tʃʰ o ¹	tsʰ y̠ ¹
a ²	ɨ̠ ³
s i̠ ³	s i̠ ³
tʰ a ²	tʰ a ²
m o ²	m o ²
ɣ i ²	ŋ i ²
b e̠ ¹	b e̠ ¹
tʃʰ i ³	tʃʰ e̠ ³
dz i ³	dz i ³
g i ¹	g i ¹
x a̠ ³	x a̠ ³
p a̠ ³	p a̠ ³
b a ŋ ¹	g a ŋ ³
g u ²	g j u ²
n e̠ ³	n i̠ ³
h e ¹	h e ¹
tʃ ɨ̠ ¹	tʃ i̠ ¹
n u ²	n̩ ²
m ² o ²	m u ²
m ɛ ²	m ɛ ²
v e ¹	v e ¹
a ²	a ²
tʃ a ³	tʃ a ³
p ¹	a ¹
tsʰ a ŋ ¹	tsʰ a ŋ ¹
ɣ a ¹	s e ¹
a ¹	a ¹
m a̠ ²	m a ŋ ²
pʰ e̠ ³	pʰ e̠ ³
kʰ a ²	kʰ a ²
ˀl e ²	ˀl i ²
tʰ i ³	tʰ u ³
dz a ²	dz a ²
b ɛ̠ ³	b j a̠ ³
ʃ ²	e̠ ¹
ˀl e̠ ³	l e̠ ³
ŋ o̠ ¹	ŋ w a ¹
l a ¹	l a ŋ ¹
s y ²	ʃ y ²
ɣ i ¹	ɣ i ¹
k o̠ ³	k o̠ ¹
m a ³	m a ³
ɣ ɨ ³	ɣ i̠ ³
dʒ ɛ ¹	dʒ ɛ ¹
kʰ o ¹	kʰ o ¹
a ¹	a ¹
b ɛ̠ ¹	b ɛ̠ ¹
g u ²	tʃ u ²
a ¹	a ¹
k u ¹	k u ¹
dz a ¹	ts u ¹
z a ²	z a ²
ɣ ɛ ²	ɣ ɛ ²
n y ¹	n y ¹
x a ŋ ³	dʒ i ²
g u ²	g o̠ ³
n a̠ ¹	ŋ j a̠ ¹
b y ¹	b y ¹
m a ²	m a ²
t u ¹	t u ¹
k a ²	k a ²
tʃʰ e ¹	tʃʰ e ¹
ɣ a ¹	g j a ¹
x y ¹	x y ¹
a ¹	a ¹
m a ³	m a ³
g i ¹	g i ¹
pʰ e̠ ¹	pʰ e̠ ¹
dz i ²	dz i ²
ˀv u ¹	pʰ u ¹
n e ¹	n e ¹
l ² ¹	l y ³
tsʰ e ¹	tsʰ e ¹
a ¹	a ¹
g y ŋ ¹	g y ¹
b a ¹	tʃ a ¹
l a ¹	l a ¹
a ¹	a ¹
i ²	i ²
p y ²	b y̠ ³
dz a ŋ ¹	dz a ŋ ¹
k ɨ ²	k j o ²
x a ¹	k u ³
l y ¹	l y ¹
ʃ e ¹	ʃ ɛ ¹
ts e ¹	tʃ e ¹
ɣ ɨ ³	ɣ i̠ ³
z a ²	z a ²
s a ²	s a ²
p ɨ ²	p j ɨ ²
ʃ a ¹	ʃ a ¹
m a ¹	m a ¹
k a ³	k a ¹
m o̠ ³	m j o̠ ³
m i ²	ˀm u ²
ɣ a ¹	ʃ a ¹
p ¹	a ¹
m o̠ ¹	m o̠ ¹
ˀl o̠ ²	l y ²
ts a ¹	ts a ¹
tʰ y ¹	tʰ y ¹
ts e ¹	ts e ¹
p a ¹	p a ¹
a ¹	a ¹
pʰ y̠ ³	pʰ y̠ ³
p i ²	p i ²
k i ²	k j e ²
ˀx y ¹	ɣ o ¹
p ²	m u ²
m ɛ̠ ²	m ɛ ²
kʰ ɨ ²	kʰ ɨ ²
d e ¹	d e ¹
b ɛ ²	b ɛ ²
ɣ ɛ ²	ɣ ɛ ²
tʃʰ ɨ ²	tsʰ ɿ ²
kʰ u ²	kʰ o ²
z a ¹	dz i ²
kʰ a ²	kʰ a ²
pʰ a ²	pʰ a ²
ʃ ² ³	ʃ ɨ̠ ¹
ˀn i ¹	n i ¹
s i ¹	s e ¹
t ɛ ²	t a̠ ³
g y ²	g u ²
d e̠ ³	d ɛ̠ ³
l a̠ ²	l a ²
m a ²	m j y ²
g i ¹	x i ³
kʰ o ³	kʰ j o ³
t ɛ ¹	t u ¹
tsʰ e ²	d u ¹
x ɨ ¹	x ɨ ¹
g o̠ ³	g o̠ ³
ˀn o ²	ˀɲ y ²
m ɛ ²	m ɛ ²
dz ɛ ²	dʒ ɛ ²
s e ¹	s e ¹
g e ¹	x e̠ ³
b ²	n̩ ²
a ¹	a ¹
dz a ²	dz a ¹
ˀn i ³	ˀn i ³
b o ¹	b ɨ̠ ¹
ˀn e ³	n e̠ ³
ɣ i ¹	ʒ e ¹
pʰ i̠ ³	pʰ i̠ ³
l e̠ ³	l e̠ ¹
a ¹	a ¹
pʰ u ²	pʰ u ²
ts i̠ ³	ts i̠ ³
tʃʰ i ¹	tʃʰ e ¹
ŋ a ²	ŋ a ²
l y ¹	l y ¹
n a ŋ ²	ɲ a ¹
n o ³	ˀn i ³
tsʰ y ¹	tsʰ y ¹
b j a ²	b a ²
l ² ²	ˀl i̠ ³
f ɛ ³	f ɛ ³
ˀn i ¹	ˀn i ¹
tʰ e ²	dʒ ɛ ²
b a ³	b a ³
ʃ u̠ ¹	ʃ o̠ ¹
p j u ¹	p u ¹
ˀn e ¹	n e ¹
tsʰ e̠ ¹	k o̠ ³
b o ²	b o ²
pʰ o ²	pʰ i ²
tʃʰ i̠ ¹	tʃʰ ɨ ¹
l e̠ ²	l e̠ ³
tsʰ i ¹	k i ¹
kʰ o̠ ¹	kʰ j y ¹
ɣ i ¹	ɣ i ¹
g a ¹	g a ¹
ts i̠ ³	ts i̠ ³
ˀn e̠ ¹	ˀn e̠ ¹
kʰ e̠ ¹	kʰ e̠ ¹
ˀx e ¹	x e ¹
kʰ a ²	kʰ a ²
n i̠ ¹	n i̠ ¹
d a ²	d a ŋ ¹
a ¹	a ¹
d u ¹	d u ¹
t o̠ ³	t o̠ ³
kʰ y ²	kʰ j o ²
m o ²	m o ²
k ɛ ¹	k j ɛ ¹
tʃ ɛ ¹	tʃ ɛ ¹
n o ³	ˀn i ³
p a̠ ³	p a̠ ³
pʰ o ²	pʰ o ²
tʃʰ o̠ ¹	tʃʰ o̠ ¹
t e ²	t e ²
t ɛ ¹	t ɛ ¹
a ²	a ²
p j a ³	p a̠ ³
ˀm e̠ ¹	ˀm j e̠ ¹
l y ²	ˀl y ²
l i ²	ˀl u̠ ¹
l a ²	l a ²
tsʰ e ¹	tsʰ e ¹
ts o̠ ¹	ʒ i̠ ³
b a ŋ ²	ɣ a ŋ ²
b e ²	b o ²
dz a ²	tʰ a ²
t y ¹	t y ¹
a ¹	a ²
v e̠ ³	v e̠ ³
v o ¹	v u ¹
n i ²	n i ²
k a ³	k a̠ ³
tʰ e̠ ³	tʰ e̠ ³
d a ¹	d a ¹
k o̠ ¹	k a ŋ ¹
ˀm e̠ ¹	ˀm j e̠ ¹
a ¹	a ¹
tʃʰ i ¹	tʃʰ u ¹
pʰ u ¹	ˀm u ¹
pʰ e ¹	pʰ e ¹
s i ³	s i ³
g a ³	g j a ³
z i ¹	s u ¹
l e̠ ³	l e̠ ³
kʰ ɛ̠ ³	kʰ ɛ̠ ³
kʰ o̠ ³	kʰ o̠ ³
x i̠ ³	ts e̠ ³
d e̠ ¹	d e̠ ¹
tʃʰ i̠ ²	tʃʰ i ²
ˀn y ³	ˀn y̠ ³
g a ¹	g a ¹
ɣ i ¹	ɣ i ¹
tʃ a ¹	tʃ ɛ ¹
k ɛ̠ ¹	k j o ¹
s e ¹	s e ¹
pʰ a ŋ ²	m o̠ ³
ʃ i ³	s i̠ ¹
s e̠ ³	s e̠ ³
a ¹	a ¹
b o ¹	b o ³
tsʰ i̠ ¹	tsʰ i̠ ¹
ɣ i ¹	ɣ e̠ ¹
m u ²	m ɨ ²
h ɛ ¹	h ɛ̠ ¹
ts ɿ ³	ts i ³
g o̠ ¹	g j o̠ ¹
n ²	n i ²
b i ¹	b i ¹
kʰ u ¹	kʰ u ¹
k ɛ ³	k ɛ ³
tsʰ i ¹	tsʰ ɛ̠ ¹
p e ¹	p e ¹
m u ³	m u ³
s e ²	s ɛ ²
tʰ ŋ a ŋ ²	tʰ o ²
m i ¹	m e ¹
j a ŋ ³	k j i ³
m o ²	m o ²
v ¹	ɨ̠ ¹
ʃ ² ²	ʃ ɨ̠ ³
ŋ a ¹	ŋ a ¹
ɣ ɨ ¹	ɣ i ¹
kʰ o ²	kʰ o ²
m a ³	m a ³³
kʰ u ¹	kʰ u ¹
dz a ¹	dʒ a ŋ ¹
ɣ ɨ ¹	ɣ ɨ ¹
d a ŋ ²	d u ²
v i ²	dʒ e ¹
pʰ e ¹	pʰ e̠ ¹
a ¹	a ¹
v i ²	ɣ i ¹
g ɛ ²	s y ²
ɣ ɨ ¹	ɣ i ¹
b i ³	b i ³
m ɨ ²	m ɨ ²
ˀn y ¹	ˀn y ¹
x i ²	ʃ y ¹
m j j a ²	m j a ²
b ²	m u ²
tʰ a ²	tʰ a ²
tʰ u ³	tʰ u ³
m o ²	m e ²
dz i ³	dz i ²
pʰ e̠ ³	pʰ e̠ ³
b e̠ ³	b e̠ ³
tʃʰ i ¹	tʃʰ e ¹
ɣ a ³	z a ²
s y ¹	s y ¹
k a ³	k o̠ ³
n i ³	ˀn i ³
pʰ ²	a ²
m a ²	m a ŋ ²
p y ³	ɣ y̠ ³
ˀl o̠ ¹	ˀl o̠ ¹
tsʰ i ²	tsʰ ɨ ²¹
k a ¹	x a ŋ ¹
ts i ¹	ts i ¹
ɣ o ¹	ɣ a ŋ ¹
ɣ ɨ ¹	ɣ i ¹
a ¹	a ¹
a ¹	a ¹
ts a ³	ts a ³
ˀl a ²	ˀl a ²
