r ɨ	r ɨ
k a p a	k e p a
a n i k a	a n i k a
h e p i	h e p i
h t u k a ts i	a t u k a ts i
j a k a	j a k a
a k ɨ r o	a k ɨ r o
j u k i	j u k i
k a n ɨ r ɨ	k a n ɨ r ɨ
h a p i i r ɨ	h a p ɨ k ɨ r ɨ
ts o p a t a	ts o p a t a
k a n a w a	k a n a w a
k a p e t a	k a p e t a
p ɨ m a r ɨ	p ɨ m a r ɨ
s u t a r ɨ	s u t a r ɨ
k u n a	k u n a
n i k a	n i k a
k a	k a
k ɨ w ɨ	k ɨ w ɨ
m u t u	m u t u
p a r i k a r e	p a r i k a r e
k a ts i t i	k a ts i t ɨ
ts i	ts i
ts a	ts a
k i k a r e	tʃ i k a r e
m e r i t i	m e r i t i
ɨ m ɨ k a	ɨ m a k a
ts o m i	ts o m i
a w a	a w a
h o k ɨ	h o k ɨ
r o	r o
h u p a n a	h u p a n a
p u p e r i	p u p e r i
m a p a a	m a p a
a a ɨ	h ɨ w ɨ
h e r u t ɨ	h e r u t ɨ
h ɨ p u a	h ɨ p u
m a p a	m a p a
e p ɨ o	e p ɨ
k e n ɨ	k e n ɨ
k a a s r i	k a s i r i
p i k a	p i k a
a k a p a	a k a p a
h u p a i	h u p a i
k a m a r a	k a m a r a
k e m a	k e m a
t i k a	t i k a
p a w a	p a w a
n a n i	n a n i
m a n i	m a n a h i
j a n a	j a n a
h ɨ p n a	ɨ p ɨ n a
k e m a	k e m a
n a ts i	n a ts i
k ɨ s i	k ɨ s i
k i t i	k i t i
t a	t a
h a t i n ɨ	h a t ɨ n ɨ
h ɨ m e n ɨ	h ɨ m e n ɨ
k a ts a r ɨ	k a ts a r ɨ
n a n ɨ	n a n ɨ
h i m a t u ɨ u i	h i m a t u k ɨ
m a n e	m a n e
r a p ɨ k a	r a p ɨ
p i t i	p i t i
h a p o	h a p o
t u k a n a	t u k a n ə
h ɨ t ɨ	h ɨ t ɨ
k a t a t u	k a t a t u
h a p u k a	a p u k a
h i p i	s i
h i a p o t u	p o t u
k a ts i n u	k a ts i n u
p ɨ r a	p ɨ r a
s ɨ t u	s ɨ t u
n a k ɨ	n a k ɨ
ɨ n ɨ r u	ɨ n ɨ r u
m a p i ts i r i	m a p i ts i r i
p ɨ t a a n a	p ɨ t a h a n a
k u ts a	k u ts a
j u k a n a	j u k a n a
h i r a r ɨ	h i r a r ɨ
p ɨ n a	p ɨ n a
t a p a r i	t a p a r i
p u k u	p u k u
m e k a n i	m e k a n i
t ɨ r ɨ	t ɨ r ɨ
t e n o	t e n o
k a k ɨ t ɨ	k a k ɨ t ɨ
h i ts u	h i ts u
t a r a	t a r a h a
a t u k ɨ r ɨ	a t u k ɨ r ɨ
ts i ts i	ts i ts i
s ɨ w a	s ɨ w a
p e k i r i	p e k i r i
n u	n u
h u n ɨ	h u n ɨ
m u s a	m u s a
h e k u r u	h e k u r u
