s i ʔ̚ ⁵¹	s i ʔ ⁵¹
m l ɛ ¹¹	m w ɛ ¹¹
s a ¹¹	s a ¹¹
b l e ʔ̚ ⁵¹	b l e ʔ ⁵¹
l i ɴ ¹¹	l i n ¹¹
m i ⁵⁵	m i ⁵⁵
kʰ r ɔ k̚ ⁵¹	kʰ r ɔ t ⁵¹
s u ɴ ¹¹	s u n ¹¹
k l a ⁵⁵	k l a ⁵⁵
j o ⁵⁵	j o ⁵⁵
m ɨ ¹¹	m ɨ ¹¹
kʰ e ⁵⁵	kʰ e ⁵⁵
d a ʔ̚ ⁵¹	d a ʔ̚ ⁵¹
cʰ ə ɴ ⁵⁵	cʰ ə ŋ ⁵⁵
m u ¹¹	m u ¹¹
pʰ a ʔ̚ ⁵¹	p a ʔ̚ ⁵¹
n a ¹¹	n a ¹¹
r e ŋ ⁵⁵	r̥ e ŋ ⁵⁵
s ɔ ʔ̚ ⁵¹	s ɔ ʔ̚ ⁵¹
s ei ¹¹	s ei ¹¹
ɲ̊ ə ⁵⁵	ɲ̊ a ¹¹
p au ⁵⁵	j ə ⁰
g ə ⁰	g ə ⁰
cʰ r i t ⁵¹	kʰ r w i t ⁵¹
m a ⁵⁵	m̥ a ⁵⁵
c i m ¹¹	ɟ i m ¹¹
kʰ ɔ ʔ̚ ⁵¹	kʰ ɔ ʔ̚ ⁵¹
tʰ u ɴ ¹¹	tʰ u ɴ ¹¹
ˀb a ⁵⁵	ˀb a ⁵⁵
l̥ i ⁵⁵	l ei ⁵⁵
g i ⁵⁵	k i ⁵⁵
cʰ ou ¹¹	cʰ r ou ¹¹
r e ʔ̚ ⁵¹	r e ʔ̚ ⁵¹
ˀb i ¹¹	ˀb i ¹¹
kʰ a ¹¹	kʰ a ¹¹
k r ei ¹¹	kʰ r ei ¹¹
