b o ¹¹	b o ¹¹
k ə ⁰	k ə ⁰
p ə ⁰	p ə ⁰
n̥ i ⁵⁵	n̥ i ⁵⁵
m̥ e ¹¹	m e ¹¹
b l a ¹¹	b l a ¹¹
ˀd ə ⁵⁵	ˀd ə ⁵⁵
kʰ l ei ¹¹	kʰ l ei ¹¹
tʰ ɔ ʔ̚ ⁵¹	tʰ ɔ ʔ̚ ⁵¹
kʰ l au ¹¹	kʰ l ɔ ¹¹
tʰ a ʔ̚ ⁵¹	tʰ a ʔ̚ ⁵¹
kʰ i ʔ̚ ⁵¹	kʰ i ʔ̚ ⁵¹
s r e ⁵¹	s r e ³³
g e ʔ̚ ⁵¹	r e ʔ̚ ⁵¹
ɲ̊ ə ⁰	ɲ̊ a ¹¹
k l ɛ ⁵⁵	k l ɛ ⁵⁵
k ə ⁰	d ə ŋ ⁵⁵
d ɔ ŋ ŋ ¹¹	d ɔ ŋ ¹¹
n w ɛ ¹¹	n̥ w ɛ ¹¹
c i m ¹¹	ɟ i m ¹¹
s r a ⁵⁵	s r a ⁵⁵
b i ¹¹	b i ¹¹
cʰ ei ¹¹	cʰ ei ¹¹
tʰ r o ʔ̚ ⁵¹	tʰ r o ʔ̚ ⁵¹
pʰ e ⁵⁵	pʰ e ⁵⁵
tʰ ə ¹¹	tʰ ə ¹¹
n ei ⁵⁵	n ei ⁵⁵
n̥ e ¹¹	n e ¹¹
kʰ l i ʔ̚ ⁵¹	kʰ l i ʔ ⁵¹
k au ⁰	t ə ⁰
cʰ ə ŋ ⁵⁵	cʰ u ɴ ⁵⁵
tʰ w ɛ ⁵⁵	tʰ w ɛ ⁵⁵
n o ʔ̚ ⁵¹	n o k̚ ⁵¹
l w i ɴ ⁵¹	l̥ w i t̚ ⁵⁵
j a m ¹¹	j a m ¹¹
ɲ̊ a ⁵⁵	ŋ̊ a ⁵⁵
l̥ i ¹¹	l̥ i ¹¹
g ə ⁰	g ə ⁰
cʰ ei ⁵⁵	cʰ ei ⁵⁵
g ə ɴ ¹¹	n ei ¹¹
ˀd ou ¹¹	ˀd ə ŋ ¹¹
d ou ¹¹	d ou ¹¹
kʰ u ¹¹	kʰ u ¹¹
s ou ¹¹	s ou ¹¹
b ə ʔ̚ ⁵¹	p ə ʔ̚ ⁰
s a ɴ ⁵⁵	s a ɴ ⁵⁵
m i ⁵⁵	m i ⁵⁵
s ə m ⁵⁵	s ə m ⁵⁵
cʰ ou ¹¹	cʰ r ou ¹¹
ʔ e ¹¹	ʔ e ¹¹
g a t̚ ⁵¹	ŋ j a t̚ ⁵¹
k a ʔ̚ ⁰	t ə ʔ̚ ⁰
d ɛ ʔ̚ ⁵¹	d ɛ ʔ̚ ⁵¹
d a ʔ̚ ⁵¹	d a ʔ̚ ⁵¹
ˀb j a ¹¹	p j a ¹¹
kʰ a ŋ ¹¹	kʰ a ŋ ¹¹
pʰ a ⁵⁵	pʰ a ⁵⁵
kʰ l e ⁵⁵	kʰ l i ⁵⁵
pʰ r u ⁰	pʰ r u ɴ ⁵⁵
kʰ o ⁵⁵	kʰ o ⁵⁵
j o ⁵⁵	j o ⁵⁵
m̥ ei ⁵⁵	m̥ ei ⁵⁵
tʰ u ⁵⁵	tʰ u ⁵⁵
b i ʔ̚ ⁵¹	p i ʔ̚ ⁵¹
g w i ʔ̚ ⁵¹	c w i k̚ ⁵¹
b l e ʔ̚ ⁵¹	b l e ʔ ⁵¹
b r a ⁵⁵	b r a ⁵⁵
m̥ ɛ ʔ̚ ⁵¹	m̥ ɛ ʔ̚ ⁵¹
k w a ʔ ʔ ⁵⁵	ʔ w a ɴ ⁵⁵
p r u ⁵⁵	p r u ⁵⁵
tʰ ei ⁵⁵	tʰ ei ⁵⁵
d ə ¹¹	d ə ¹¹
kʰ l a ŋ ⁵⁵	kʰ l ɛ ɴ ⁵⁵
n a ¹¹	n̥ a ¹¹
kʰ w i ⁵⁵	kʰ w i ⁵⁵
s ə ⁰	s ə ⁰
d o ŋ ¹¹	d o ŋ ¹¹
g w a ɴ ¹¹	g l a m ¹¹
kʰ ei ¹¹	kʰ ei ¹¹
m̥ ei ¹¹	m̥ ei ¹¹
m̥ e ¹¹	m̥ e ¹¹
d a ʔ̚ ⁵¹	d a ʔ̚ ⁵¹
m̥ i ɴ ⁵⁵	m i n ⁵⁵
kʰ a ɴ ⁵⁵	kʰ a ŋ ⁵⁵
ʔ ɔ ¹¹	ʔ ɔ ¹¹
tʰ a m ⁵⁵	tʰ a m ⁵⁵
pʰ r ɔ ⁵⁵	pʰ r ɔ ⁵⁵
pʰ a ʔ̚ ⁵¹	p a ʔ̚ ⁵¹
k ə ⁰	p ə ⁰
tʰ u ¹¹	tʰ u ¹¹
tʰ o ¹¹	tʰ o ¹¹
ʔ w i ¹¹	ʔ w i ¹¹
k ə ʔ ⁰	k ə ʔ̚ ⁰
tʰ w a ɴ ¹¹	tʰ w a ɴ ¹¹
tʰ a ⁵⁵	tʰ a ⁵⁵
kʰ a ɴ ⁰	kʰ a ɴ ⁵⁵
j ou ¹¹	j ou ¹¹
ˀb ɔ ŋ ⁵⁵	ˀb ɔ ⁵⁵
ˀb l a ⁵⁵	p l a ⁵⁵
k i ⁵⁵	k i ⁵⁵
r ə ŋ ⁵⁵	r̥ u n ⁵⁵
pʰ l o ŋ ¹¹	pʰ l o ŋ ¹¹
m̥ ɨ ¹¹	m ɨ ¹¹
g a ʔ̚ ⁰	k ə ʔ̚ ⁰
n ɔ ʔ̚ ⁵¹	n̥ ɔ ʔ̚ ⁵¹
g r e t̚ ⁵¹	kʰ r w i t ⁵¹
ˀb e ŋ ¹¹	ˀb e ŋ ¹¹
ʔ a ŋ ⁵⁵	ʔ a ɴ ⁵⁵
kʰ u ʔ̚ ⁵¹	kʰ u k̚ ⁵¹
ˀd e ⁵⁵	ˀd e ⁵⁵
n ei ⁵⁵	n̥ ei ⁵⁵
l a ɴ ⁵⁵	l a m ⁵⁵
g i ¹¹	ɟ i ¹¹
ˀb a ŋ ⁵⁵	ˀb a ŋ ⁵⁵
c ə ŋ ⁵⁵	c ə ŋ ⁵⁵
s o ¹¹	s o ¹¹
b r a ¹¹	b r a ¹¹
g w a ¹¹	h w a ¹¹
cʰ a ⁵⁵	c a ⁵⁵
m ɛ ʔ̚ ⁵¹	m ɛ ʔ̚ ⁵¹
l a ⁵⁵	ˀl a ⁵⁵
cʰ a ¹¹	cʰ a ¹¹
p l ə m ¹¹	p l o m ¹¹
ʔ ɔ ⁵⁵	ʔ ɔ ⁵⁵
m̥ u ¹¹	m u ¹¹
m̥ ə ¹¹	m ə ¹¹
l a ŋ ¹¹	l̥ a ŋ ¹¹
m̥ a ¹¹	m a ¹¹
k ə ⁰	s u ⁵⁵
c ɔ ¹¹	c ɔ ¹¹
tʰ a ŋ ¹¹	tʰ a ŋ ¹¹
tʰ w i ¹¹	tʰ w i ¹¹
kʰ ɔ ʔ̚ ⁵¹	kʰ ɔ ʔ̚ ⁵¹
k l a ⁵⁵	k l a ⁵⁵
b r e ⁵⁵	b r e ⁵⁵
ŋ j a ʔ̚ ⁵¹	ŋ j a ʔ̚ ⁵¹
k ə ⁰ ⁵¹	k o t ⁵⁵
kʰ o ¹¹	kʰ o ¹¹
p l a ¹¹	p l a ⁵⁵
l i ɴ ¹¹	l i n ¹¹
kʰ w i t̚ ⁵¹	kʰ w i t ⁵¹
k i ¹¹	k i ¹¹
ˀb ɔ ⁵⁵	ˀb ɔ ɴ ⁵⁵
m̥ a ŋ ¹¹	m a ŋ ¹¹
kʰ a ¹¹	kʰ a ¹¹
cʰ a ⁵⁵	cʰ a ⁵⁵
n e ŋ ¹¹	n̥ e ŋ ¹¹
l ə ¹¹	l̥ ai ¹¹
c e ¹¹	c e ¹¹
tʰ a ¹¹	tʰ a ¹¹
m̥ a ʔ̚ ⁵¹	m a ʔ̚ ⁵¹
s u ɴ ¹¹	s u n ¹¹
m̥ a ⁵⁵	m a ⁵⁵
p ə ¹¹	p ə ¹¹
n a ¹¹	n a ¹¹
b r e ʔ̚ ⁵¹	b r e ʔ̚ ⁵¹
r ə ⁵⁵	r ɔ ⁵⁵
l ə ¹¹	l̥ ou ¹¹
tʰ u ɴ ¹¹	tʰ u ɴ ¹¹
ʔ ɛ ɴ ¹¹	ʔ j ɛ n ¹¹
m̥ ɨ ɴ ⁵⁵	m w ɨ ɴ ⁵⁵
n̥ u ¹¹	n u ¹¹
n o ŋ ⁵⁵	n o ŋ ⁵⁵
k au ⁰	j ə ⁰
ˀb u ŋ ¹¹	ˀb l u ŋ ¹¹
j ɔ ʔ̚ ⁵¹	j ɔ ʔ̚ ⁵¹
m̥ l ɔ ⁵⁵	m l ɔ ɴ ⁵⁵
k ə ʔ ⁰	k ə ⁰
m̥ a ɴ ⁵⁵	m̥ a ɴ ⁵⁵
ʔ ɔ ŋ ¹¹	ʔ ɔ ɴ ¹¹
ˀb ə ⁵⁵	ˀb a ⁵⁵
b ə ŋ ⁵⁵	b ə ŋ ⁵⁵
p l o ŋ ¹¹	p l o ŋ ¹¹
m̥ a ¹¹	m̥ a ¹¹
d ə ʔ̚ ⁵⁵	t ə ʔ̚ ⁰
p l a ¹¹	p l a ¹¹
ˀb a ŋ ¹¹	ˀb a ŋ ¹¹
ˀd ɨ ɴ ⁵⁵	ˀd w ɨ ɴ ⁵⁵
ʔ u ⁵⁵	ʔ u ⁵⁵
ˀb a ŋ ⁵⁵	ˀb a ŋ ⁵⁵
s i ⁵⁵	s ei ⁵⁵
kʰ i ŋ ⁵⁵	kʰ i ŋ ⁵⁵
