l ou ¹¹	l̥ ou ¹¹
r ə ʔ̚ ⁵¹	r ə ʔ̚ ⁵¹
cʰ a n ¹¹	cʰ j a ɴ ¹¹
w a ⁵⁵	g w a ⁵⁵
b l ɛ ʔ̚ ⁵¹	b l ɛ ʔ̚ ⁵¹
kʰ l ɛ ŋ ⁵⁵	kʰ l ɛ ɴ ⁵⁵
cʰ a ɴ ¹¹	cʰ a ɴ ¹¹
p i ʔ̚ ⁵¹	p i ʔ̚ ⁵¹
r̥ o ŋ ¹¹	r o ŋ ¹¹
pʰ l o ŋ ¹¹	pʰ l o ŋ ¹¹
cʰ a ŋ ⁵⁵	cʰ a ŋ ⁵⁵
s r ei ¹¹	s r ei ¹¹
tʰ a ¹¹	tʰ a ¹¹
m ɨ ɴ ⁵⁵	m w ɨ ɴ ⁵⁵
s ə m ⁵⁵	s ə m ⁵⁵
l o ŋ ¹¹	l̥ o ŋ ¹¹
kʰ i ⁵⁵	kʰ ə ⁰
kʰ a ŋ ⁵⁵	kʰ a ŋ ⁵⁵
ˀb o ʔ̚ ⁵¹	ˀb o ʔ̚ ⁵¹
ˀd ɛ ¹¹	ˀd ɛ ¹¹
ˀb a ¹¹	ˀb a ¹¹
pʰ r ɔ ⁵⁵	pʰ r ɔ ⁵⁵
⁰ a ⁰	t ə ⁰
cʰ r w u t ⁵¹	kʰ r w i t ⁵¹
b o ¹¹	b o ¹¹
kʰ i ŋ ⁵⁵	kʰ i ŋ ⁵⁵
cʰ ɛ ŋ ⁵⁵	cʰ ɛ ŋ ⁵⁵
p l e ŋ ⁵⁵	p l e ŋ ⁵⁵
cʰ ei ¹¹	cʰ ei ¹¹
k ə ⁰	k ə ⁰
pʰ ɔ ⁵⁵	pʰ ɔ ⁵⁵
k ə ɴ ⁵⁵	g a ŋ ⁵⁵
m̥ ei ⁵⁵	m̥ ei ⁵⁵
ʔ o ¹¹	ʔ o ¹¹
cʰ a n ⁵⁵	cʰ j a ɴ ⁵⁵
ɟ a ¹¹	ɟ a ¹¹
