k a ⁵⁵	ŋ̊ a ⁵⁵
b l a ¹¹	b l a ¹¹
ˀd ɛ ¹¹	ˀd ɛ ¹¹
ʔ ɔ ⁵⁵	ʔ ɔ ⁵⁵
tʰ ɔ ʔ̚ ⁵¹	tʰ ɔ ʔ̚ ⁵¹
ŋ j e ʔ̚ ⁵¹	ŋ j a ʔ̚ ⁵¹
s ə ⁰	p ə ⁰
c i m ¹¹	ɟ i m ¹¹
pʰ a ¹¹	pʰ a ¹¹
s ɔ ʔ̚ ⁵¹	s ɔ ʔ̚ ⁵¹
pʰ ou ⁵⁵	pʰ ou ⁵⁵
tʰ ɛ ʔ̚ ⁵¹	tʰ ɛ ʔ̚ ⁵¹
kʰ l i ʔ̚ ⁵¹	kʰ l i ʔ̚ ⁵¹
tʰ e ¹¹	tʰ e ¹¹
s ə ⁰	s ə ⁰
j ɔ ʔ̚ ⁵¹	j ɔ ʔ̚ ⁵¹
k ə ⁰	k ə ⁰
cʰ a ¹¹	cʰ a ¹¹
kʰ ei ¹¹	kʰ ei ¹¹
d ə ŋ ¹¹	d ə ŋ ¹¹
k ə ʔ̚ ⁰	k o t ⁵⁵
b l e ʔ̚ ⁵¹	b l e ʔ ⁵¹
ˀb a ⁵⁵	ˀb a ⁵⁵
s ɨ ¹¹	s w ɨ ɴ ¹¹
n̥ ə ŋ ⁵⁵	n ɨ ŋ ⁵⁵
t ə ⁰	d ə ŋ ⁵⁵
c e ¹¹	c e ¹¹
b l ei ⁵⁵	b l ei ⁵⁵
ˀd ə ɴ ⁵⁵	ˀd w ɨ ɴ ⁵⁵
b e ŋ ⁵⁵	b e ŋ ⁵⁵
s ɛ t ⁵¹	h a t̚ ⁵¹
s ə ¹¹	h ou ¹¹
ʔ e ¹¹	ʔ e ¹¹
b l e ⁵⁵	b l e ⁵⁵
kʰ w i ɴ ⁵¹	kʰ w i t ⁵¹
r ə ʔ̚ ⁵¹	r ə ʔ̚ ⁵¹
s w i ¹¹	s w i ¹¹
t a ʔ̚ ⁵¹	t a ʔ̚ ⁵¹
s ə ⁵⁵	ɲ̊ au ⁵⁵
k ə ⁰	k ə ⁰
n̥ ɔ ¹¹	n̥ ɔ ɴ ¹¹
r e ʔ̚ ⁵¹	r e ʔ̚ ⁵¹
tʰ u ⁵⁵	tʰ u ⁵⁵
n o k̚ ⁵¹	n o k̚ ⁵¹
n o ŋ ⁵⁵	n o ŋ ⁵⁵
b l a ¹¹	b l a ¹¹
j ou ¹¹	j ou ¹¹
m a ŋ ¹¹	m a ŋ ¹¹
ˀb a ¹¹	ˀb a ¹¹
w a ⁵⁵	g w a ⁵⁵
n w ɛ ⁵⁵	ˀn w e t̚ ⁵¹
kʰ w i ¹¹	kʰ w i ¹¹
tʰ a ¹¹	tʰ a ¹¹
d o ¹¹	d o ¹¹
tʰ ei ⁵⁵	tʰ ei ⁵⁵
ˀb a ɴ ⁵⁵	ˀb a ŋ ⁵⁵
k w ɛ ⁵¹	k w a t̚ ⁵¹
ˀb u ŋ ¹¹	ˀb l u ŋ ¹¹
l ei ⁵⁵	l ei ⁵⁵
tʰ u ʔ̚ ⁵¹	tʰ u ʔ̚ ⁵¹
k ə ⁰	k ə ⁰
ˀb a ŋ ¹¹	ˀb a ŋ ¹¹
m̥ a ¹¹	m̥ a ¹¹
kʰ l̥ ə ¹¹	kʰ l ɔ ¹¹
ʔ e ŋ ⁵⁵	ʔ e ŋ ⁵⁵
p ə ʔ̚ ⁵¹	p ə ʔ̚ ⁰
d ɛ ʔ̚ ⁵¹	d ɛ ʔ̚ ⁵¹
kʰ l ei ¹¹	kʰ l ei ¹¹
ˀb ɔ ⁵⁵	ˀb ɔ ⁵⁵
m i ⁵⁵	m i ⁵⁵
t ə ⁰	t ə ʔ̚ ⁰
c u ⁵⁵	c u ⁵⁵
tʰ w w ɨ ɴ ⁵⁵	tʰ w ɨ ɴ ⁵⁵
ˀb e ŋ ¹¹	ˀb e ŋ ¹¹
m̥ a ɴ ⁵⁵	m̥ a ɴ ⁵⁵
m a ¹¹	m̥ a ¹¹
w a ¹¹	h w a ¹¹
j ɛ t̚ ⁵¹	ŋ j a t̚ ⁵¹
r e ¹¹	r e ¹¹
l w i ¹¹	l w i ¹¹
tʰ a ŋ ⁵⁵	tʰ a ŋ ⁵⁵
ʔ a ɴ ⁵⁵	ʔ a ɴ ⁵⁵
kʰ a ɴ ⁵⁵	kʰ a ɴ ⁵⁵
ʔ u ⁵⁵	ʔ u ⁵⁵
d ə ¹¹	d ə ¹¹
ˀb a ŋ ⁵⁵	ˀb a ŋ ⁵⁵
pʰ ɔ ⁵⁵	pʰ ɔ ⁵⁵
