tsʰ j r e n ¹	tsʰ j e n ¹
m ɯ ⁴	m ɯ ⁴
m o ²	m ø ²
k o ŋ ¹	ɣ o ŋ ¹
ɣ u ¹	qʰ u ¹
χ e n ¹	x e n ¹
m ɯ ⁵	m ɯ ⁵
ɕ i ²	s j i ²
ɣ ²	ɯ̃ ²
d ɔ ¹	d ɔ ¹
n u ŋ ⁵	n o ŋ ⁵
n ɛ ¹	n ɛ ¹
dʑ i ¹	dz i ¹
ts u ŋ ²	ts u ŋ ²
ɖʐ i ⁴	ɖʐ i ⁴
n j o ŋ ⁴	ŋ j o ŋ ⁴
n æ n ³	pʰ æ n ³
d o ⁴	ʈ o ⁴
b a ⁴	b a ⁴
m o ²	m o ²
ts o ⁵	ts o ⁵
ɣ i ¹	ɕ a
ts j i ⁴	ts j i ⁴
ɣ ɔ ³	b ɔ ³
kʰ ɔ ¹	qʰ ɔ ¹
ts o ⁴	ts o ⁴
s r o ²	s r o ²
d r o ŋ ¹	d r o ŋ ¹
ts j e n ¹	tɕ e n ¹
k u ²	k u ²
n i ¹	pʰ e ¹
n i ¹ ¹	ɕ w i ²
sʰ e n ⁵	s e n ⁵
b r ɯ ²	p ɯ ²
q o ŋ ⁴	q ɔ ⁴
q ɯ ¹	q ɯ ¹
pʰ j ɛ ³	pʰ j ɛ ³
pʰ j o ²	p j ɛ ²
ɣ u ¹	ŋ o ³
m æ ⁴	m æ ⁴
p i ¹	p r i ¹
m i ²	m i ²
ɖʐ w e n ⁵	ɖʐ w e n ⁵
m e ¹	m e ¹
g ɯ ¹	g ɯ ¹
kʰ o ŋ ¹	kʰ o ŋ ¹
d r ɯ ³	d r ɯ ³
ɣ j ¹ ¹	b j o ²
s r i ²	s r i ²
p j æ ⁴	p r æ ⁴
ɣ ɔ ⁵	ɣ u ⁴
j e n ¹	j e n ¹
b r ɯ ²	p u ²
n i ¹	p e ¹
t r i ¹	tʲ ɯ ¹
ŋ w a ⁴	ŋ w a ⁴
ɕ r e n ¹	sʰ j e n ¹
p i ŋ ¹	b r i ²
k ɯ ¹	k ɯ ¹
n ɛ ¹	n ɛ ¹
ɕ i ⁴	ɕ i ⁴
ɣ æ ⁴	ɣ æ ⁴
ts r r æ ⁴	ʈ æ ⁴
q w ɛ ⁵	q w ɛ ³
ts r ɯ ²	ts r e n ²
s r i n ¹	s r e ŋ ¹
ɣ a ŋ ¹	ʁ a ŋ ¹
p j a ⁴	p r a ⁴
ɕ i ⁴	s j i ⁴
ɣ o ŋ ¹	qʰ o ŋ ¹
n u n ¹	n j o ŋ ¹
ɣ ɔ ⁴	s ɔ ⁴
n ɛ n ¹	qʰ e n ¹
p e ²	p ɛ ²
sʰ w a ⁴	sʰ w a ⁴
b r a ŋ ⁵	b a ŋ ⁴
ɣ u ²	qʰ u ²
ɣ æ ⁴	ɣ æ ⁴
d j r ɯ ³	d ɯ ⁵
b e ¹	b e ¹
tsʰ j w e n ¹	tsʰ w e n ¹
n j ɯ ¹	d r ɯ ³
ɕ r e n ¹	s j e n ¹
ɣ o ²	kʰ r o ²
b æ ŋ ³	b æ n ³
n o ³	kʰ r o ³
pʰ j i ¹	p j e ¹
n w i n ¹	ŋ w e n ¹
ɣ j a n ¹	d r æ n ¹
k æ ⁴	k æ ⁴
b æ ¹	b æ ¹
ɣ ɯ ²	ɣ ɯ ²
m e ¹	m ɛ ¹
sʰ w e ⁴	sʰ w ɛ ⁴
p i ⁴	p r i ⁴
tʰ i ²	tʰ j e ²
tʰ r i ⁴	tsʰ r i ¹
χ e n ¹	x e n ¹
sʰ w a ŋ ³	sʰ w a ŋ ³
sʰ r ɯ ²	sʰ r ɯ ²
n ɔ ³	ŋ ɔ ³
n w æ ¹	qʰ w æ ¹
k o ⁵	k o ⁵
q æ ⁵	q æ ⁵
x ɯ ²	x ɯ ³³
dʑ i ²	dʑ i ²
tsʰ j i ⁴	tsʰ j i ⁴
l o ŋ ¹	l o ŋ ¹
kʰ o ¹	qʰ o ŋ ¹
t w e n ¹	t w e n ¹
b e ¹	b e ¹
x w i ²	x w i ²
ɣ ɯ ¹	ɣ ɯ ¹
n u ¹	ŋ ɔ ¹
g ɯ ¹	g ɯ ¹
ɖʐ i ⁴	ɖʐ i ⁴
ts o ⁴	dz o ⁴
ɣ æ ⁴	pʰ a ¹
n r ɯ ²	ʈ ɯ ²
o ⁴	ɔ ⁴
l ɔ ¹	l ɔ ¹
j u ŋ ²	ŋ j o ²
tsʰ o ⁴	tsʰ o ⁴
sʰ r o n ¹	s r o ⁴
ɣ u u n ¹	z r o ŋ ¹
ts j r i ¹	tɕ ɯ ¹
j ɯ ¹	j ɯ ¹
ɖʐ u ŋ ²	ɖʐ u ŋ ²
d r ɯ ³	d r ɯ ³
ts r i ¹	ts r e ŋ ¹
n j e n ¹	n j e n ¹
b æ ⁴	b æ ⁴
s a ⁴	s a ⁴
t r ɯ ⁵	tʲ ɯ ⁵
s r i n ¹	s r e ŋ ¹
q æ ŋ ¹	q æ n ¹
tʰ r j o ⁴	tʰ r o ⁴
tsʰ o ¹	tsʰ u ³
m o ⁴	m ɔ ⁴
p j a ⁴	b r æ ⁴
m æ n ²	m æ ²
ɣ ɔ ²	qʰ ɔ ²
tʰ i ²	tʰ j e ²
ɣ æ ¹	ɣ æ ¹
j a ⁴	j a ⁴
ŋ w æ ⁵	ŋ w æ ⁵
n j i ²	n j i ⁴
k o ŋ ²	k o ŋ ²
s r i ¹	sʰ r e ŋ ¹
t æ n ¹	t æ ¹
g ɔ ¹	g ɔ ¹
n ɔ ³	h ɔ ³
d ɯ ¹	d r ɯ̃ ¹
tɕ j e n ²	ɖʐ e n ²
tsʰ o ŋ ⁵	tsʰ o ŋ ³
m ɯ ²	m ɯ ²
ɣ i ¹	tɕ u ¹
b ɯ ¹	b ɯ ¹
n j u ⁴	b j o ⁴
k ɯ ¹	k ɯ ¹
ɖʐ o ⁴	ɖʐ o ⁴
s r o ¹	s r o ¹
n w a ¹	d w a ⁴
ɣ ɔ ¹	ɣ ɔ ¹
m ɯ ŋ ⁴	m ɯ ⁴
m o ŋ ²	m ø ²
n r e n ⁴	n j e ⁴
