ɣ i ³	ʃ ɨ̠ ¹
k ɛ ¹	k j ɛ ¹
m j o̠ ³	m j o̠ ³
tʃ ɛ ¹	tʃ ɛ ¹
g u ²	g j u ²
dʒ e ŋ ²	dʒ ɛ ²
tʃʰ o ³	tsʰ y̠ ¹
t i ¹	t i ¹
ˀm j y ²	ˀm y ²
tʃ a̠ ³	tʃ a̠ ³
x ɛ ¹	kʰ a̠ ¹
kʰ ɨ ³	kʰ ɨ̠ ³
dz y ¹	dz y ¹
b u ³	p u ¹
a ¹	a ¹
x a ¹	x a̠ ³
z i ³	z i̠ ³
m a ²	m a ²
pʰ ɛ ³	f ɛ ³
k i ¹	k i ¹
tsʰ y ¹	tsʰ y ¹
ɣ a̠ ³	ʃ a̠ ³
b a ³	b a ³
pʰ o ¹	pʰ u ²
p e ¹	p e ¹
ʃ ɛ ¹	ʃ ɛ ¹
s i̠ ¹	s i̠ ¹
tʰ ɛ ³	tʰ ɛ ³
p ɛ ²	p e ³
g i ¹	g ɨ ¹
z a ²	z a ²
t o̠ ³	d o̠ ³
s ɛ ²	s ɛ ²
p ɨ ²	p j ɨ ²
d e̠ ¹	d e̠ ¹
ˀm a ²	ˀm a ²
k a ²	k a ²
t u ¹	t u ¹
k u ¹	k u ²
k i ¹	k i ¹
pʰ a ²	pʰ a ²
t ɛ ¹	t u ¹
p y ¹	p y̠ ¹
g o̠ ³	g o̠ ³
b y ¹	b y ¹
n̩ ²	n i ²
ɲ u ¹	n u ²
m ɛ ²	m ɛ ²
tʰ ɛ ²	tʃʰ ɛ ²
ŋ o ¹	ŋ o ¹
pʰ u ¹	pʰ u ¹
p a ³	pʰ o̠ ¹
m a ²	m a ²
ɣ ɛ̠ ²	v y ²
tʃ e̠ ³	ts e̠ ³
b i ²	v y ²
k u ¹	ts u ¹
m ɨ ²	m ɨ ²
g a ²	g o̠ ³
tʃʰ j a ¹	tʃʰ u ¹
k e ²	k j ɛ ²
pʰ e ²	pʰ e ²
pʰ e̠ ¹	pʰ e̠ ¹
t i ²	t i ²
ˀm ɛ ¹	ˀm ɛ ¹
s o ¹	s u ¹
ɣ a ŋ ¹	ɲ a ¹
tʰ a ²	tʰ a ²
p y ¹	p y ³
m o ¹	m o ¹
l o ²	l y ²
ˀn y̠ ³	ˀn y̠ ³
s i ¹	ʃ y ¹
v ¹	v u ¹
kʰ u ¹	kʰ u ¹
kʰ o̠ ³	kʰ o̠ ³
z e̠ ³	z e̠ ³
b y ³	b y ³
tʰ u ³	tʰ u ³
tʃʰ ɨ ¹	tʃʰ ɨ ¹
b o̠ ¹	b o̠ ¹
l e̠ ³	l e̠ ¹
kʰ ɨ ²	kʰ ɨ ²
m e̠ ³	m e̠ ³
a ¹	a ¹
m j a ¹	m j a ŋ ¹
p a̠ ³	p a̠ ³
ˀm j a ³	ˀm a ³
d e ³	d e ³
k i ²	k a ŋ ²
m o ²	m o ²
l u ³	l u ³
t u ³	tsʰ o̠ ¹
dz i ³	dz ɿ ³
l a ³	l a ³
m a ³	m a ³
dz e ¹	dz e ¹
tsʰ i ²	tsʰ i ²
tsʰ a ¹	tsʰ a ¹
m o̠ ¹	m o̠ ¹
a ¹	a ¹
a ¹	a ¹
x a̠ ³	x a̠ ³
ˀx ɛ ²	kʰ a ²
d i̠ ¹	d i ¹
b a ²	b j a ²
b a ²	b a ²
ˀn e ²	n e ²
tsʰ e ¹	tsʰ e ¹
m i ¹	m i ¹
ˀn a ŋ ¹	ˀn i ¹
ɣ ɨ ³	ɣ i̠ ³
dz i ²	dz i ²
b i ¹	b e ³
kʰ ɛ ¹	kʰ ɛ ¹
k u ²	k o̠ ³
kʰ i ¹	kʰ i ¹
ˀl a ¹	ˀl a ¹
m o̠ ³	m o̠ ³
z a ²	z a ²
a ²	a ¹
a ¹	a ¹
l i ³	ˀl i̠ ³
a ²	a ²
t ɛ ¹	t ɛ ¹
