tsʰ o ³	tsʰ u ³
m æ ¹	m æ ¹
pʰ æ ⁴	pʰ æ ⁴
o o ⁴	ɕ a
d r ɯ ³	d r ɯ ³
p j ɛ ³	pʰ j ɛ ³
ts r e ²	ts r e n ²
h ɔ ¹	h ɔ ¹
ts u ŋ ¹	ts u ŋ ¹
qʰ u ²	qʰ u ²
z i ³	z ɯ ³
ɕ i ²	ɕ w i ²
w æ ⁵	ŋ w æ ⁵
q ɯ ¹	q ɯ ¹
tʰ r u ²	tʰ r u ²
b æ n ³	b æ n ³
ʔ w e n ¹	ʔ w e n ¹
k ɯ ¹	k ɯ ¹
x æ ŋ ¹	χ æ n ¹
q æ ⁴	q æ ⁴
ɖʐ j o ⁴	ɖʐ o ⁴
j e ²	n j i ²
ɖʐ j o ⁴	ɖʐ o ⁴
dʑ æ n ³	dʑ æ n ³
ɣ ɯ ²	ɣ ɯ ²
qʰ ɯ̃ ¹	qʰ ɯ̃ ¹
d ɯ ²	dʑ ɯ ²
s e n ⁵	s e n ⁵
ʁ o ŋ ¹	ʁ o ŋ ¹
b j e ²	b j ɛ ²
g ɔ ¹	g ɔ ¹
p o ²	p j o ²
ts i ⁴	ts j i ⁴
p j o ⁴	p j u ⁴
k o ⁵	k o ⁵
n j e n ¹	n j e n ¹
d a n ¹	d r æ n ¹
q ɯ ²	ɣ ɯ̃ ²
ts o ⁴	ts o ⁴
b r ɯ ³	p u ³
k w ɛ ¹	k w ɛ ¹
j o ŋ ²	n j o ŋ ²
w e n ¹	ʁ w e n ¹
tsʰ e ŋ ¹	tsʰ r e ŋ ¹
d r ɯ ²	d r ɯ ²
w ⁴ ²	w u ⁴
