s ɔ r ɪ k ɛ	s oː r ɪ k ɛ m
p l ɛ n ɪ t ʊ d ɛ m	p l eː n ɪ t uː d ɪ n ɛ m
aː t ɛ m m ɛ r a r ɛ	a tː ɛ m p ɛ r aː r ɛ
ɪ n f ɛ r ɪ r ɛ	iː n f ɛ rː ɛ
w ɛ n uː s t ʊ m	w ɛ n ʊ s t ʊ m
t ɔ r s ʊ m	tʰ y r s ʊ m
ɪ n f ɛ l ɪ k ɛ	iː n f eː l iː k ɛ m
d ɔ n ɛ m ɔ s t aː r ɛ	d ɛ h ɔ n ɛ s t aː r ɛ
a pː a r ɛ n t ɛ m	a pː a r ɛ n t ɛ m
ɔ t j ʊ m	oː t j ʊ m
f uː r ɛ n ʊ m	f uː r ɛ m
s aː t ɪ r ʊ m	s a t y r ʊ m
p ɛ l a g ʊ m	p ɛ l a g ʊ s
l ɔ r ɪ k a m	l oː r iː k a m
m ɔ r t aː r j ʊ m	m ɔ r t aː r j ʊ m
t r aː m a m	t r aː m a m
k a p t uː r a m	k a p t uː r a m
k ɔ lː ɛ k t a m	k ɔ lː eː k t a m
l ɪ b ɛ r a t oː r ɛ	l iː b ɛ r aː t oː r ɛ m
k aː k t ɪ w ʊ m	k a p t iː w ʊ m
f ɔ k a m	pʰ oː k a m
a d j ʊ ŋ g ɛ r ɛ	a d j ʊ ŋ g ɛ r ɛ
k a l f a m k ɛ r ɛ	k a l ɛ f a k ɛ r ɛ
p r j ɔ r ɛ	p r j oː r ɛ m
d ɪ s t uː r b aː r ɛ	d ɪ s t ʊ r b aː r ɛ
l ɪ r ɪ k ʊ m	l y r ɪ k ʊ m
f oː k aː r j a m	f ɔ k aː r j ʊ m
ɛ l uː k uː b r aː r ɛ	eː l uː k ʊ b r aː r ɛ
d ɛ s t ɪ n aː r ɛ	d eː s t ɪ n aː r ɛ
r ɛ s a r k ɪ r ɛ	r ɛ s a r k iː r ɛ
g ɛ ɔ g r aː f ɪ k ʊ m	g ɛ oː g r a pʰ ɪ k ʊ m
k ɔ r n j ɛ ʊ m	k ɔ r n ɛu m
m a r a g ʊ l ʊ m	m ɛ r g ʊ m
ɪ k ʊ m	ɪ k ʊ m
g r ʊ n ɪ r ɛ	g r ʊ nː iː r ɛ
aː s t r ʊ m	a s t r ʊ m
p ɛ r ɪ k l ɪ t aː r ɛ	p ɛ r iː k l ɪ t aː r iː
ɪ n ɛ k t j oː n ɛ m	ɪ n ɪ ɛ k t j oː n ɛ m
s ɪ ɛ n t ɪ f ɪ k ʊ m	s k ɪ ɛ n t ɪ f ɪ k ʊ m
k ɔ k ʊ m	k ɔ kʷ ʊ m
f ɪ l ʊ	f l ʊ k t ʊ m
w a r ɪ ɛ g aː r ɛ	w a r ɪ ɛ g aː r ɛ
k ɔ n s ɛ kʷ ɛ n t j a m	k oː n s ɛ kʷ ɛ n t j a m
uː r ʊ m	uː r ʊ m
f ɔ r n aː k j a m	f ɔ r n aː k ʊ l a m
p ɛ r ɛ g r ɪ n aː r ɛ	p ɛ r ɛ g r iː n aː r iː
p ɔ t r ɛ m	p ʊ t r ɛ m
p ɛ r s ɪ k a m	p ɛ r s ɪ k a m
ɛ r ɔ g aː r ɛ	eː r ɔ g aː r ɛ
ɛ k s t ɪ r p aː r ɛ	ɛ k sː t ɪ r p aː r ɛ
d ɛ t ɛ n ɛ r ɛ	d eː t ɪ n eː r ɛ
uː n ɪ k ʊ m	uː n ɪ k ʊ m
d ʊ l t ɪ s ɔ n ʊ m	d ʊ l k ɪ s ɔ n ʊ m
d ɛ n ɔ m ɪ n a t oː r ɛ	d eː n oː m ɪ n aː t oː r ɛ m
k ɛ n t aʊ r j a m	k ɛ n t aʊ r eːa m
m a t ʊ r aː r ɛ	m aː t uː r aː r ɛ
p ʊ t r ɪ r ɛ	p ʊ t r ɛ r ɛ
a fː l ɪ g ɛ r ɛ	a fː l iː g ɛ r ɛ
p r ɔ d ɪ g oː s ʊ m	p r oː d ɪ g j oː s ʊ m
a s t uː t j a m	a s t uː t j a m
k r ʊ m r ɛ	k r ʊ oː r ɛ m
w ɛ k a m	w ɪ k j a m
a kː ɪ s ɪ t j oː n ɛ	a kː w ɪ s iː t j oː n ɛ m
g ɛ r a m	g l aː r ɛ a m
ɛ l ʊ ɛ r ɛ	eː l ʊ ɛ r ɛ
p r ɔ n ɔ s t ɪ k	p r ɔ ŋ n oː s ɛ m
s t r ɪ k aː r ɛ	ɛ k s t r iː k aː r ɛ
ɪ n k a r n a t j oː n ɛ m	ɪ ŋ k a r n aː t j oː n ɛ m
a d mː ɔ n ɪ t j oː n ɛ m	a d m ɔ n ɪ t j oː n ɛ m
d ɔ l aː r ɛ	d ɔ l aː r ɛ
a s aː r ɛ	a sː aː r ɛ
p r ɛ t ɪ p ɪ t j ʊ m	p r aɪ k ɪ p ɪ t j ʊ m
k ɔ n k l aː m a m r ɛ	k ɔ ŋ k l aː m aː r ɛ
ɪ n ɔ b ɪ l ɛ	ɪ ŋ n oː b ɪ l ɛ m
l ɪ k t oː r ɛ	l iː k t oː r ɛ m
b l a n d ɪ r ɛ	b l a n d iː r iː
f l uː w j aː l ɛ	f l ʊ w j aː l ɛ m
r ɛ p l ɪ k a t j oː n ɛ	r ɛ p l ɪ k aː t j oː n ɛ m
f l aː mː a m	f l a mː a m
t a k sː aː r ɛ	t a k s aː r ɛ
p ɪ ŋ kʷ ɛ	p ɪ ŋ gʷ ɛ m
w oː m ɪ k ʊ m	w ɔ m ɪ k ʊ m
k a t ɛ d r aː l ɛ	k a tʰ ɛ d r aː l ɛ m
p uː ŋ n aː k ɛ	p ʊ ŋ n aː k ɛ m
p l aː n oː	p l aː n ʊ m
ɪ n d ɪ ŋ n ɪ t aː t ɛ m	ɪ n d ɪ ŋ n ɪ t aː t ɛ m
k ɔ n k ɪ l j aː b ʊ l ʊ m	k ɔ ŋ k ɪ l j aː b ʊ l ʊ m
g ɪ b ʊ m	g ɪ bː ʊ m
s ɛ r w aː r ɛ	s ɛ r w aː r ɛ
ɪ n s ɪ ŋ n j a m	iː n s ɪ ŋ n ɛ
