ɛ j ɛ ³	p j ɛ ³
² i ⁴	ˀs e ¹
b r a ¹	b r ɛ ¹
t a ŋ ³	ˀt i ŋ ³
j a k ⁴	j a k ⁴
g j a ⁴ ⁴	ˀk j u ¹
m u ¹	m u ¹
k j a ŋ ³	k j a ŋ ³
d u ŋ ¹	d u ŋ ¹
n a ŋ ¹	n a ŋ ¹
k i g ⁴	k i k ⁴
s a ŋ ¹	s a ŋ ¹
g r o g ⁴	g r o k ⁴
j u p ⁴	w a p ⁴
k u ²	ˀk u ²
m j e ²	n e ²
ŋ ² ¹	ŋ ui ¹
² ²	ˀk ui ²
b e ¹	b i ¹
ˀp i g ⁴	p i k ⁴
s e g ⁴	s i k ⁴
j a ¹	w ai ¹
ŋ j a k ⁴	ŋ j a k ⁴
ˀp j o ¹	p r o ¹
r ai ¹	n ai ¹
ʃ e ¹	ʃ i ³
k j a ŋ ¹	k j a ŋ ¹
s ɛ ³	s ɛ ³
ʃ e ²	ʃ e ²
k a p ⁴	k a k ⁴
ɛ a ²	ˀr a ²
j u k ⁴	j u k ⁴
g j e ²	g j e ¹
m i g ²	m i k ⁴
g j a p ⁴	ˀk j a p ⁴
ˀn a p ⁴	ˀn a p ⁴
a o t ⁴	ˀts u t ⁴
l a k ⁴	l a k ⁴
m e ⁴	m i ³
d a p ⁴	ˀt a p ⁴
l i ŋ ²	l i ŋ ²
g r a ⁴	g j a ³
l i g ⁴	l i k ⁴
t a ³	t a ŋ ³
b a n ²	b a n ²
a a ⁴	ʃ ɛ ¹
k j a p ⁴	k j a p ⁴
ŋ ai ¹	ŋ ai ¹
l a ŋ ²	l a ŋ ²
ˀtʃ ² ²	dʒ ui ²
k a ¹	k a m ¹
ŋ ² ¹	ɲ u ¹
² a ³	p a ³
b i ⁴	b ui ¹
b j i g ⁴	b j i k ⁴
b r i ŋ ⁴	b r i ŋ ¹
a ŋ ³	tʃ a ŋ ³
ˀn ² ¹	ˀn a m ¹
j a ²	j a m ²
ʃ u k ⁴	ʃ u k ⁴
a a n ²	dz a n ²
d u ¹	d u ²
s i ²	ˀs ui ²
ɛ j a ¹	p j a ¹
l a ⁴	l a ³
r o ¹	r o ¹
u ŋ ²	ʔ u ŋ ²
g ⁴	ˀj u k ⁴
j a m ¹	w a m ¹
m j u k ⁴	m j u k ⁴
b a n ⁴	b a n ¹
d ai ³	ˀt i ³
ŋ a k ⁴	ŋ a k ⁴
l i ²	ˀl i ²
k j o b ⁴	k r u p ⁴
b i ŋ ³	b i ŋ ³
j a ¹	j a ¹
ˀn a ¹	ˀn a ¹
a ai ²	m ai ²
a j ²	ˀtʃ a k ⁴
b j e ŋ ³	b r i ŋ ³
o ¹	ʔ ʊ ¹
ˀk ɛ t ¹	ˀk a t ⁴
l a ²	l a ²
a ¹	ʔ a ¹
a m ⁴	ˀk a m ¹
ˀtʃ a p ⁴	dʒ a p ⁴
ts a ²	ˀts u ²
b i b ⁴	b u p ⁴
ˀp a ²	ˀp a ²
i a p ⁴	ˀt a k ⁴
n ai ⁴	n i ³
a o ²	ʃ o ²
g a ²	g a ŋ ²
j a ŋ ²	j a ŋ ²
m j a ²	m j a ²
d ɛ p ⁴	d a p ⁴
ʃ a ²	ʃ a ²
ɛ i ŋ ¹	ˀr i ŋ ¹
l a m ¹	l a m ¹
dʒ e ²	dz e ²
l i ²	l i ²
j a ŋ ¹	w a ŋ ¹
d i g ⁴	ˀt i k ⁴
m j a k ⁴	m j a k ⁴
ŋ a ²	ŋ a ²
r a ¹	k r a ¹
t u ¹	t a ŋ ¹
ˀp j a ²	ˀp r ɛ ²
ˀl a p ⁴	ˀl a p ⁴
n a ŋ ²	n i ŋ ²
m j e ŋ ¹	m r i ŋ ¹
