b ʃ t	b w θ
b qˤ l	b qˤ l
ʔ a s	ʔ a
ʃ qˤ j	ʃ qˤ j
ɣ r n	ɣ r n
ʃ i n a t	ʃ i n a t
m n j	m n j
t a r	t r r
θˤ l m	θˤ l m
s k r	s k r
z b b	ð b b
k s k s	k a
b a t a	p
ð r ʔ	ð a r ʔ
ʔ i l	ʔ a θ l
ʔ a m a l a t	ʔ a l m a n a t
qˤ b r	qˤ b r
ʕ r r	ʕ u
ʔ u ð n	ʔ u ð n
ħ a s iː s	ħ a s iː s
l p ʔ	l p ʔ
ʕ i sˤ sˤ	ʕ θˤ aː j
ʃ l	ʃ l ħ
ʕ a p a r	ʕ a p a r
r ʃ θ	r ʃ ʕ
d d	h a d a d
d aː d	d aː d
p a r θ	p a r θ
g u m u	k m d
n ʃ	n ʃ
n x l	n x l
m r n	ʔ n a r
m r r	m r r
g l g a	g l g l a t
a r ʔ	ʔ r aː w
r b k	r b k
w ʃ n	w ʃ n
d k ʃ	d g ʃ
n h qˤ	n h qˤ
ð u b b	ð b b
z a p p	z a p p
qˤ j ʔ	qˤ j
l ħ t	l ħ j a t
ʕ a l qˤ	ʕ a l a
a r ʕ	ɬˤ r ʕ
ħ a m tˤ tˤ	ħ m tˤ
ʕ p qˤ n	ʕ a b a qˤ
θˤ i l l	θˤ i l l
ʔ x ð	ʔ x ð
p u r p i r	p r p r
ʃ ʔ l	ʃ ʔ l
ħ l p	ħ l p
n a p i ʃ	n a p a
g b	g b
ħ m aː r	ħ i m aː r
n p	n a p ʃ
ɬ a p	ɬ a j p
ʔ b b ʕ	b ʕ b ʕ
b r qˤ	b r qˤ
ʔ a θ a r	ʔ a θ a r
s n b ʔ	s i
z b l	z b l
p qˤ d	p qˤ d
l u ɣ	l ɣ
w a r i k	w a r i k
ʕ a r p	ɣ a r p
sˤ ɣ r	sˤ ɣ r
b sˤ sˤ r	b n θˤ u r
l a h b	l a h b
m j j	m a j
b i n t	b i n t
ʃ n	θ i n aː
n a sˤ a	n aː sˤ i j a t
θ a r ʃ	ɬ r ʃ
ħ m r	ħ m r
ʔ a p a j	ʔ p j
l b n	l a b b
ʔ a r m	ʔ a r m
b ʃ l	b ʃ l
m ʔ aː n	ɬ a ʔ n
ʃ qˤ tˤ	ʃ qˤ tˤ
	gʷ a z
ʃ a ħ a r	ʃ a ħ r
b u l l	b l
d h p	d ħ p
s n n t	s n uː n a t
p	x ɬ p
ʃ p l	ʃ p l
ʃ t j	ʃ t j
b n	b a j n
n a p ʃ	n p ʃ
p a r	p a r r
g p p	g a p p
n n	h a n n i
w ɬ r	w ɬ r
p r m	p r m
ʃ tˤ r	ʃ tˤ r
ʔ r x	ʔ u r x
p r r	p a ʔ r
