ˀb u ⁵⁵	ˀb ə ⁵⁵
⁵⁵ ⁵⁵ ⁵⁵ ⁵⁵	k o t ⁵⁵
ˀb e ŋ ¹¹	ˀb e ŋ ¹¹
tʰ a ⁵⁵	tʰ a ⁵⁵
tʰ ə ŋ ¹¹	tʰ ə ŋ ¹¹
pʰ e ⁵⁵	pʰ e ⁵⁵
p l o m ¹¹	p l o m ¹¹
l ei w ¹¹	l̥ i ¹¹
w a ⁵⁵	g w a ⁵⁵
m ə ¹¹	m ɨ ¹¹
b r a ⁵⁵	b r a ⁵⁵
cʰ a ¹¹	cʰ a ¹¹
ˀb l ⁵⁵ ŋ ¹¹	p l ɔ ŋ ¹¹
tʰ ɛ ʔ̚ ⁵¹	tʰ ɛ ʔ̚ ⁵¹
ʔ ə ŋ ⁵⁵	ʔ ə ŋ ⁵⁵
kʰ e ⁵⁵	kʰ e ⁵⁵
c u ⁵⁵	c u ⁵⁵
g o ¹¹	g o ¹¹
p l e ⁵⁵	p l e ⁵⁵
kʰ a ŋ ¹¹	kʰ a ŋ ¹¹
j i m ¹¹	j ɨ m ¹¹
l ou ¹¹	l̥ ou ¹¹
d ɛ ʔ̚ ⁵¹	d ɛ ʔ̚ ⁵¹
d ə ¹¹	d ə ¹¹
tʰ a ʔ̚ ⁵¹	tʰ ɔ ʔ̚ ⁵¹
tʰ a ŋ ⁵⁵	tʰ a ŋ ⁵⁵
p l e ʔ̚ ⁵¹	b l e ʔ ⁵¹
p l a ¹¹	b l a ¹¹
p l a ¹¹	b l a ¹¹
s a ¹¹	s a ¹¹
pʰ u ⁵⁵	pʰ r u ɴ ⁵⁵
l w i ¹¹	l w i ¹¹
l u ʔ̚ ⁵¹	kʰ r ɔ t ⁵¹
b r a ʔ̚ ⁵¹	b r a ʔ̚ ⁵¹
n e ¹¹	n e ¹¹
ʔ ɛ ŋ ¹¹	ʔ ɛ ɴ ¹¹
d ɛ ʔ̚ ⁵¹	d ɛ ʔ̚ ⁵¹
b e ŋ ⁵⁵	b e ŋ ⁵⁵
r r ⁵⁵ ⁵⁵	t r e ⁵⁵
l o ʔ̚ ⁵¹	l o ʔ̚ ⁵¹
ˀb ə ¹¹	ˀb ə ¹¹
k a ɴ ⁵⁵	g a ŋ ⁵⁵
n i ⁵⁵	n̥ ei ⁵⁵
ʔ̚ w ⁵⁵ ⁵⁵ ⁵⁵ ⁵⁵	ʔ w a ɴ ⁵⁵
m a ŋ ¹¹	m a ŋ ¹¹
cʰ a ⁵⁵	c a ⁵⁵
tʰ a ʔ̚ ⁵¹	tʰ a ʔ̚ ⁵¹
ˀb ei ¹¹	ˀb i ¹¹
k l o ŋ ¹¹	k l ə ŋ ¹¹
k ə ⁰	g ə ⁰
p l ei ⁵⁵	b l ei ⁵⁵
k u ⁵⁵	k u ⁵⁵
d ə ŋ ⁵⁵ ⁵⁵	k ə ⁰
tʰ w i ¹¹	tʰ w i ¹¹
j a ʔ̚ ⁵¹	ɲ̊ ɔ ʔ̚ ⁵¹
pʰ ou ⁵⁵	pʰ ou ⁵⁵
tʰ u ɴ ¹¹	tʰ u ɴ ¹¹
l w i ⁵⁵	l̥ w i t̚ ⁵⁵
ʔ a ɴ ¹¹	ʔ a m ¹¹
cʰ ei ¹¹	cʰ ei ¹¹
pʰ a ¹¹	pʰ a ¹¹
b r e ʔ̚ ⁵¹	b r e ʔ̚ ⁵¹
tʰ ə ¹¹	tʰ ə ¹¹
⁵⁵ ⁵⁵ ⁵⁵	ɲ̊ au ⁵⁵
ˀb l a ⁵⁵	p l a ⁵⁵
r w i ⁵¹	r̥ w i ʔ̚ ⁵¹
m i ɴ ⁵⁵	ˀm i n ⁵⁵
s ei ⁵⁵	s ei ⁵⁵
kʰ u ⁰	kʰ u ¹¹
cʰ ei ⁵⁵	cʰ ei ⁵⁵
s ɨ ¹¹	s w ɨ ɴ ¹¹
s i ¹¹	s ei ¹¹
d ⁵⁵ ŋ ¹¹	d ɔ ŋ ¹¹
b a ʔ̚ ⁵¹	p ə ʔ̚ ⁰
p l ɛ ʔ̚ ⁵¹	b l ɛ ʔ̚ ⁵¹
b l e ŋ ⁵⁵	p l e ŋ ⁵⁵
s a ¹¹	s a ¹¹
s ou ¹¹	s ou ¹¹
n a ¹¹	n a ¹¹
m a ⁵⁵	m a ⁵⁵
r a ʔ̚ ¹¹	r a ɴ ¹¹
kʰ w ə ⁵⁵	kʰ w i ⁵⁵
r ə ʔ̚ ⁵¹	r ə ʔ̚ ⁵¹
d ə ⁵⁵	p ə ⁰
l a ⁵⁵	ˀl a ⁵⁵
l a ¹¹	l̥ a ¹¹
ŋ ɛ ⁵¹	ŋ j a t̚ ⁵¹
l w ɛ ⁵⁵	l w ɛ ⁵⁵
s a ʔ̚ ⁵¹	s a ʔ̚ ⁵¹
m l ⁵⁵ ⁵⁵	m l ɔ ɴ ⁵⁵
d ə ⁵⁵	t ə ʔ̚ ⁰
m i ɴ ⁵⁵	m i n ⁵⁵
kʰ ei ¹¹	kʰ ei ¹¹
kʰ a ɴ ⁵⁵	kʰ a ɴ ⁵⁵
kʰ i ⁵⁵	kʰ ei ⁵⁵
pʰ ə ʔ̚ ⁵¹	pʰ ɔ ʔ̚ ⁵¹
s o ⁵⁵	s o ⁵⁵
r ⁵⁵ ⁵⁵	ˀd w ɨ ɴ ⁵⁵
r u ɴ ⁵⁵	r̥ u n ⁵⁵
s ə ¹¹	s ə ⁰
d a ʔ̚ ⁵⁵	t a ʔ̚ ⁵¹
w ɛ ⁵⁵	w ɛi ⁵⁵
kʰ l ei ʔ̚ ⁵⁵	kʰ l i ʔ ⁵¹
kʰ l ei ⁵⁵	kʰ l ei ⁵⁵
kʰ i ŋ ¹¹	kʰ i ŋ ⁵⁵
ˀd o ¹¹	ˀd o ¹¹
tʰ a ɴ ⁵⁵	tʰ a m ⁵⁵
cʰ w ɛ ¹¹	cʰ w ɛ ¹¹
l a ⁵⁵	l a ⁵⁵
ʔ o ŋ ¹¹	ʔ ɔ ɴ ¹¹
r e ¹¹	r e ¹¹
k a ʔ̚ ⁵⁵	k ə ʔ̚ ⁰
kʰ a ¹¹	kʰ a ¹¹
ˀd u ¹¹	ˀd ə ŋ ¹¹
l u ɴ ¹¹	l u ɴ ¹¹
r w a ʔ̚ ⁵¹	s w a ʔ̚ ⁵¹
l ɛ m ¹¹	l̥ ɛ m ¹¹
kʰ o ¹¹	kʰ o ¹¹
l o ŋ ¹¹	l o ŋ ¹¹
kʰ l i ʔ̚ ⁵¹	kʰ l i ʔ̚ ⁵¹
l a ɴ ⁵⁵	l a m ⁵⁵
p l e ⁵⁵	b l e ⁵⁵
ʔ u ⁵⁵	ʔ u ⁵⁵
w a ¹¹	h w a ¹¹
n e ⁵⁵	n̥ e ⁵⁵
j ɛ ʔ̚ ⁵¹	j ɛ ʔ ⁵¹
s u ɴ ¹¹	s u n ¹¹
kʰ w o ⁵⁵	kʰ w au ⁵⁵
ˀb a ɴ ⁵⁵	ˀb a ŋ ⁵⁵
ˀd e ¹¹	ˀd e ¹¹
m a ¹¹	m̥ a ¹¹
m u ¹¹	m u ¹¹
d o ¹¹	d o ¹¹
k ə ŋ ⁵⁵	k ə ʔ ⁰
m ə ŋ ¹¹	m ə ŋ ¹¹
s w w a ¹¹	s w w a ¹¹
tʰ o ⁵⁵	tʰ u ⁵⁵
k l̥ ɛ ⁵⁵	k l ɛ ⁵⁵
c e ¹¹	c e ¹¹
cʰ a ʔ̚ ⁵¹	cʰ a ʔ̚ ⁵¹
c ə ŋ ⁵⁵	c ə ŋ ⁵⁵
ˀd ei ¹¹	ˀd ei ¹¹
d ə ŋ ⁵⁵	p ə ⁰
n̥ ei ⁰	n̥ i ⁵⁵
tʰ ə ŋ ⁵⁵	tʰ ə ɴ ⁵⁵
ˀb ⁵⁵ ⁵⁵	ˀb ɔ ⁵⁵
kʰ ⁵⁵ ¹¹	p ɨ ¹¹
m a ¹¹	m a ¹¹
n w ɛ ¹¹	n̥ w ɛ ¹¹
tʰ w ɨ ɴ ⁵⁵	tʰ w ɨ ɴ ⁵⁵
tʰ e ¹¹	tʰ e ¹¹
n w ɛ ⁵⁵	ˀn w e t̚ ⁵¹
pʰ r ɔ ¹¹	pʰ r ɔ ⁵⁵
ˀb o ⁵⁵	ˀb ɔ ɴ ⁵⁵
d ou ¹¹	d ou ¹¹
k w ɛ ⁵¹	k w a t̚ ⁵¹
m ə ¹¹	m̥ ɨ ¹¹
d a ʔ̚ ⁵¹	d a ʔ̚ ⁵¹
k ə ŋ ⁰	k ə ⁰
b ə ¹¹	p ə ¹¹
p l o ŋ ¹¹	p l o ŋ ¹¹
j ⁵⁵ ʔ̚ ⁵¹	j ɔ ʔ̚ ⁵¹
k ə ⁰	g ə ⁰
w ei ⁵⁵	w i ⁵⁵
r e ʔ̚ ⁵⁵	r e ʔ̚ ⁵¹
n u ʔ̚ ⁵¹	n ə ʔ ⁵¹
s r a ⁵⁵	s r a ⁵⁵
tʰ ei ⁵⁵	tʰ ei ⁵⁵
p a ⁵⁵	b ə ʔ̚ ⁰
s o ¹¹	s o ¹¹
m ei ¹¹	m̥ ei ¹¹
n a ¹¹	n a ¹¹
ŋ j i ʔ̚ ⁵¹	ŋ j a ʔ̚ ⁵¹
cʰ ə ɴ ⁵⁵	cʰ ə ŋ ⁵⁵
pʰ l o ŋ ¹¹	pʰ l o ŋ ¹¹
s i ʔ̚ ⁵¹	s i ʔ ⁵¹
l ei ⁵⁵	l ei ⁵⁵
d ai ⁵⁵	n ei ¹¹
kʰ o ʔ̚ ⁵¹	kʰ o ʔ̚ ⁵¹
m̥ a ɴ ⁵⁵	m̥ a ɴ ⁵⁵
⁵⁵ a ⁵⁵	ɲ̊ a ¹¹
ˀb l a ¹¹	p l a ¹¹
ʔ a ⁵⁵	ʔ a ⁵⁵
