n a ts i	n a ts i
m a t a	m a t a
a t u k ɨ r ɨ	a t u k ɨ r ɨ
s i k a	s i k a
h ɨ w a k a	h ɨ w a k a
k a ts i t ɨ	k a ts i t ɨ
p ɨ m a r ɨ	p ɨ m a r ɨ
k a m a ts i	k a m a
k a ts u a r ɨ	k a ts u p a r ɨ
k i a	k i p a
h u n ɨ	h u n ɨ
k a t a t u	k a t a t u
h e r u t ɨ	h e r u t ɨ
k a p a	k e p a
s a n ɨ	s a n ɨ
p u r u	p u r u
p ɨ n a	p ɨ n a
s i j u	s i j u
k e n ɨ	k e n ɨ
k a	k a
k u t a	k u t a
h i r a r ɨ	h i r a r ɨ
k a ts i n u	k a ts i n u
t ɨ r ɨ	t ɨ r ɨ
j a k a	j a k a
k u ts a	k u ts a
k u n o a	k u n u h a
k a p i	k a p i s i r i
j a n a	j a n a
h u p a n a	h u p a n a
n i k a	n i k a
r a p ɨ t a	r a p ɨ
h a n o	h a n o
ts o a t a	ts o p a t a
ts i ts i	ts i ts i
ɨ r ɨ	h ɨ r ɨ
s i ts u	s i t u
k a j a t ɨ	k a j a t ɨ
s u t a r ɨ	s u t a r ɨ
p e k i r i	p e k i r i
n a k a	n a k a
m e r i t i	m e r i t i
ts i	ts i
p a r i k a r e	p a r i k a r e
m a p a	m a p a
p i	p i
i s i	m ɨ s i
p o	p o
k i t i	k i t i
h ɨ p u a	h ɨ p u
t a i	t a
k a s ɨ r ɨ	k a s ɨ r ɨ
t a	t a
h i i	k i r i
h o k a	h o k a
a a w ɨ ɨ	h ɨ w ɨ
n i k u r u k a	n i k u r u
t a p a r i	t a p a r i
p ɨ t a a n a	p ɨ t a h a n a
ts u r u	t u r u
k u m a r ɨ	k u m a r ɨ
h a p ɨ	h a p ɨ
h a n i j u	h a n i j u
n a t u	n a t u
s a t u k a	s a t u k a
h i ts u	h i ts u
m a a a	m a p a
n a n ɨ	n a n ɨ
m a j u r ɨ	m a j u r ɨ
m e k ɨ	m e k ɨ
h e p i	h e p i
m a k a r a	m a k a r a
s i m a	s i m a
e p ɨ r o	e p ɨ
h t a p u	t a p u
m u t u	m u t u
h a p u k a	a p u k a
ɨ m ɨ k a	ɨ m a k a
t u k a ts i	a t u k a ts i
p a t i ɨ	p a t ɨ
k a a s r i	k a s i r i
t a k a	t a k a
n a m a	n a m a
h a t i n ɨ	h a t ɨ n ɨ
p u t ɨ	p u t ɨ
p i t i	p i t i
p a t e	p a t e
k a ts a r ɨ	k a ts a r ɨ
s ɨ p ɨ r ɨ	s ɨ p ɨ r ɨ
k e r ɨ	k e r ɨ
t i k a	t i k a
h i r e k a	h i r e k a
u r i	p u r i
h i m a k ɨ	h i m a k ɨ
t a r a	t a r a h a
a k ɨ r o	a k ɨ r o
r ɨ	r ɨ
h i m a t u ɨ ts ɨ	h i m a t u k ɨ
k e m a	k e m a
