t a ³	t a̠ ³
g e ²	kʰ u ²
l u ³	l e̠ ³
m j o̠ ³	m j o̠ ³
tsʰ i ¹	tsʰ y ¹
b a̠ ²	p a̠ ³
t o ²	t i ²
b e̠ ²	dz i̠ ¹
ɣ i ¹	ɣ i ¹
b a̠ ²	b ɛ ²
tʃʰ ɛ ³	tsʰ ɛ ³
pʰ a ¹	ˀv a ¹
ʃ ɛ ¹	ʃ ɛ ¹
z ɨ ³	z i ³
k u ³	k o̠ ¹
t a ¹	t a ⁵⁵
g u ²	g o̠ ³
p j a ¹	p a ¹
m a ŋ ²	m a ŋ ²
ˀx e ¹	x e ¹
n i ¹	n i ¹
h y ¹	ʃ a ¹
b j ɛ̠ ¹	b ɛ̠ ¹
ˀm j a ³	ˀm a ³
k u ¹	ts u ¹
a ŋ ²	a ¹
ɣ a ³	g a ³
pʰ u ³	pʰ e̠ ¹
b y ¹	b y ¹
a ¹	a ²
a ¹	a ¹
a ¹	a ¹
m u ³	ˀm u ²
dʒ i ²	dʒ e ³
m a̠ ³	m o̠ ¹
ʃ y ²	s y ²
b a ŋ ²	b a ŋ ²
a ¹	a ¹
ˀl u ²	ˀl o̠ ¹
m i̠ ³	m i̠ ¹
ɣ u ³	ʃ ɨ̠ ¹
kʰ o̠ ³	kʰ o̠ ³
tʃʰ i ²	tʃʰ i ²
ɣ i ¹	ɣ i ¹
m o̠ ¹	m o̠ ¹
ˀl o̠ ¹	ˀl o̠ ¹
b e̠ ²	p e ³
tsʰ e ¹	tsʰ e ¹
tsʰ ɛ ¹	tsʰ ɛ ¹
d o̠ ¹	d o̠ ¹
z e̠ ³	z e̠ ³
d i ²	d i ²
ɣ i ¹	ɣ i ¹
tʰ u ¹	k a ŋ ¹
ɣ i ³	ʒ i̠ ³
m e ¹	m e ¹
k a ¹	dʒ i ²
a ²	a ¹
p a̠ ³	p a̠ ³
ɣ a̠ ¹	ʃ ɛ ¹
g i ¹	g i ¹
ɣ i ¹	ɣ a ŋ ¹
ɣ a ¹	s e ¹
ʃ u ¹	s u ¹
tʰ u ²	tʰ u ²
dʒ u ³	dʒ u ³
kʰ i ²	kʰ j o ²
dz e ¹	dz e ¹
pʰ e ²	pʰ e ²
k o ²	d y ²
b y̠ ³	b y ³
kʰ i ¹	kʰ i ¹
v a ²	v a ²
v y ³	p u ¹
kʰ ɛ ²	kʰ j ɛ ²
k e ²	k j e ²
ɣ y ¹	dz i ¹
tʃʰ o̠ ¹	tʃʰ o̠ ¹
ʃ e ¹	s e ¹
k o̠ ³	k o̠ ¹
a ¹	a ¹
j y̠ ¹	ˀm j y̠ ¹
tsʰ a ¹	tsʰ a ¹
b e̠ ¹	b e̠ ¹
a ¹	a ¹
ɣ i ³	ɣ y̠ ³
kʰ u ¹	kʰ u ¹
kʰ a ²	kʰ a ²
k a ŋ ¹	k a ŋ ¹
n a ²	ˀn a ²
pʰ ɛ̠ ³	pʰ e̠ ³
ˀn a ¹	ˀn a ¹
i ²	i ²
a ¹	a ¹
p a̠ ³	p a̠ ³
v e̠ ³	v e̠ ³
v a ŋ ²	v a ŋ ²
l o ²	l i ²
a ¹	a ¹
n i ²	n̩ ²
d e ³	d e ³
tʃʰ i ²	tʰ i ²
p a ³	p a̠ ³
tsʰ i ¹	tsʰ i ¹
z e̠ ³	z e̠ ³
kʰ o̠ ²	kʰ ɨ ²
ɣ i ¹	ɣ i ¹
pʰ y ¹	p o̠ ¹
b j y ¹	b y ¹
a ²	a ¹
d u ²	d u ²
b ɨ ²	p y̠ ¹
ˀm j i ³	ˀm y̠ ¹
a ¹	a ¹
ts i̠ ³	ts i̠ ³
d e̠ ¹	d e̠ ¹
k a ³	k o̠ ³
tsʰ ɿ ¹	tʃʰ ɨ ¹
ɣ i ¹	ʒ e ¹
a ²	a ²
k u ¹	ɣ o ³
p y ³	p y ³
dz i ³	tʰ e̠ ³
z i ³	x i̠ ³
k j ɛ ²	k j ɛ ²
n u ¹	n a ¹
pʰ u ŋ ³	ts ɛ ³
b e̠	b y ²
b ɨ ¹	b ɨ ¹
ɣ a ²	ɣ a ŋ ²
ʒ e ³	ʒ e ³
k ɨ ²	k j o ²
a ¹	a ¹
z a ²	z a ²
l i ³	ˀl i ³
b a ²	b a ²
ŋ e ³	n e ²
