ʈ r æ ⁴	ʈ æ ⁴
pʰ ɔ ³	pʰ ɔ ³
m ɛ ⁵	m ɛ ⁵
ŋ o ¹	ŋ o ³
tsʰ r e ŋ ¹	tsʰ r e ŋ ¹
sʰ w a ŋ ¹	sʰ w a ŋ ¹
j ɯ ⁴	j ɯ ⁴
j o ŋ ²	n j o ŋ ²
ts u ŋ ²	ts u ŋ ²
l o ŋ ¹	l o ŋ ¹
ts w i ⁴	ts w ɛ ⁴
d r ɯ ³	d r ɯ ³
k o ŋ ²	k o ŋ ²
tsʰ o ⁴	tsʰ o ⁴
ɖʐ o ⁵	ɖʐ o ³
b æ n ³	b æ n ³
pʰ ɯ ¹	pʰ ɯ ¹
s i ²	s r i ²
ɣ ɔ ¹	ɣ ɔ ¹
q æ n ²	q æ n ²
tʰ r o ŋ ¹	tʰ r o ŋ ¹
ts w æ n ²	ʈ w æ n ²
ɣ ɯ ¹	q ɯ ¹
t ɛ ⁴	t ɛ ⁴
p r ɔ ¹	p r ɔ ¹
d ɔ ⁵	d ɔ ⁵
s u ŋ ³	s u ŋ ³
χ w a ⁴	h w a ⁴
k w a ¹	k w a ⁴
q æ ⁴	q æ ⁴
q a ŋ ¹	q a ŋ ¹
tʲ a ¹	d ɔ ¹
kʰ o ⁴	kʰ o ⁴
ɣ u ²	ɣ u ŋ ²
p o ²	p j o ²
x w i ²	x w i ²
ɣ o ³	g o ŋ ³
s r ɯ ²	sʰ r ɯ ²
d j ɯ ¹	d j ɯ ¹
tʰ r e ⁴	tʰ j e ⁴
qʰ w æ ¹	qʰ w æ ¹
d j a n ¹	d r æ n ¹
ɕ i ²	ɕ w i ²
tsʰ u ³	tsʰ u ³
m ɯ ³	m ɯ ⁵
b ɯ ¹	b ɯ ¹
