k a b i d	k a b i d
ɬ a m ʃ	ɬ a m ʃ
ɬ b a t	ɬₓ b a j
n a r	n w r
l a b ʔ	l a b ʔ
p a r sˤ	p a r ɬˤ
t i n	t i ʔ i n
d a r d a r	d a r d a r
ʔ aː r n	ʔ n a r
m r r	m r r
ʃ ʔ b	ʃ ʔ b
ʔ x r	ʔ x r
ħ u p n	ħ u p n
ʔ a l aː n	ʔ a l l
x tˤ r	x u tˤ r
z iː z	z iː ð
d i b ʃ	d i b ʃ
ħ l	ħ a
ɬˤ m d	ɬˤ m d
b a n d a	p
θ b r	θ b r
ɣ b tˤ	ɣ b tˤ
ʔ a tˤ a d	ʔ a tˤ a d
ħ i w l ʔ	ħ i l
ʃ i p p	ʃ p p
ʔ a m m a t	ʔ a m m a t
qˤ a w qˤ n	qˤ qˤ n
tˤ b x	tˤ b ħ
d m ʕ	d m ʕ a t
qˤ d m	qˤ d m
qˤ r d	qˤ r d
k n	k m
x n z w aː t	x n z z
ʃ ʔ i r	ʃ i ʔ r
ɬ ʕ p	ʕ ɬˤ p
g r d	g r d
l ʃ d	l a ʃ d
ʕ n qˤ	ʕ n qˤ
ʔ	ʔ tˤ r
qˤ l p	qˤ l p a t
ʔ r ʕ u	r ʕ w
ð m r	ð m r
ʕ ɬ r	ʕ a ɬ r
ʔ r w	h r j
b n	b a j n
k a l b	k a l b
ʔ a l	ʔ a j l
n uː b	n uː b
b x r	b x r
ʃ l	ʔ b l
ʔ a n	ʔ a n aː k u
ʃ m	ʃ m
k b r	k b r
k r b	k r b
l aː	l aː
k r	k a
d a b b	d u b b
ɣ p	ɣ p
ħ z w	ħ ð j
p a ħ m	p ħ m
x l ʃ	x l ʃ
a	ɬₓ m a t
ʔ a l p	ʔ a l p
w qˤ d	w qˤ d
m a θ n	θ j n
ʔ l l ʕ	ʃ
w r d	w r d
ʔ u x	ʔ u r x
n qˤ b	n qˤ b
m a n n	m a n n
ʃ m ʃ m	ʃ u m ʃ u m
b u l l	b l
ð i ʔ b	ð i ʔ b
ʔ a n t i n	ʔ a n t i n a
p l ʃ	p l ʃ
qˤ m ɬˤ	qˤ j sˤ
qˤ i θ θ aː ʔ	qˤ θ ʔ
ɬ j b	ɬ j b
m t	m w t
p a r	p a r ʔ
ʃ r qˤ	ʃ r qˤ
ʃ	s ħ
b n j	b n j
ʔ a r ɬˤ	ʔ a r ɬˤ
n a ħ l	n ħ l
g i ɬ	g i ɬ ɬ
ʔ b aː b i l	ʔ b b l
ʃ t j	ʃ t j
ħ a r a p	ħ a r a p
qˤ i b aː t	qˤ b a t
ħ a m aː t	ħ a m aː t
ʔ b i n	b i n
k b a	k b w
θ i qˤ d	θ a qˤ i d
ʕ z	ʕ z
ʔ n ʃ	ʔ n ʃ
ħ a l	ħ
g m r	g m r
ɬˤ i r ʃ	ɬˤ i r ʃ
k a n a p	k a n a p
p a ʔ r	p a ʔ r
p a x r	p x r
d i m t	d i m
ð b aː b	ð
m a j	m a j
p r tˤ	p r tˤ
n w m	n w m
r b ɬˤ	r b ɬˤ
m r	m r ʔ
d r r	d r r
ʔ θ k aː l	ʔ θ k aː l
k s m	k s m
w ɬ ɬ r	w ɬ r
ʔ n n	h a n n i
ʔ a r r	ʔ r
ʔ i ʃ d	ʔ i ʃ d
ɬ a h r	ɬ a h r
r a ħ t	r aː ħ a t
ɣ r n	ɣ r n
ʃ i k a r	ʃ i k a r
ʃ l	θ b l
n	θ n
l i b b	l i b b
ʕ a qˤ i b	ʕ a qˤ i b
w a l d	w l d
r u ɣ t	r u ɣ w a t
qˤ a n	qˤ a n a j
g m d	k m d
t x x	t x x
ɬ n qˤ	ɬ n qˤ
m i n a	m n
qˤ tˤ r	qˤ tˤ r
b l	b l
p a r ʕ	p a r ʕ
ʕ m qˤ	ʕ m qˤ
l ʔ m	l ʔ m
b u aː θ	b u r aː θ
ʃ tˤ r	ʃ tˤ r
s a l l l	sˤ l
tˤ ɣ ɣ	tˤ a ɣ
n ʕ r	n ʕ r
p r m	p r m
ʃ m m x	ʃ m aː x
ʃ a p i l	ʃ a p uː
ʔ a g m	w
ɣ p r	ɣ p r
b ħ r	b ħ r
g r r	g r r
l l ʔ	l a ʔ l a ʔ
sˤ b ɣ	sˤ b ɣ
b l j	b l j
θˤ l m	θˤ l m
l b ʃ	l b ʃ
l ħ t	l ħ j a t
t i h aː m	t i h aː m
p r ɣ θ	p r ɣ θ
p l	p l ħ
n j k	n j k
ʔ a m t	ʔ a m a t
x a r p	x r p
p g	p a r g
l a h b	l a h b
ɬˤ qˤ	ɬˤ j qˤ
ð a k a r	ð a k a r
qˤ l l	qˤ l ħ
θ a l g	θ a l g
ʃ a m n	ʃ a m n
ʃ qˤ tˤ	ʃ qˤ tˤ
qˤ r r	qˤ r r
ʃ l ħ p aː	ʃ a l a ħ p a w
n a ɬˤ	n a
ʔ d m qˤ	d m qˤ
ʔ d	j a d
ʔ a x t	ʔ a x aː t
j a m	j a w m
x a r ɬˤ	x a r uː sˤ
ʕ a θ	ʕ θ θ
ʔ i m m i r	ʔ i m m a r
ʃ b l t	ʃ u b u l a t
r d	r a ʕ d
p r p r	p r p r
w θ b	w θ b
ʔ a p a j	ʔ p j
θ a r b	θ a r b
l a b n	l a b b
ʔ a n t m	ʔ a n t u m u
ħ b	ħ u b b
d i b a r	d a
ʕ θˤ m	ʕ a θˤ m
ʔ a r k	ʔ r k
p a n j	p a n
p ʔ ʕ	p a ʔ ʃ
d l	d l w
ʕ ɬˤ r	ʕ sˤ sˤ uː r
ʃ l	ɬ a l aː θ
m ʔ d	m ʔ d
ð k j	ð k j
qˤ ʕ	qˤ aː ʕ
θ qˤ l	θ qˤ l
k u r k i j	k u r k i j
θˤ i l l	θˤ i l l
qˤ t	qˤ a j ɬ
m u x x	m u x x
n a p i j j	n p j
sˤ a r ʕ	ɬˤ r ʕ
x i l p	x i l aː p
n θ k	n θ k
g r d	g r ð
p ɬ	p s ħ
ʕ n qˤ	ʕ n qˤ
ħ p ɬ	ħ p ɬ
g b ʃ	g b ʃ
w ʃ n	w ʃ n
l a m θˤ	l a m θˤ
n u ʔ	s i
t i ʃ ʕ	t i ʃ ʕ
p sˤ d	p sˤ d
ʔ tˤ	m s
g u r n	g u r n
ʔ a d a m	ʔ d m
b r k	b i
g x	g b x
ʕ a l	ʕ a l a j
p t l	p t l
b a r sˤ	b r sˤ
n u n aː j	ʔ n j
ʔ n ħ n	n i ħ n u
b r	b n θˤ u r
p r r	p r r
b a r u m	b r m
ʔ a d a d	h a d a d
ħ m ɬˤ	ħ m ɬˤ
w a r iː d	w a r iː d
k m m	k m
ʔ a n p	ʔ a n p
ʔ i θ	j θ w
n ʃ p	n ʃ p
ʔ r ʃ	ʔ r ʃ
t b ʕ	t b ʕ
ʃ w	ʃ u
h w j	h w j
ɬˤ i l a ʕ	ɬˤ i l a ʕ
b	b t t
k a l a t	k a l l a t
ʔ a j j	ʔ a j j
ʔ i t	ʔ i b r a t
ʔ b ʕ t	b ʕ b ʕ
ʔ t	g d a t
ħ a m	ħ a m
ʕ a m m	ʕ a m m
θ a m aː n a	θ a m aː n i j
ʔ a r m	ʔ a r m
ʕ i n z	ʕ n z
ʔ m sˤ	ʔ a j a sˤ
t r	t r r
θ a l	θ l
m n	m iː n
sˤ a w r	sˤ a w a r
p r ʃ	p r s
p r	p r ʕ
ʃ g ʕ	ʃ g ʕ
θˤ i p r	θˤ i p r
ɣ p r	ɣ a p a r
ʔ r w j	ʔ a r w i j
ɣ tˤ w	ɣ tˤ w
ħ l	x l
n θˤ r	n θˤ r
g a r a b	g a r a b
qˤ a	qˤ r b
b k j	b k j
ʕ l j	ʕ l j
n i m r	n a m i r
b k r	b k r
l m	ʃ l m
p i	p a r ɣ
p ħ l	p a ħ l
ʔ a z r	ʔ a z
w r w	w r j
ʔ i r b j aː	ʔ a
ʔ w m m	h m
ʃ ʕ a w	θ ʕ j
l u ɣ	l u ɣ
n x l	n x l
m x ɬˤ	m x ɬˤ
ɬ i j b	ɬ a j b a t
g l ʕ	g i l ʕ
ʔ ɣ b	ɣ b j
m m m	g a m g a m
ʔ a x	ʔ a x
ð a r ʔ	ð a r ʔ
b r	b r ħ
d a m	d a m
b u tˤ m	b u tˤ m
ð k r	ð k r
ħ l sˤ	ħ l sˤ
b i n t	b i n t
ʕ r r	ʕ u
d j n	d j n
qˤ a r n	qˤ a r n
k	k
ɬˤ a b ʕ	ɬˤ b ʕ
k	b i k a j
ħ m t	ħ m m
ð a n a b	ð a n a b
s b	ʕ s b
qˤ a r qˤ a r	qˤ a r qˤ a r
ʕ i g l	ʕ i g w a l
b l l	b l l
d a ʕ t	ð ʕ a t
ʔ i ʃ t	ʔ i ʃ
qˤ qˤ a	qˤ a ʔ
z a p b	z a p p
b uː	b ʔ
d u m m	d m m
b u r	b u r ʕ
x z iː r	x z iː r
k l j a t	k l j a t
ʔ r m	ɬ r m
k a k a b	k a b k a b
r qˤ qˤ	r qˤ qˤ
b ʕ l t	b ʕ l
ʔ ʃ	ʔ i ʃ
m a t n	m a t n
	n aː b
a m r	t a m a r
ɬ a p p r	ɬ p r
s i n uː n t	s n uː n a t
tˤ ħ n	tˤ ħ n
m a l ʔ	m l ʔ
ɣ u r l a t	ɣ u r l
b qˤ l	b qˤ l
g p p	g a p p
sˤ b j	sˤ b w
x ɬ	x ɬ p
d aː r	d a w r
ɬ b r	ɬ b r
ɬ a p a t	ɬ a p a t
ɬ m	ɬ m
tˤ ʕ m	tˤ ʕ m
ħ a d a θ	ħ d θ
ʔ r b j j a t	r b j
ʔ m r	ʔ m r
p r j	p r j
ʕ r p	ɣ a r p
b ɬ r	b ɬ r
k a p a l	k a p l
ɬ m x	ɬ m x
z m r	z m r
ʔ b n	ʔ w j
ɣ a r	ɣ aː r
ʔ a p ʕ	ʔ a p ʕ a w
tˤ a j j b	tˤ j b
d	h d r
n ɬ ʔ	n ɬ ʔ
k i l	k i l ʔ
s	n sˤ r
ʔ a θ θ	ʔ a n θ a t
n b l ʔ	n a b a l
j d ʕ	w d ʕ
ħ l qˤ	ħ l qˤ
p ʃ	p ʃ w
ɣ d r	ɣ d r
p i ʔ a t	p i ʔ a t
ʕ i ɬˤ	ʕ i ɬˤ
ʃ j	ʃ i
ʔ a ʃ l	ʔ a ʃ a l
ʔ a θ r	ʔ a θ a r
p l j	p l
ʔ a k l	ʔ u k l
b r j	b r j
qˤ n a t	qˤ i n n
qˤ j ʔ	qˤ j
ɣ b ɣ b	ɣ a
qˤ r b	qˤ r b
ð b b	ð b b
ɣ r n iː qˤ	ɣ r n iː qˤ
ɬ u r b a n	θ r m iː n
g j	g a w i ʔ
ɬ b ʕ	ɬ b ʕ
ʔ r	ʕ a r w
k	k s
t i l l	t l l
n a m r	n m r
ʔ m d i n	m d iː n
g d d	g d d
