a k ⁴	r a k ⁴
w a ¹	w a ¹
k j u ¹	k j u ¹
ˀp i ¹	b ui ¹
a u m ⁴	l u m ¹
a p ⁴	w a k ⁴
ˀk ui ²	ˀk ui ²
a a ²	ts a ²
k a ŋ ¹	g a ŋ ¹
s a k ⁴	ˀs a k ⁴
a a ³	l a ³
r o ¹	r o ¹
u ¹	ʔ ʊ ¹
w a ŋ ¹	w a ŋ ¹
ŋ a t ⁴	ˀŋ a p ⁴
m j u k ⁴	m j u k ⁴
ʃ a ŋ ²	ʃ a ŋ ¹
a a g ⁴	ˀr a k ⁴
k a m ¹	g a m ¹
m u ¹	m u ¹
ˀn a k ³	n a p ⁴
a a t ⁴	ˀt a p ⁴
ˀtʃ a	dʒ ui ²
j a m ¹	j a m ¹
dz ²	ˀts u ²
m j i ŋ ¹	m r i ŋ ¹
b j a k ⁴	b j a k ⁴
b a n ¹	b a n ¹
a ²	ˀtʃ a k ⁴
a a ³	ˀt a ³
ʃ e ¹	ʃ i ³
n a ¹	n ɛ ¹
a ŋ ²	ˀk j i ²
ŋ a ²	ŋ a ²
ˀt i ŋ ³	ˀt i ŋ ³
ˀtʃ a k ⁴	dʒ a k ⁴
a m ¹	ʔ a m ¹
ʃ a ²	ʃ a ²
d o ²	d o ²
ŋ a ¹	ŋ a ¹
g r a k ⁴	g r a k ⁴
a j i k ⁴	b j i k ⁴
l i ²	l i ²
g r u ⁴	ˀk j u ¹
ˀtʃ a p ⁴	dʒ a p ⁴
ŋ u ²	ˀɲ u ²
g a ³	g j a ³
l i ŋ ²	l i ŋ ²
ˀs u m ²	s u m ²
ˀn a ³	ˀn ai ³
k a ²	k a ²
a u ²	k j u ³
tʃ a ²	tʃ u ²
a i ŋ a	t i ŋ ³
ŋ a ¹	ˀŋ a ¹
b u m ¹	b u m ¹
b j a ¹	ˀp r o ¹
ˀn a m ¹	ˀn a m ¹
n i g ⁴	n i k ⁴
j a ¹	j a ¹
a a m ⁴	t a k ⁴
l i k ⁴	l i k ⁴
j i m ⁴	ˀn i k ⁴
j a ¹	j a ŋ ¹
b a n ²	b a n ²
u ²	d ʊ ²
a ¹	ts a m ¹
r a ⁴	g r a ³
s a ³	s ɛ ³
k a ŋ ⁴	g a ŋ ²
b j a ŋ ¹	b j a m ¹
k i n ²	g a n ²
k a p ⁴	k a k ⁴
dz a ¹	dz i ŋ ¹
ˀn a t ⁴	ˀn a p ⁴
i i ¹	n i ¹
a e ⁴	m i ³
u k ⁴	r u k ⁴
p r i ŋ ¹	b r i ŋ ¹
g ²	g r e ²
m a k ¹	m a k ⁴
ʃ a ¹	ʃ ɛ ¹
a a ²	m e ²
a u g ⁴	ˀj u k ⁴
b j i ŋ ³	b r i ŋ ³
tʃ e ²	tʃ i ²
a u ³	ʃ o ²
g ai ¹	g ai ¹
u ŋ ²	ʔ u ŋ ²
j u k ⁴	j u k ⁴
tʃ e ¹	tʃ i ¹
a a p ⁴	d a p ⁴
p j a ¹	b r ɛ ¹
g r a t ⁴	g r o k ⁴
ŋ a k ⁴	ŋ a k ⁴
a i ³	ˀt i ³
a u ŋ ²	k r u ŋ ²
ŋ a ŋ ¹	ŋ a n ¹
a a p ⁴	ts a p ⁴
ʃ i n ²	ʃ a n ²
g a k ⁴	ˀk a k ⁴
a u ŋ ²	t u ŋ ²
m j u ¹	m j u ¹
a a g ¹	ˀt a k ⁴
a ⁴	k a t ⁴
k a ²	k ai ²
dz a ²	dz a ²
b i k ⁴	b i k ⁴
u ²	ʔ ʊ ²
b j a p ⁴	ˀp j a t ⁴
ʃ u k ⁴	ʃ u k ⁴
g a t a	ˀk a t ⁴
p a a	p a ³
k j a p ⁴	ˀk j a p ⁴
w a t ⁴	w a p ⁴
l i ¹	l i ¹
a a ¹	ˀm ai ¹
k j u k ⁴	ˀk r u k ⁴
a i ⁴	d ai ²
a i a a	d i ŋ ²
ˀp a ²	ˀp a ²
ŋ a n ¹	ˀŋ a n ¹
a a a	ˀl ai ³
a u ˀt ⁴	ˀs u t ⁴
b a a ¹	b j a ¹
j a t ⁴	j a p ⁴
a a t ⁴	ˀl a p ⁴
a a ¹	ʃ a ¹
k j a k ⁴	ˀk j a k ⁴
a ³	t a ŋ ³
p j a ¹	p r o ¹
p j a ¹	p j a ¹
b j a ²	ˀp r ɛ ²
g u k ⁴	g u k ⁴
a a ŋ ²	t a ŋ ²
l a m ¹	l a m ¹
ŋ u ¹	ŋ ui ¹
ˀp a a ¹	b j ɛ ¹
a m ³	w a m ³
a a ²	s ɛ ²
m a ⁴	m a t ⁴
a a ²	ˀr a ²
b a ŋ ¹	b j i ŋ ¹
t u ¹	d ʊ ¹
k i k ⁴	g i k ⁴
g u g ⁴	g j u k ⁴
k j a ŋ ³	k j a ŋ ³
a ¹	n ai ¹
k i k ⁴	ˀk i k ⁴
j a ŋ ²	j a ŋ ²
ŋ a k ⁴	ˀŋ a k ⁴
s i g ⁴	s i k ⁴
tʃ a t ⁴	tʃ a p ⁴
j i b ⁴	j i p ⁴
w u ¹	w ai ¹
ˀtʃ e ŋ ¹	dʒ i m ¹
s i ŋ ²	s i ŋ ²
a a n ²	dz a n ²
j a m ²	j a m ²
a t ⁴	d a t ⁴
l a ŋ ³	l a ŋ ³
a a ŋ ¹	t a ŋ ¹
p j ɛ ³	p j ɛ ³
a a ŋ ⁴	d a ŋ ²
a i ¹	ˀl ai ¹
l a k ⁴	l a k ⁴
k i k ⁴	k i k ⁴
a ¹	ʔ a ¹
m j a ²	m j a ²
k j i ¹	ˀk j ai ³
a a t a	ˀtʃ a t ⁴
d a k ⁴	d a k ⁴
i ²	ʃ e ²
a a m ¹	s a m ¹
a e ²	ˀl i ²
k i b ⁴	k r u p ⁴
b a ³	b a ³
j i k ⁴	ˀj i k ⁴
dz u t ⁴	ˀts u t ⁴
s a ŋ ¹	s a ŋ ¹
k j a m ¹	k j a m ¹
k j a t ⁴	k j a p ⁴
a a ⁴	d u ²
ˀtʃ i ŋ ³	dʒ i ŋ ³
ˀp a ³	ˀp a ³
ˀt a ŋ ²	ˀt o ŋ ²
p i k ⁴	p i k ⁴
m a n ³	m a n ³
a i ⁴	ˀts ai ¹
a a m ⁴	ˀk a m ¹
i ²	ˀs ai ²
a i ŋ ¹	ˀr i ŋ ¹
ŋ j a k ⁴	ŋ j a k ⁴
a a ŋ ¹	d a m ¹
a a ²	ˀt a ²
i ²	ˀr o ²
tʃ a ŋ ³	tʃ a ŋ ³
m j e ²	n e ²
a e ²	dz e ²
p r a ¹	b r a ¹
a a ŋ ²	l a ŋ ²
k j a ²	g j a ²
i ⁴	ˀs e ¹
m r a ŋ ¹	m r a ŋ ¹
g u ²	g u ²
ˀtʃ m a ⁴	dʒ a ²
a a a	m ai ²
p a ²	b i ²
m i ŋ ¹	m i ŋ ¹
j i m ¹	ˀj i m ¹
m a ŋ ²	m a ŋ ²
