ts r u ⁴	ts r o ⁴
ts u ŋ ²	ts u ŋ ²
l u ŋ ¹	l o ŋ ¹
tʰ r e ⁴	tʰ j e ⁴
q o ŋ ¹	q o ŋ ¹
d ²	ɯ̃ ²
qʰ u ²	qʰ u ²
n j o ²	ŋ j o ²
j ɯ ⁴	j ɯ ⁴
ʁ ɯ ⁴	ʁ ɯ ⁴
ɖʐ i ¹	ɖʐ i ¹
p r e n ¹	p r e n ¹
qʰ w i ²	kʰ w ɛ ²
tʰ r u ²	tʰ r u ²
j ɔ ⁴	j ɔ ⁴
ɣ a ŋ ¹	ɣ æ ¹
qʰ o ŋ ¹	qʰ o ŋ ¹
g ɔ ¹	g ɔ ¹
p r a ⁴	b r æ ⁴
dz o ⁴	dz o ⁴
b æ ŋ ¹	b æ ŋ ¹
ts i ⁴	ts j i ⁴
m i ¹	m i ¹
s r r æ ŋ ²	s r e ŋ ²
ɖʐ i ⁴	ɖʐ i ⁴
b i ¹	b r i ¹
p u ²	p ɯ ²
m ø ²	m o ²
ɣ ɯ ³	ɣ ɯ ³
d j a n ¹	d r æ n ¹
tʰ r a ⁴	tʰ a ⁴
ŋ w e n ¹	ŋ w e n ¹
q ɯ ¹	q ɯ ¹
tʰ u ²	tʰ j u ²
n o ŋ ¹	n o ŋ ¹
tɕʰ j æ n ¹	tsʰ j æ n ¹
j ɯ ¹	j ɯ ¹
b o ²	b o ŋ ²
tsʰ ɯ ³	tsʰ ɯ ³
ŋ o ¹	ŋ o ¹
p r o ¹	p r ɔ ¹
t w e n ¹	t w e n ¹
k w ɛ ¹	k w ɛ ¹
b j o ¹	b j o ⁴
q æ ¹	q æ n ¹
sʰ o ⁴	ɕ o ⁴
