pʰ ɔ ¹¹	pʰ ə ¹¹
l e ¹¹	l e ¹¹
d o ¹¹	d o ŋ ¹¹
ʔ w e ¹¹	ʔ w i ¹¹
b l ei ⁵⁵	b l ei ⁵⁵
ʔ a ⁵⁵	ʔ a ⁵⁵
k l ɛ ⁵⁵	k l ɛ ⁵⁵
s ə ə	d ə ŋ ⁵⁵
kʰ u ¹¹	kʰ u ¹¹
b l e ʔ̚ ⁵¹	b l e ʔ ⁵¹
ʔ ɔ ¹¹	ʔ ɔ ¹¹
ˀb a ŋ ⁵⁵	ˀb a ŋ ⁵⁵
r w i ⁵¹	r̥ w i ʔ̚ ⁵¹
n e ⁵⁵	ˀn w e t̚ ⁵¹
kʰ l ei ⁵⁵	kʰ l ei ⁵⁵
ʔ o ¹¹	ʔ o ¹¹
l a ⁵⁵	l a ʔ̚ ³³
tʰ ɔ ⁵⁵	tʰ ɔ ŋ ⁵⁵
s ⁵⁵ ⁵⁵	s ə ⁰
j u m ¹¹	j ɨ m ¹¹
s i ʔ̚ ⁵¹	c w i k̚ ⁵¹
ʔ a ɴ ⁵⁵	ʔ a ɴ ⁵⁵
ˀb ə ¹¹	ˀb ə ¹¹
k l ə ʔ ⁵¹	k l ə ʔ̚ ⁵¹
tʰ o ʔ̚ ⁵¹	tʰ r o ʔ̚ ⁵¹
l̥ ɛ ⁵⁵	l w ɛ ⁵⁵
m i ɴ ⁵⁵	m i n ⁵⁵
s ə ⁰	s ə ⁰
kʰ i ⁵⁵	kʰ ə ⁰
kʰ a ¹¹	kʰ a ¹¹
l̥ u ⁵⁵	l u ⁵⁵
tʰ a ¹¹	tʰ a ¹¹
s o ¹¹	s o ¹¹
s a ɴ ɴ ⁵⁵	s a ɴ ⁵⁵
pʰ a ⁵⁵	pʰ a ⁵⁵
kʰ a ʔ̚ ⁵¹	kʰ a ʔ̚ ⁵¹
k ə t ə	k ə ʔ̚ ⁰
kʰ a ɴ ⁵⁵	kʰ a ɴ ⁵⁵
b l ɛ ʔ̚ ⁵¹	b l ɛ ʔ̚ ⁵¹
r ou ¹¹	r ou ¹¹
b r a ⁵⁵	b r a ⁵⁵
kʰ a ¹¹	kʰ a ¹¹
b r e ⁵⁵	b r e ⁵⁵
tʰ ei ⁵⁵	tʰ ei ⁵⁵
ʔ ɛ ŋ ¹¹	ʔ j ɛ n ¹¹
s e ¹¹	c e ¹¹
m a ⁵⁵	m a ⁵⁵
d ɛ ʔ̚ ⁵¹	d ɛ ʔ̚ ⁵¹
j ɔ ʔ̚ ⁵¹	ɲ̊ ɔ ʔ̚ ⁵¹
kʰ u ¹¹	kʰ u ¹¹
ʔ e ŋ ⁵⁵	ʔ e ŋ ⁵⁵
tʰ w i ¹¹	tʰ w i ¹¹
l̥ e ʔ̚ ⁵¹	l e k̚ ⁵¹
s ə ⁰	k ə ⁰
l̥ i ¹¹	l̥ i ¹¹
ˀb a ⁵⁵	ˀb a ⁵⁵
kʰ l ɔ ¹¹	kʰ l ɔ ¹¹
s ei ¹¹	s ei ¹¹
l̥ o ¹¹	l o ŋ ¹¹
j a ɴ ¹¹	j a m ¹¹
n i ⁵⁵	n̥ i ⁵⁵
ˀd ə ¹¹	ˀd ə ŋ ¹¹
ˀb u ⁵⁵	ˀb ə ⁵⁵
l̥ a ʔ̚ ⁵¹	l a ʔ̚ ⁵¹
tʰ e ¹¹	tʰ e ¹¹
cʰ a ɴ ⁵⁵	cʰ j a ɴ ⁵⁵
n ə ¹¹	n ei ¹¹
cʰ a ŋ ⁵⁵	cʰ a ŋ ⁵⁵
p l a ¹¹	p l a ⁵⁵
k ə ʔ ⁵¹	k ə ʔ̚ ⁵¹
s w i ¹¹	s w i ¹¹
l i ⁵⁵	l ei ⁵⁵
s a ⁵⁵	s r a ⁵⁵
pʰ e ʔ̚ ⁵¹	pʰ e ʔ̚ ⁵¹
l̥ ei ⁵⁵	l ei ⁵⁵
