s w a ¹¹	s w w a ¹¹
ə a ŋ ⁵⁵	tʰ a ŋ ⁵⁵
ʔ e ŋ ⁵⁵	ʔ e ŋ ⁵⁵
w a ⁵⁵	g w a ⁵⁵
ə ə ⁰	s ə ⁰
s u ɴ ¹¹	s u n ¹¹
ə ə ⁰	s u ⁵⁵
s ə ŋ ⁵⁵	s ə ŋ ⁵⁵
ˀd ə ⁵⁵	ˀd ɛ ⁵⁵
ˀb l̥ a ⁵⁵	p l a ⁵⁵
d ə ⁵⁵	t ə ⁰
l a ŋ ⁵⁵	l a m ⁵⁵
s r ɔ ¹¹	s r ɔ ¹¹
tʰ r o ʔ̚ ⁵¹	tʰ r o ʔ̚ ⁵¹
b r a ¹¹	b r a ¹¹
k ə ə	k ə ⁰
l ou ¹¹	l̥ ou ¹¹
n ə ŋ ⁵⁵	n o ŋ ⁵⁵
l ou ¹¹	l̥ ou ¹¹
m ɨ ¹¹	m̥ ɨ ¹¹
j ei ⁵⁵	j ai ⁵⁵
l ə ŋ ¹¹	l̥ o ŋ ¹¹
g a ŋ ⁵⁵	g a ŋ ⁵⁵
d ə ¹¹	d ə ¹¹
ʔ̚ w i ¹¹	ʔ w i ¹¹
ˀb e ŋ ¹¹	ˀb e ŋ ¹¹
tʰ w ɛ ⁵⁵	tʰ w ɛ ⁵⁵
m a ŋ ¹¹	m a ŋ ¹¹
kʰ u k̚ ⁵¹	kʰ u k̚ ⁵¹
n e ⁵⁵	n̥ e ⁵⁵
ˀb u ŋ ¹¹	ˀb l u ŋ ¹¹
t ə ʔ̚ ⁰	t ə ʔ̚ ⁰
r̥ e ¹¹	r e ¹¹
b l ei ⁵⁵	b l ei ⁵⁵
kʰ e ⁵⁵	kʰ e ⁵⁵
m a ⁵⁵	m a ⁵⁵
kʰ a ¹¹	kʰ a ¹¹
ə a ʔ̚ ⁵¹	d a ʔ̚ ⁵¹
m ə ɴ ⁵⁵	m i n ⁵⁵
s ei ʔ̚ ⁵¹	s i ʔ ⁵¹
pʰ l ə ŋ ¹¹	pʰ l o ŋ ¹¹
d a ʔ̚ ⁵¹	d a ʔ̚ ⁵¹
⁵⁵ ə ⁵⁵	s ə ⁰
kʰ a ¹¹	g r a ¹¹
