b r	b u r ʕ
d r r	d r d r
x j l	x j l
k a p a p a l	k a p l
ʃ l	ʃ i l j a t
x u r sˤ	x a r uː sˤ
qˤ qˤ a	qˤ a ʔ
ʔ n ħ i r	n x r
b x r	b x r
ʕ a θ θ	ʕ θ θ
ʔ a b r	ʔ a
ʕ m qˤ	ʕ m qˤ
ʔ a n	ʔ a n aː k u
h i n a	ʃ i n a
ɣ p r	ɣ p r
k a n	b i k a j
p ʃ r	p ʃ r
b k j	b k j
p l ʃ	p l ʃ
l aː ʃ	ɬ a l aː θ
l p ʔ	l p ʔ
i ʕ ɬˤ	ʕ i ɬˤ
k a m ʔ a t	k a m ʔ a t
ħ m tˤ	ħ m tˤ
b h	b w θ
ð a n a b	ð a n a b
t i ʃ ʕ	t i ʃ ʕ
θ a qˤ d	θ a qˤ i d
ʕ i sˤ	ʕ θˤ aː j
ʔ a r	ʔ a r m
m	m s
b r k	b i
k r i m	k r m
d l l	d l l
ʔ a ʃ θ	ʔ a n θ a t
k ʃ aː d	k i ʃ aː d
k a l a t	k a l l a t
ʔ a j j a l	ʔ a j j a l
ʔ u m m	ʔ i m m
sˤ a w r	sˤ a w a r
ʔ a n t a	ʔ a n t a
p r qˤ	p r qˤ
p r	p a r ɣ
ʔ a n t i n	ʔ a n t i n a
ɬˤ b tˤ	ɬˤ b tˤ
ɬ m	ɬ a ħ m
k a t i p	k a t i p
ħ m m	ħ m m
ɬ a ʕ p a t	ɬ p
h u m n	ʃ u m u
ħ m r	ħ m r
ʃ m ʕ	ʃ m ʕ
w a r i k i	w a r i k
k a r aː θ	k a r a θ
n θˤ r	n θˤ r
l i ʃ aː n	l i ʃ aː n
m a r r	m r r
ʔ a g m	w
b l j	b l j
k b r	k b r
k i l ʔ a	k i l ʔ
ʃ i k a r	ʃ i k a r
tˤ ħ n	tˤ ħ n
θˤ a l m	θˤ l m
ʔ r b j a	ʔ a
b l l	b l l
ʕ a r ʕ a r	ʕ a r ʕ a r
ħ a d θ	ħ d θ
r a ʔ ʃ	r a ʔ ʃ
