p r ʃ	p r s
qˤ sˤ	qˤ j sˤ
w a r i x	w a r x
ʃ a p l	ʃ a p uː
r b ɬˤ	r b ɬˤ
l b b x	l i
w w m	h m
ʃ ʔ l	ʃ ʔ l
r ʔ m	r i ʔ m
qˤ a r d	qˤ r d
m t	m w t
sˤ ʕ n	θˤ ʕ n
w a r	w a r iː d
qˤ a	qˤ r b
w ɬ r	w ɬ r
ʔ θ k l	ʔ θ k aː l
g g j	g uː g
sˤ a w r	sˤ a w a r
ɬˤ t	sˤ ħ w
ʕ l qˤ	ʕ a l a
n a k a t	n a k a p a t
ð b	ð i ʔ b
ʔ a s r	ʔ s r
b tˤ l	b tˤ l
θ a l	θ l
ʕ a m m	ʕ a m m
ʃ x n	ʃ x n
ʔ a n p j	ʔ a n a p a t
l a b	l a h b
ɬˤ i l a ʕ	ɬˤ i l a ʕ
qˤ i b a t	qˤ b a t
k a r θ	k a r a θ
ʃ a m aː j	ʃ a m a j
k a w k a b	k a b k a b
p r p r	p r p r
ð b ʔ	s b ʔ
p j	ʔ p j
p u t	p i ʔ a t
ɬ b a	ɬₓ b a j
p t ħ	p t ħ
m i r r t	m r r a t
n qˤ w	j n qˤ
ħ l sˤ	ħ l sˤ
w b i l	w aː b i l
ħ m ɬˤ	ħ m ɬˤ
x l qˤ	x l qˤ
qˤ l l	qˤ l ħ
ɬ m	ɬ m
n s b	n ʃ b
ħ w b	ħ u b b
ʃ i n a t	ʃ i n a t
ʃ ʃ	ʃ i d θ
ʃ ʔ b	ʃ ʔ b
g u m	k m d
b u l l	b l
m aː aː n	ɬ a ʔ n
ð a n a b	ð a n a b
n a j qˤ	ʕ n qˤ
ʃ a l ħ	ʃ l ħ
ħ p ʃ	ħ p ɬ
ʃ r p	ɬ r p
ʔ m r	ʔ m r
ʔ a ɣ b	ɣ b j
p l ɬ	p l ħ
g d d	g d d
ħ a d θ	ħ d θ
d ʃ	d ʃ m
ɣ b ɣ a	ɣ a
p l l	p l l
n t n	n t n
ð a	ð
b r u m	b r m
r r	ʕ u
l a b	l a b ʔ
w a r w r	ʔ a r r
tˤ i x l	tˤ i ħ aː l
p a r r	p a r r
n p j	n p j
sˤ r ɣ t	sˤ r n ʕ a t
d i b r	d a
ð m r	ð m r
a r	t a m a r
g j	g a w i ʔ
θˤ r	θˤ a h r
x i j l	x j l
θ uː m	θ uː m
ʃ r w	ʃ r j
l a m ɬˤ t	l a m θˤ
ʔ a z r	ʔ a z
sˤ b i j j	sˤ b w
k m r	k m r
ʔ	x l
ʃ i n	ʃ i n a
b sˤ r	b ɬˤ r
ʔ a l p	ʔ a l p
qˤ d m	qˤ d m
n m ɬ j	m ɬ
b w ʔ	b w ʔ
r ɣ w t	r u ɣ w a t
w ʃ m	w ʃ m
n a h r	n a h r
k b	k b w
ʕ z	ʕ z
b k j	b k j
ʃ	ʃ u
ɬ m a	ɬₓ m a t
ð k r	ð k r
