m a k ⁴	r a k ⁴
w a ¹	w a ¹
k j u ¹	k j u ¹
b i m ¹	b ui ¹
m u p ⁴	l u m ¹
g a p ⁴	w a k ⁴
ˀk ui ²	ˀk ui ²
g a ²	ts a ²
g a ŋ ¹	g a ŋ ¹
s a k ⁴	ˀs a k ⁴
g a ³	l a ³
o ¹	r o ¹
u ¹	ʔ ʊ ¹
w a ŋ ¹	w a ŋ ¹
m a t ⁴	ˀŋ a p ⁴
m j u k ⁴	m j u k ⁴
ʃ a ŋ ¹	ʃ a ŋ ¹
g a p ⁴	ˀr a k ⁴
g a ŋ ¹	g a m ¹
m u ¹	m u ¹
ˀn a k ³	n a p ⁴
k a t ⁴	ˀt a p ⁴
ˀtʃ a ²	dʒ ui ²
j a m ¹	j a m ¹
dz u ²	ˀts u ²
m j i ŋ ¹	m r i ŋ ¹
b j a k ⁴	b j a k ⁴
b a n ¹	b a n ¹
g a m ²	ˀtʃ a k ⁴
ˀt a ³	ˀt a ³
a e ¹	ʃ i ³
n a ¹	n ɛ ¹
g a k ²	ˀk j i ²
ŋ a ²	ŋ a ²
ˀt i ŋ ³	ˀt i ŋ ³
ˀtʃ a k ⁴	dʒ a k ⁴
a m ¹	ʔ a m ¹
ʃ a ²	ʃ a ²
d o ²	d o ²
ŋ a ¹	ŋ a ¹
g a t ⁴	g r a k ⁴
b j i k ⁴	b j i k ⁴
l i ²	l i ²
g r u k ⁴	ˀk j u ¹
ˀtʃ a p ⁴	dʒ a p ⁴
ɲ u ²	ˀɲ u ²
g a ³	g j a ³
l i ŋ ²	l i ŋ ²
s u m ²	s u m ²
ˀn a ³	ˀn ai ³
k a ²	k a ²
k u ²	k j u ³
tʃ a ²	tʃ u ²
g i ŋ ³	t i ŋ ³
k a ¹	ˀŋ a ¹
b u m ¹	b u m ¹
b j a ¹	ˀp r o ¹
ˀn a m ¹	ˀn a m ¹
n i k ⁴	n i k ⁴
j a ¹	j a ¹
j a k ⁴	t a k ⁴
l i k ⁴	l i k ⁴
j i ⁴	ˀn i k ⁴
j a ¹	j a ŋ ¹
b a n ²	b a n ²
ˀt u ²	d ʊ ²
g a m ¹	ts a m ¹
g r a ⁴	g r a ³
s a ³	s ɛ ³
g a ŋ ¹	g a ŋ ²
b j a ŋ ¹	b j a m ¹
k i k ²	g a n ²
k a p ⁴	k a k ⁴
a ¹	dz i ŋ ¹
ˀn a t ⁴	ˀn a p ⁴
m i ¹	n i ¹
m e ⁴	m i ³
g u k ⁴	r u k ⁴
g r i ŋ ¹	b r i ŋ ¹
g u ²	g r e ²
m a k ¹	m a k ⁴
ʃ a ¹	ʃ ɛ ¹
m a ²	m e ²
g u p ⁴	ˀj u k ⁴
b j i ŋ ³	b r i ŋ ³
tʃ e ²	tʃ i ²
g u ²	ʃ o ²
g ai ¹	g ai ¹
u ŋ ²	ʔ u ŋ ²
j u k ⁴	j u k ⁴
tʃ e ¹	tʃ i ¹
k a p ⁴	d a p ⁴
m j a ¹	b r ɛ ¹
g i t ⁴	g r o k ⁴
ŋ a k ⁴	ŋ a k ⁴
k i ³	ˀt i ³
k j u ŋ ²	k r u ŋ ²
g a ŋ	ŋ a n ¹
g a p ⁴	ts a p ⁴
ʃ i n ²	ʃ a n ²
g a k ⁴	ˀk a k ⁴
g u ŋ ²	t u ŋ ²
m j u ¹	m j u ¹
ˀt a p ⁴	ˀt a k ⁴
g a p ¹	k a t ⁴
k a ²	k ai ²
dz a ²	dz a ²
b i k ⁴	b i k ⁴
u ²	ʔ ʊ ²
b j a p ⁴	ˀp j a t ⁴
a u k ⁴	ʃ u k ⁴
g a t ⁴	ˀk a t ⁴
p a ³	p a ³
g j a p ⁴	ˀk j a p ⁴
w a t ⁴	w a p ⁴
l i ¹	l i ¹
m a ¹	ˀm ai ¹
g j u k ⁴	ˀk r u k ⁴
g i ⁴	d ai ²
m i ŋ ²	d i ŋ ²
ˀp a ²	ˀp a ²
ŋ a n ¹	ˀŋ a n ¹
k a ³	ˀl ai ³
g a p ⁴	ˀs u t ⁴
b j a ¹	b j a ¹
j a t ⁴	j a p ⁴
g a t ⁴	ˀl a p ⁴
a ¹	ʃ a ¹
g j a k ⁴	ˀk j a k ⁴
g a ³	t a ŋ ³
p j u ¹	p r o ¹
p j a ¹	p j a ¹
b j a ²	ˀp r ɛ ²
g u k ⁴	g u k ⁴
g a ŋ ²	t a ŋ ²
l a m ¹	l a m ¹
ŋ u ¹	ŋ ui ¹
ˀp a ¹	b j ɛ ¹
w a m ³	w a m ³
g a ²	s ɛ ²
m a ⁴	m a t ⁴
g a ²	ˀr a ²
b i ŋ ¹	b j i ŋ ¹
d u ¹	d ʊ ¹
g i k ⁴	g i k ⁴
g u k ⁴	g j u k ⁴
k j a ŋ ³	k j a ŋ ³
k a ¹	n ai ¹
g i k ⁴	ˀk i k ⁴
j a ŋ ²	j a ŋ ²
ŋ a k ⁴	ˀŋ a k ⁴
s i k ⁴	s i k ⁴
tʃ a t ⁴	tʃ a p ⁴
j i t ⁴	j i p ⁴
w u ¹	w ai ¹
dz a ŋ ¹	dʒ i m ¹
s i ŋ ²	s i ŋ ²
g a n ²	dz a n ²
j a m ²	j a m ²
g a t ⁴	d a t ⁴
l a ŋ ³	l a ŋ ³
g a ŋ ¹	t a ŋ ¹
p j ɛ ³	p j ɛ ³
k a ŋ ⁴	d a ŋ ²
k i ¹	ˀl ai ¹
l a k ⁴	l a k ⁴
k i k ⁴	k i k ⁴
g a ¹	ʔ a ¹
m j a ²	m j a ²
k j i ¹	ˀk j ai ³
g a t ⁴	ˀtʃ a t ⁴
d a k ⁴	d a k ⁴
ʃ i ²	ʃ e ²
g a p ¹	s a m ¹
g a ²	ˀl i ²
k u t ⁴	k r u p ⁴
b a ³	b a ³
j i k ⁴	ˀj i k ⁴
dz u t ⁴	ˀts u t ⁴
s a ŋ ¹	s a ŋ ¹
k j a m ¹	k j a m ¹
k j a t ⁴	k j a p ⁴
m a ⁴	d u ²
ˀtʃ i ŋ ³	dʒ i ŋ ³
ˀp a ³	ˀp a ³
ˀt a ŋ ²	ˀt o ŋ ²
p i k ⁴	p i k ⁴
m a n ³	m a n ³
g i ¹	ˀts ai ¹
g a m ⁴	ˀk a m ¹
g i ²	ˀs ai ²
g i ŋ ¹	ˀr i ŋ ¹
ŋ j a k ⁴	ŋ j a k ⁴
k a ŋ ¹	d a m ¹
g a ²	ˀt a ²
g a ²	ˀr o ²
tʃ a ŋ ³	tʃ a ŋ ³
m j e ²	n e ²
dz e ²	dz e ²
g r a ¹	b r a ¹
j a ŋ ²	l a ŋ ²
g j a ²	g j a ²
g i ¹	ˀs e ¹
m r a ŋ ¹	m r a ŋ ¹
g u ²	g u ²
ˀtʃ a ⁴	dʒ a ²
m a ⁴	m ai ²
g a m ²	b i ²
m i ŋ ¹	m i ŋ ¹
j i m ¹	ˀj i m ¹
