ʔ r b j aː	ʔ a
n ʔ	n ɬ ʔ
sˤ a r sˤ r	sˤ a r sˤ a r
z qˤ p	z qˤ p
s ʃ t	p ʃ w
ʔ b b l	ʔ b b l
b x r	b x r
ʔ a r	ʔ a r ɬˤ
ʔ a ʔ	w ɬ ʔ̣
ð m r	ð m r
m l	m θ l
w k l	w k l
x a r p	x r p
r i ħ	r i ħ a j
ʃ a	ʃ a
ð k	ð k j
l a b ʔ	l a b ʔ
r ħ	r aː ħ a t
k a t p	k a t i p
z b l	z b l
l k	p l k
r ʔ	ʔ r aː w
qˤ u d aː m	qˤ d m
n θ k	n θ k
n ʕ r	n ʕ r
r k b	r k b
g aː b ʔ	g b
n a l	n ħ l
n a p ʃ	n a p a
ɣ l l	ɣ u l l
d l w	d a l w
z i b l	z i b l
p t l	p t l
ɬ b ʕ	ɬ b ʕ
m	w ʃ m
ʕ a j n	ʕ a j n
ħ i m t	ħ i m a t
p d	p sˤ d
n w m	n w m
l m	l ħ m
z iː z	z iː ð
n p j	n p j
ħ l ʔ	ħ i l
ʃ i n a t	ʃ i n a t
ɬˤ	sˤ ħ w
ʃ i n	ʃ i n a
n x r	n a x iː r
sˤ a r ɣ t	sˤ r n ʕ a t
qˤ r	qˤ r r
n qˤ	n h qˤ
ʔ i b r	ʔ i b r a t
ħ a l	ħ a
ʃ x n	ʃ x n
ð r ʔ	ð a r ʔ
ʕ i ð qˤ t	ʕ i d qˤ
ʕ θˤ m	ʕ a θˤ m
ʕ l qˤ	ʕ a l a
ɣ a r	ɣ aː r
n ɣ r	n ɣ r
p r ɬˤ	p r ɬˤ
k a r aː θ	k a r a θ
m a	ɬₓ m a t
p l ʃ	p l ʃ
m r	m u h r
ʔ i	ʔ tˤ r
d a m	d a m
ɬ a p a t	ɬ p
b t l	b a t uː l
l j l	l a j l i j
d l l	d l l
ʔ a b	ʔ a b
s k r	s k r
ʔ x r	ʔ x r
ħ m a t	ħ u m sˤ a t
ɣ	ʕ a w
b u tˤ	b u tˤ m
l a h b	l a h b
qˤ i b	qˤ b a t
g a r	g uː r
ʃ ʕ	θ ʕ j
k a p p	k a p p
ʔ m d n	m d iː n
w a r x	w a r x
ʔ a j l	x l
b n t	b i n t
j	ʃ i
ɬˤ a r ʕ	ɬˤ r ʕ
ʕ l j	ʕ l j
ʔ a n t i n	ʔ a n t i n a
ɣ r n	ɣ r n
l ʃ d	l a ʃ d
a d a d	h a d a d
x l qˤ	x l qˤ
s m m	s m m
m t qˤ	m tˤ qˤ
ɬˤ a b ʕ	ɬˤ b ʕ
w b l	w b l
ʃ t j	ʃ t j
k a l b	k a l b
k r s ʕ	k u r s ʕ
p i	p s ħ
b j t	b a j t
g m r	g m r
ɣ l p	ɣ l p
b r	b r ħ
g b ʃ	g b ʃ
n b l	n a b i l a t
ʔ i l	ʔ i l
b r	b ɬ r
n a k a p t	n a k a p a t
r d	w r d
z n	ð n m
i r	n sˤ r
r ʔ m	r i ʔ m
m	ɬ m
b a r qˤ	b a r a qˤ
qˤ n a t	qˤ i n n
l ʔ	l a ʔ a j a t
p i r	p a r ɣ
ʃ b ʕ	ʃ a b ʕ
l a m ɬˤ a	l a m θˤ
l w j	l w j
ʃ	ʃ u m u
ɬ u r ʃ	ɬ r ʃ
j a w m	j a w m
p ħ l	p a ħ l
qˤ a p a	qˤ a p j
d aː r	d a w r
ʃ r	ʃ r j
qˤ a r qˤ a r	qˤ a r qˤ a r
r ʃ ʕ	r ʃ ʕ
	j θ w
x n z t	x n z z
ɬ b r	ɬ b r
θ i qˤ i d	θ a qˤ i d
k ʃ d	k i ʃ aː d
k a p p a l	k a p l
ʔ a t aː n	ʔ a t aː n
j a m n	j a m n
k i p p a t	k p
n i m r	n a m i r
ɬ m m	ʃ
ʔ a r b a ʕ	ʔ a r b a ʕ
ħ a l ʔ	ħ
b i qˤ	b h qˤ
ʔ r ʃ	ʔ r ʃ
k b s	k b s
k m m	k m
p a ħ m	p ħ m
ð k r	ð k r
ʔ b h n	b h n
ɬ a r	ɬ a h r
s s	s aː
b a r	b i ʔ r
l x m	l x m
ʃ qˤ tˤ	ʃ qˤ tˤ
d l w	d l w
ɣ p	ɣ p
n a ʕ aː m a t	n u
θˤ i l l	θˤ i l l
p qˤ qˤ aː ʕ	p qˤ ʕ
n a r	n a h r
ʔ r m	ɬ r m
x r ʃ	x r ʃ
ʃ ʔ l	ʃ ʔ l
ʔ a d a m	ʔ d m
t a m r	t a m a r
w aː b i l	w aː b i l
ʕ a r ʕ a r	ʕ a r ʕ a r
z r	z w r
r d ʔ	r d ʔ
ð ʔ b	ð i ʔ b
b u qˤ l	b qˤ l
p d j	p d j
p qˤ d	p qˤ d
t w l i	t a w l i ʕ a t
x i ʔ a t	x i m ʔ a t
l a b n	l a b b
a r b	θ a r b
ɬˤ r tˤ	ɬˤ r tˤ
p r	p r j
ɬ r p	ɬ r p
m qˤ	m qˤ
ʕ a z	ʕ z
ʃ l ħ	ʃ l ħ
u m m	d m m
w a r i k	w a r i k
ʕ a qˤ i b	ʕ a qˤ i b
b u	n aː b
θ m	θ uː m
j a ʕ r	w
k a	k s
x a m i ʃ	x a m ʃ
r	w r j
b r r	b r r
p l	p l
