p u t ɨ	p u t ɨ
n a n i	n a n i
ts u k a n	t u k a n ə
k i m e k a	k i m e k a
h i t i t i	h i t i t i
h i m a t u ɨ ts ɨ	h i m a t u k ɨ
m e k ɨ	m e k ɨ
m u s a	m u s a
r o	r o
h n o	h a n o
ts e n o	t e n o
p i	p i
ɨ ɨ n ɨ	ɨ k ɨ n ɨ
h i p e t ɨ	h i p e t ɨ
s ɨ p ɨ r ɨ	s ɨ p ɨ r ɨ
m a k a r a	m a k a r a
m a n e i	m a n a h i
k u m a r ɨ	k u m a r ɨ
k u ts i	k u ts i
n i k a	n i k a
ts i	ts i
k a p a	k e p a
n a m a	n a m a
m u ts u	m u t u
t a k a	t a k a
t a i	t a
p u r i	p u r i
h ɨ p u a	h ɨ p u
k e m a	k e m a
h e r u t ɨ	h e r u t ɨ
t i k a	t i k a
k e n ɨ	k e n ɨ
t a	t a
n a k ɨ	n a k ɨ
h e k u r u	h e k u r u
j a ts i	j a ts i
a ɨ r ɨ	h ɨ w ɨ
r o	r o
a t u k ɨ r ɨ	a t u k ɨ r ɨ
p u r u	p u r u
k ɨ w ɨ	k ɨ w ɨ
t a	t a
r ɨ	r ɨ
k a k ɨ t ɨ	k a k ɨ t ɨ
s a ts u k a	s a t u k a
k a n ɨ r ɨ	k a n ɨ r ɨ
s i m a	s i m a
n i k u r u k a	n i k u r u
n a k a	n a k a
s i w e j u r ɨ	s i w e j u r ɨ
a p a	a p a
k e m a	k e m a
p o	p o
m i s i	m ɨ s i
k a n o	k a n o
r a p ɨ t a	r a p ɨ
k a m a r a	k a m a r a
h u m a	h u m a
j u k i	j u k i
k a	k a
h e p i	h e p i
k a p s i	k a p i s i r i
a n i k a	a n i k a
k i p a	k i p a
k e n a k o	k e n a
s a n ɨ	n a n ɨ
h a m e	h a m e
j u ts u r o	j u t u r o
m a n e	m a n e
ts o m i	ts o m i
n a ts i	n a ts i
m a p a	m a p a
h i m a k ɨ	h i m a k ɨ
ɨ r ɨ	h ɨ r ɨ
a i a p o t u	p o t u
p a r u	p a r u
h a p u k a	a p u k a
ts ɨ r ɨ	t ɨ r ɨ
j a n a	j a n a
s a n ɨ	s a n ɨ
a k ɨ r o	a k ɨ r o
r ɨ	r ɨ
p ɨ r a	p ɨ r a
h u n ɨ	h u n ɨ
p a t a	p a t a
h o k a	h o k a
k u t a	k u t a
ts i n a	ts i n a
ɨ m a	ɨ m a
h a k ɨ	h a k ɨ
h a p o	h a p o
s ɨ ts u	s ɨ t u
p o ts e j a	p o ts e j a
ts u m a	t u m a
k a t a t u	k a t a t u
e r o k a	e r o k a
p i n i	p i n i
h o k ɨ	h o k ɨ
h u r u t ɨ	h u r u t ɨ
