ɖʐ j o ⁴	ɖʐ o ⁴
b j o ⁴	b j o ⁴
tsʰ u ŋ ¹	tsʰ u ŋ ¹
ɕ r i ²	ɕ w i ²
n r i ⁴	n j i ⁴
ɖʐ u ³	ɖʐ o ³
j i ³	j i ³
k u ¹	k ɯ ¹
ts r u ²	ts u ²
d u ²	t u ²
ŋ o ¹	ŋ o ¹
ts r e ²	ts r e n ²
b r i n ¹	p r i ¹
b æ ¹	b æ ¹
t r ɯ ⁴	tʲ ɯ ⁵
n o ŋ ¹	n o ŋ ¹
d o ŋ ¹	ts u ŋ ¹
q æ ⁵	q æ ⁵
tʰ r e ²	tʰ j e ²
q w a ⁴	q w a ⁴
m ɯ ¹	m ɯ ¹
k o ⁵	k o ⁵
ɖʐ w e n ⁵	ɖʐ w e n ⁵
kʰ o ŋ ¹	kʰ u ŋ ¹
j e n ¹	j e n ¹
ts j w i ⁴	ts w ɛ ⁴
tsʰ o ŋ ⁵	tsʰ o ŋ ³
ts o ⁴	ts o ⁴
p r a ⁴	b r æ ⁴
j e n ¹	j e n ¹
g ɯ ¹	g ɯ ¹
k o ŋ ²	k o ŋ ²
pʰ ɔ ⁵	pʰ ɔ ³
s a ⁴	s a ⁴
ts r i ¹	ts r i ¹
p i ⁴	p r i ⁴
d ɔ ⁵	d ɔ ⁵
ts r i ²	ts r i ²
d e ⁴	d r ɛ ⁴
s j i ²	s j i ²
k o ŋ ¹	k o ŋ ¹
l ɔ ¹	l a ¹
ŋ ə ⁴	n j e ⁴
ɣ ɯ ⁴	ɣ ɯ ²
ʔ w e n ¹	ʔ w e n ¹
o ⁴	ɔ ⁴
b æ n ³	b æ n ³
k æ ⁴	k æ ⁴
b æ ¹	b æ ¹
s i ²	s r i ²
ŋ ɯ ¹	ŋ ɯ ¹
ʈ w æ n ²	ʈ w æ n ²
j a ⁴	j a ⁴
ts r e ¹	ts r e ŋ ¹
sʰ w a ŋ ¹	sʰ w a ŋ ¹
b æ ⁴	b æ ⁴
χ ɯ ⁴	χ ɯ ⁴
ŋ w e n ²	ŋ w e n ²
kʰ o ⁴	kʰ o ⁴
k w e ¹	k w ɛ ¹
d i ⁴	d i ⁴
tsʰ w æ ²	tsʰ w a ŋ ²
ɖʐ i ²	ɖʐ i ²
b e ¹	b e ¹
m o ŋ ²	m ø ²
ɣ w a ⁴	ɣ w a ⁴
n ɛ ⁴	n ɛ ¹
p j ɛ ³	pʰ j ɛ ³
d o ¹	d r o ŋ ¹
h ɔ n ³	h a ŋ ⁵
sʰ r o ŋ ¹	sʰ r o ŋ ¹
z i ³	z ɯ ³
n e ⁴	n ɛ ¹
ɖʐ o ¹	ɖʐ u ŋ ¹
b o ¹	b ã ¹
x ɯ ⁴	x ɯ ³³
m r æ ŋ ¹	m j æ ¹
x e n ¹	x e n ¹
g ɯ ¹	k ɯ ¹
m o ²	m o ²
n j e n ¹	n j e n ¹
m a ⁴	m a ⁴
h w æ ⁴	x w a ¹
m ɯ ³	m ɯ ⁵
b j o ²	b j ɛ ²
qʰ w a ⁴	qʰ w a ⁴
t æ ⁴	t æ ŋ ⁴
q ɯ ¹	q ɯ ¹
p i ¹	b r i ¹
ɕ r æ ²	ɕ a ⁴
ʈ r æ ⁴	ʈ æ ⁴
tʰ r æ ⁴	tʰ r æ ⁴
ts r o ²	ts r ɔ ²
dʑ a ⁴	dʑ a ⁴
ɕ w i ⁴	s w a ⁴
m i ¹	m e ¹
j æ ¹	b j o ²
j ɯ ⁴	j ɯ ⁴
qʰ w a ŋ ²	qʰ w a ŋ ²
p e ⁴	b ɛ ⁴
i ²	ɯ̃ ²
tɕ r ɯ ¹	tɕ ɯ ¹
tʰ u ŋ ²	tʰ u ²
p j u ¹	pʰ j u ŋ ¹
h j o n ¹	z r o ŋ ¹
p j u ¹	p j e ¹
sʰ r ɯ ²	sʰ r ɯ ²
t ɛ ⁴	t ɛ ⁴
x w i ²	x w i ²
ŋ w a ⁴	ŋ w a ⁴
