n ɔ ʔ ⁵¹	n̥ ɔ ʔ̚ ⁵¹
m i ɴ ⁵⁵	m i n ⁵⁵
kʰ u ⁵⁵	kʰ o ⁵⁵
j a t ⁵¹	ŋ j a t̚ ⁵¹
kʰ l i ʔ̚ ⁵¹	kʰ l i ʔ̚ ⁵¹
tʰ o ʔ̚ ⁵¹	tʰ u ʔ̚ ⁵¹
ˀb j a ¹¹	p j a ¹¹
t ə ⁰	t ə ʔ̚ ⁰
tʰ au ⁵⁵	tʰ au ⁵⁵
c i m ¹¹	ɟ i m ¹¹
tʰ o ʔ̚ ⁵¹	tʰ u ʔ̚ ⁵¹
r ə ŋ ⁵⁵	r̥ u n ⁵⁵
pʰ w i ⁵⁵	pʰ w i ⁵⁵
w ɛ ⁵⁵	w ɛi ⁵⁵
s ɨ ɴ ¹¹	s w ɨ n ¹¹
kʰ o ¹¹	kʰ o ¹¹
ɲ̊ ə ⁵⁵	ɲ̊ a ¹¹
kʰ u ¹¹	kʰ u ¹¹
l a ŋ ¹¹	l̥ a ŋ ¹¹
k ə ⁰	s ə ⁰
n w ɛ ¹¹	n̥ w ɛ ¹¹
l ei ⁵⁵	l ei ⁵⁵
d ə ŋ ¹¹	d ə ŋ ¹¹
tʰ ɔ ʔ̚ ⁵¹	tʰ ɔ ʔ̚ ⁵¹
kʰ ɔ ʔ̚ ⁵¹	kʰ ɔ ʔ̚ ⁵¹
k ə ⁵⁵	l a ʔ̚ ³³
ˀb e ŋ ¹¹	ˀb e ŋ ¹¹
m a ŋ ¹¹	m a ŋ ¹¹
s o ¹¹	s o ¹¹
b l e ʔ̚ ⁵¹	b l e ʔ ⁵¹
ˀd e ⁵⁵	ˀd e ⁵⁵
s ou ¹¹	s ou ¹¹
pʰ e ⁵⁵	pʰ e ⁵⁵
d ou ¹¹	d ou ¹¹
d a ʔ̚ ⁵¹	d a ʔ̚ ⁵¹
ˀd ei ⁵⁵	ˀd ei ⁵⁵
n̥ u ¹¹	n u ¹¹
s o ⁵⁵	s o ⁵⁵
ˀd u ¹¹	ˀd ə ŋ ¹¹
ʔ ɛ ŋ ¹¹	ʔ ɛ ɴ ¹¹
tʰ w i ¹¹	tʰ w i ¹¹
kʰ l ə ⁵⁵	kʰ l i ⁵⁵
l a ¹¹	l̥ a ¹¹
pʰ l o ŋ ¹¹	pʰ l o ŋ ¹¹
k a t ⁵¹	h a t̚ ⁵¹
n e ⁵⁵	n̥ e ⁵⁵
tʰ u ¹¹	tʰ u ¹¹
kʰ l ei ⁵⁵	kʰ l ei ⁵⁵
s ə ⁵⁵	s ə ⁰
kʰ a ʔ̚ ⁵¹	kʰ a ʔ̚ ⁵¹
n ei ⁵⁵	n ei ⁵⁵
ˀb o ʔ̚ ⁵¹	ˀb o ʔ̚ ⁵¹
s ɔ ʔ̚ ⁵¹	s ɔ ʔ̚ ⁵¹
