m a n a	m a n e
j u k a n a	j u k a n a
h u r i	h a
m a p a a	m a p a
t i	ts i
p e k i r i	p e k i r i
k a n ɨ r ɨ	k a n ɨ r ɨ
k u r u t ɨ	h u r u t ɨ
h e p i	h e p i
k ɨ k a	k ɨ s i
t i t i	ts i ts i
k e m a	k e m a
m a k a r a	m a k a r a
h a n o h h	h a n o
p a t ɨ	p a t ɨ
ts o m i	ts o m i
s a t u k a	s a t u k a
t a k a	t a k a
ts e r ɨ	ts e r ɨ
a k ɨ r o	a k ɨ r o
h i p i	s i
a a w ɨ h ɨ	h ɨ w ɨ
s i j u	s i j u
t a r a	t a r a h a
k a m e	h a m e
ts ɨ n a a	ts ɨ n ɨ
h i r e k a	h i r e k a
m a n e h ɨ	m a n a h i
m a j u r ɨ	m a j u r ɨ
h ɨ r a h a	h ɨ r a
p u k u	p u k u
ɨ n a	ɨ n a
k a ts a r ɨ	k a ts a r ɨ
a k ɨ	t a k ɨ
n a k a	n a k a
p i t i	p i t i
ts a	ts a
p a t e	p a t e
p u r ɨ	p u r ɨ
s i w e j u r ɨ	s i w e j u r ɨ
e t a a	e t a
k i t i	k i t i
n i k u r u k a	n i k u r u
ts u r u	t u r u
s ɨ t u	s ɨ t i o
m e k ɨ	m e k ɨ
k i ts u	h i ts u
k a m a ts i	k a m a
n a t i	n a ts i
p ɨ r a	p ɨ r a
n i k a	n i k a
t a	t a
k r a k a	e r o k a
j a n a	j a n a
t a p a r i	t a p a r i
p ɨ n a	p ɨ n a
e p ɨ r o	e p ɨ
r o	r o
p ɨ a a n a	p ɨ t a h a n a
p i	p i
h i m a t u k ɨ ts ɨ	h i m a t u k ɨ
k u ts a	k u ts a
t i k a	t i k a
h u p a n a	h u p a n a
k i a p o t u	p o t u
m e k a n i	m e k a n i
a p a	a p a
p u r u	p u r u
t u m a	t u m a
n a t u	n a t u
m e k a n i	m e k a n i
j a k a	j a k a
k e r u t ɨ	h e r u t ɨ
p u t ɨ	p u t ɨ
p a r u	p a r u
a n i k a	a n i k a
t u k a n	t u k a n ə
p a r i k a r e	p a r i k a r e
k a i n a	k a i n a
t i n ɨ	t e n ɨ
m a t a	m a t a
n a n ɨ	n a n ɨ
n a m a	n a m a
k a p a h ɨ	k a p i s i r i
p ɨ m a r ɨ	p ɨ m a r ɨ
k u n ɨ	h u n ɨ
k a	k a
k i p a	k i p a
t a i	t a
k a t i t ɨ	k a ts i t ɨ
m a p a	m a p a
k a t a t u	k a t a t u
k a n a k u	k e n a
k i p e t ɨ	h i p e t ɨ
s ɨ p ɨ r ɨ	s ɨ p ɨ r ɨ
k e k u r u	h e k u r u
ɨ m ɨ k a	ɨ m a k a
r o	r o
h a k a	h o k a
p e t u	p o t u
j e t i	j a ts i
e p ɨ r ɨ	e p ɨ
ts o p a t a	ts o p a t a
k a n o	k a n o
k a j a t ɨ	k a j a t ɨ
p k n o r ɨ	h ɨ n o
s u t a r ɨ	s u t a r ɨ
t i k u t ɨ	ts i k u t ɨ
n e n ɨ	n e n ɨ
h ɨ t ɨ	h ɨ t ɨ
h u k ɨ	h o k ɨ
p u r i	p u r i
k e m a	k e m a
n a n i	n a n i
k s a j u k ɨ r ɨ	k a j u k ɨ r ɨ
k t u k a t i	a t u k a ts i
p i n i	p i n i
h ɨ p u h a	h ɨ p u
m u j u	m u j u
k u p a r ɨ	k u p a r ɨ
k a t i n u	k a ts i n u
t ɨ r ɨ	t ɨ r ɨ
p i k a	p i k a
h a p u	h a p o
m a a	m ɨ s i
h ɨ p ɨ n a	ɨ p ɨ n a
k u t i	k u ts i
h ɨ w a k a	h ɨ w a k a
s i i	s i
k a n a w a	k a n a w a
n a k ɨ	n a k ɨ
k u n a	k u n a
k e r ɨ	k e r ɨ
s ɨ t u	s ɨ t u
t i n a	ts i n a
t e n o	t e n o
m u a	m u s a
m u t u	m u t u
a w a	a w a
w a r a	w a r a
t a	t a
k e n ɨ	k e n ɨ
k a ɨ r ɨ	k a s ɨ r ɨ
s k a	s i k a
h i m a k ɨ	h i m a k ɨ
k a p e t a	k a p e t a
a k a p a	a k a p a
k i n a	h i n a
h a a h m ɨ n a	m ɨ n a
h a p u k a	a p u k a
p a w a	p a w a
k u t a	k u t a
k a t i n ɨ	h a t ɨ n ɨ
p o	p o
h u m a	h u m a
h a p i k ɨ r ɨ	h a p ɨ k ɨ r ɨ
p a t a	p a t a
h u p a h i	h u p a i
k k k a r e	tʃ i k a r e
