k o ʔ̚ ⁵⁵	j o ʔ̚ ⁵¹
ˀd e ¹¹	ˀd e ¹¹
s u ɴ ¹¹	s u n ¹¹
ˀd a ⁵⁵	ˀd a ⁵⁵
s a ʔ̚ ⁵¹	s a ʔ̚ ⁵¹
ʔ ɔ ɴ ⁵⁵	ʔ ɔ ⁵⁵
ɟ a ¹¹	ɟ a ¹¹
r w i ¹¹	r w i ¹¹
g ə ⁰	k ə ⁰
cʰ w ɛ ¹¹	cʰ w ɛ ¹¹
ʔ ɛ m ¹¹	ʔ ɛ ɴ ¹¹
s i ʔ̚ ⁵¹	s i ʔ ⁵¹
s ou ¹¹	s ou ¹¹
b l a ¹¹	b l a ¹¹
s i ⁵⁵	s ei ⁵⁵
n ɨ m ⁵⁵	n ɨ m ⁵⁵
k ə ⁰	k ə ⁰
ˀb ɔ ⁵⁵	ˀb ɔ ⁵⁵
pʰ e ⁵⁵	pʰ e ⁵⁵
ˀd ə ⁵⁵	ˀd w ɨ ɴ ⁵⁵
r ou ¹¹	r ou ¹¹
g l ɛ ⁵⁵	k l ɛ ⁵⁵
ˀd ei ɴ ⁵⁵	ˀd ei ⁵⁵
ŋ j a ⁵⁵	ŋ j ai ⁵⁵
kʰ l i ⁵⁵	kʰ w i ⁵⁵
kʰ u ¹¹	kʰ u ¹¹
r ə ʔ ⁵⁵	r̥ u n ⁵⁵
b ə ⁰	b ə ʔ̚ ⁰
k ə m ¹¹	j ɨ m ¹¹
l ɛ ¹¹	l ɛ ¹¹
cʰ a ɴ ¹¹	cʰ a ɴ ¹¹
pʰ e ʔ̚ ⁵¹	pʰ e ʔ̚ ⁵¹
ˀb ə ŋ ¹¹	ˀb l u ŋ ¹¹
tʰ w ɛ ⁵⁵	tʰ w ɛ ⁵⁵
b l e ʔ̚ ⁵¹	b l e ʔ ⁵¹
m a ¹¹	m a ¹¹
l o ɴ ⁵⁵	l o ⁵⁵
s ə ɴ ¹¹	s w ɨ n ¹¹
l ei ⁵⁵	l ei ⁵⁵
h w a t ⁵¹	k w a t̚ ⁵¹
m a ʔ̚ ⁵¹	m a ʔ̚ ⁵¹
l u ɴ ¹¹	l u ɴ ¹¹
cʰ a ŋ ⁵⁵	cʰ a ŋ ⁵⁵
s ə ŋ ⁵⁵	s ə ŋ ⁵⁵
pʰ ou ⁵⁵	pʰ ou ⁵⁵
l i ⁵⁵	l ei ⁵⁵
g ə ɴ ⁰	p ə ⁰
b ə ŋ ⁵⁵	b ə ŋ ⁵⁵
k ə ⁰	k ə ⁰
m a ŋ ¹¹	m a ŋ ¹¹
ˀd o ¹¹	ˀd o ¹¹
b l e ⁵⁵	b l e ⁵⁵
tʰ o ¹¹	tʰ o ¹¹
kʰ w au ⁵⁵	kʰ w au ⁵⁵
ɲ̊ a ⁵⁵	ŋ̊ a ⁵⁵
ˀb w ɛ ⁵⁵	p w ɛ ⁵⁵
p l ɔ ŋ ¹¹	p l ɔ ŋ ¹¹
l o ʔ̚ ⁵¹	l o ʔ̚ ⁵¹
cʰ u ɴ ¹¹	cʰ u ɴ ¹¹
n ɔ ʔ̚ ⁵¹	n̥ ɔ ʔ̚ ⁵¹
d o ŋ ¹¹	d o ŋ ¹¹
b r a ⁵⁵	b r a ⁵⁵
w a ⁵⁵	g w a ⁵⁵
kʰ o ¹¹	kʰ o ¹¹
s r ei ¹¹	s r ei ¹¹
n a ¹¹	n a ¹¹
k ɛ ʔ̚ ⁵⁵	j ɛ ʔ ⁵¹
cʰ ɛ ŋ ⁵⁵	cʰ ɛ ŋ ⁵⁵
n a ¹¹	n̥ a ¹¹
k i ⁵⁵	j ai ⁵⁵
n e ⁵⁵	n̥ e ⁵⁵
pʰ a ¹¹	pʰ a ¹¹
c e ¹¹	c e ¹¹
k l a ⁵⁵	k l a ⁵⁵
p l o m ¹¹	p l o m ¹¹
ˀd ɛ ¹¹	ˀd ɛ ¹¹
l w i ⁵⁵	l̥ w i t̚ ⁵⁵
cʰ a ⁵⁵	cʰ a ⁵⁵
tʰ a ʔ̚ ⁵¹	tʰ a ʔ̚ ⁵¹
p l a ⁵⁵	p l a ⁵⁵
c u ⁵⁵	c u ⁵⁵
n u ʔ̚ ⁵¹	n ə ʔ ⁵¹
r a ɴ ¹¹	r a ɴ ¹¹
tʰ ɔ ʔ̚ ⁵¹	tʰ ɔ ʔ̚ ⁵¹
l a m ⁵⁵	l a m ⁵⁵
