p a k ⁴	p a k ⁴
d a ŋ ²	d a ŋ ²
b j i k ⁴	b j i k ⁴
ˀn a ¹	ˀn a ¹
s i ŋ ²	s i ŋ ²
j a ⁴	ˀn i k ⁴
g j e ²	g j e ¹
d a ŋ ¹	d a m ¹
ˀk ai ¹	ˀs e ¹
d o ²	d o ²
ˀm ai ²	m ai ²
ŋ a ²	ŋ a ²
p j a ¹	p j a ¹
ˀn a m ¹	ˀn a m ¹
b i ¹	ˀp e ¹
g a k ⁴	g r a k ⁴
d a p ⁴	ˀt a p ⁴
l i k ⁴	l i k ⁴
g o ²	ˀr o ²
k a ²	k o ²
n ɛ ¹	n ɛ ¹
l a ŋ ³	l a ŋ ³
l a ³	l a ³
ˀj i t ⁴	j i p ⁴
ˀk j i ¹	g r u k ⁴
n u ³	n u ³
b r i ŋ ³	b r i ŋ ³
ˀts u ²	ˀts u ²
ˀk a ŋ ¹	ˀj u k ⁴
d u ²	d ʊ ²
ˀk ai ²	ˀs ai ²
b j a ŋ ¹	b j i ŋ ¹
m a k ¹	m a k ⁴
g a t ⁴	ˀk a t ⁴
ʔ i ŋ ³	dz i ŋ ¹
w u k ⁴	w a p ⁴
n a ŋ ¹	n a ŋ ¹
dʒ a k ⁴	dʒ a k ⁴
t a m ³	t a ŋ ³
m e ²	n e ²
b ai ²	b i ²
g a ²	g r a ²
k j ɛ p ⁴	k j a p ⁴
s a ŋ ⁴	ˀs u t ⁴
ŋ u ¹	ŋ u ¹
p r o ¹	p r o ¹
k r a ŋ ³	k j a ŋ ³
ˀts e ¹	tʃ i ¹
r a ¹	k r a ¹
ˀn ai ³	ˀn ai ³
b i k ⁴	b i k ⁴
ˀp a ²	ˀp a ²
ʃ i ¹	ʃ i ³
n a m ²	n a m ²
d a ²	d u ²
b j a ¹	b j a ¹
w a m ¹	w a m ¹
ʃ ɛ ²	ʃ a ²
d u ¹	d ʊ ¹
ˀn a k ³	n a p ⁴
ˀp j a ŋ ¹	b j a ŋ ¹
tʃ a ŋ ³	tʃ a ŋ ³
l a p ⁴	ˀl a p ⁴
ˀp a n ⁴	ˀp a t ⁴
g o ¹	g r o k ⁴
ˀt i ŋ ³	ˀt i ŋ ³
ˀk j a k ⁴	ˀk j a k ⁴
ˀk a k ⁴	ˀr a k ⁴
k i n ²	g a n ²
r a k ⁴	r a k ⁴
g j a ²	g j a ²
m r a ŋ ²	m j a ŋ ²
g u k ⁴	g u k ⁴
ˀk a ŋ ¹	ˀk a m ¹
k a ¹	k a m ¹
w a ŋ ¹	w a ŋ ¹
m i ŋ ¹	m i ŋ ¹
k a ²	k ai ²
k a k ⁴	k a k ⁴
g i k ⁴	g i k ⁴
g i ¹	n i ¹
w ai ¹	w ai ¹
k i ¹	ˀk j ai ³
d a k ¹	ˀt a k ⁴
dʒ a p ⁴	ˀtʃ a p ⁴
s i k ⁴	s u t ⁴
g j ɛ ²	ˀk j u ³
j a p ¹	j a p ⁴
g r i ¹	m j i ¹
ˀr a ²	ˀr a ²
k j u ⁴	k j u ¹
tʃ a t ⁴	tʃ a p ⁴
ˀts a m ¹	l u m ¹
dz e n ¹	dʒ i m ¹
g a ⁴	ˀtʃ a k ⁴
s ui ²	ˀs ui ²
b a ¹	b a ¹
g a ¹	g ai ¹
b j a m ¹	b j a m ¹
ŋ a k ⁴	ŋ a k ⁴
ʃ a ¹	ʃ a ¹
k u ²	ˀk u ²
l e ²	ˀl i ²
k j u ŋ ²	k r u ŋ ²
d a ŋ ²	ˀt a ŋ ²
l a m ¹	l a m ¹
b u p ⁴	b u p ⁴
n a ŋ ²	n i ŋ ²
d a m ¹	s a m ¹
i ¹	ʔ ʊ ¹
b j a p ⁴	ˀp j a t ⁴
ˀts a ³	n ai ¹
m r a ŋ ¹	m r a ŋ ¹
m j a ²	m j a ²
ŋ j u ¹	ɲ u ¹
ŋ a n ¹	ˀŋ a n ¹
ˀk r u k ⁴	ˀk r u k ⁴
g i k ⁴	ˀk i k ⁴
k i k ⁴	k i k ⁴
b r a ¹	b r a ¹
p j ɛ ³	p j ɛ ³
ʃ a ¹	ʃ ɛ ¹
l a k ⁴	l a k ⁴
d i k ⁴	ˀt i k ⁴
m i k ⁴	m i k ⁴
ˀts a ²	ʃ o ²
b i ¹	b ui ¹
g a t ⁴	k a t ⁴
ts o k ⁴	ˀts u t ⁴
p u k ⁴	p u k ⁴
m j u k ⁴	m j u k ⁴
g e ²	g r e ²
ˀt a ²	ˀt a ²
ŋ a k ⁴	ˀŋ a k ⁴
