r o ¹	r o ¹
ʔ j a k ⁴	ˀj i k ⁴
ˀŋ j a k ⁴	ŋ j a k ⁴
l a ŋ ³	l a ŋ ³
ʃ a ¹	ʃ ɛ ¹
ˀt ai ²	d ai ²
p u k ⁴	p u k ⁴
dʒ r a ²	dʒ a ²
g a k ⁴	ˀk a k ⁴
l i k ⁴	l i k ⁴
ŋ i k ⁴	s u t ⁴
ˀp u p ⁴	b u p ⁴
ʔ a k ⁴	w a k ⁴
ˀt a ŋ ²	ˀt o ŋ ²
ˀt ɛ k ⁴	d a p ⁴
n i ³	n i ³
g j a ³	g j a ³
ˀts u m ⁴	l u m ¹
s u ²	ʃ o ²
w a m ³	w a m ³
l i ŋ ²	l i ŋ ²
ˀp a ¹	ˀp a ³
l i ²	ˀl i ²
b j a ¹	b r ɛ ¹
b a ²	ˀp r ɛ ²
ˀt a ŋ ²	ˀt a ŋ ²
l i ²	l i ²
g u ²	g u ²
b i ¹	b ui ¹
dʒ a k ⁴	dʒ a k ⁴
ˀk j u k ⁴	g j u k ⁴
w a ŋ ¹	w a ŋ ¹
n i ⁴	m i ³
ˀr i ŋ ¹	ˀr i ŋ ¹
m j a ²	m j a ²
ŋ u ²	ˀɲ u ²
ˀt i ŋ ²	d i ŋ ²
g j a ²	g j a ²
ˀt e ²	dz e ²
ŋ a k ⁴	ˀŋ a k ⁴
ŋ a ¹	ŋ a ¹
b j a ŋ ³	b j a ŋ ¹
k a ¹	k a m ¹
b i ¹	ˀp e ¹
ˀk a k ⁴	tʃ a k ⁴
ˀts u ²	ˀts u ²
m r i ŋ ¹	m r i ŋ ¹
g a ¹	g j e ¹
m j u ¹	m j u ¹
j a k ⁴	m j a k ⁴
d a k ⁴	d a k ⁴
ˀk j a k ⁴	ˀk j a k ⁴
ts a m ¹	ts a m ¹
i ¹	ʔ ʊ ¹
k i k ⁴	k i k ⁴
ˀk j a m ²	g j a m ²
u ²	ʔ ʊ ²
g r a k ⁴	g r o k ⁴
ˀs i ⁴	ˀs e ¹
s i k ⁴	s i k ⁴
l e ¹	l i ¹
ˀt u ⁴	d u ²
b j a ¹	b j a ¹
ˀk a k ⁴	k a k ⁴
g i k ⁴	g i k ⁴
k a ²	k a ²
ŋ u ¹	ɲ u ¹
ˀk a ¹	dz a ¹
ˀt a ²	d a ŋ ²
ˀp j a ŋ ¹	b j i ŋ ¹
ˀk j u p ⁴	k r u p ⁴
b a n ²	b a n ²
k j a ŋ ³	k j a ŋ ³
k o ²	k o ²
g a ŋ ¹	g a ŋ ¹
ʃ a ¹	ʃ a m ¹
ˀts a ²	tʃ u ²
ŋ ui ¹	ŋ ui ¹
w a m ¹	w a m ¹
k a a ³	k a t ⁴
g r a ²	g r a ²
ˀts a ŋ ³	tʃ a ŋ ³
dʒ a k ⁴	ˀtʃ a p ⁴
k i ³	ˀk j ai ³
a a p ⁴	tʃ a p ⁴
ˀk a ²	ˀk j i ²
t a ŋ ¹	t a ŋ ¹
d u ŋ ¹	d u ŋ ¹
ˀp a ²	ˀp a ²
ʃ a n ²	ʃ a n ²
n a ŋ ¹	n a ŋ ¹
d a t ⁴	d a t ⁴
ˀts e ³	tʃ i ²
ˀr a ²	ˀr o ²
j a p ⁴	j a p ⁴
l a m ¹	l a m ¹
b a n ¹	b a n ¹
p a ³	p a ³
k ɛ k ⁴	k a p ⁴
n a p ⁴	n a p ⁴
d u ¹	d ʊ ¹
j i m ¹	ˀj i m ¹
b i ¹	b i ¹
b j a ¹	b j a m ¹
w ai ¹	w ai ¹
ˀt a p ⁴	ˀt a p ⁴
s i t ⁴	ˀs a k ⁴
ŋ j a p ⁴	ŋ j a t ⁴
t a m ³	t a ŋ ³
ˀk a a ⁴	ˀk a m ¹
ˀk r u k ¹	g r u k ⁴
s i ŋ ²	s i ŋ ²
m u ¹	m u ¹
ˀts e ¹	tʃ i ¹
n a ⁴	ˀtʃ a k ⁴
g j i k ⁴	k j i k ⁴
m r a ŋ ¹	m r a ŋ ¹
ˀt a ŋ ¹	d a m ¹
w a ¹	w a ¹
b i k ⁴	ˀp i k ⁴
b i k ⁴	b i k ⁴
k j a m ¹	k j a m ¹
g j a k ⁴	ˀk j a p ⁴
t a ³	ˀt a ³
s ɛ ³	s ɛ ³
b r i ŋ ³	b r i ŋ ³
ˀp r a ²	b j e ²
ˀn ai ³	ˀn ai ³
ˀŋ ai ¹	ŋ ai ¹
r a ¹	k r a ¹
ˀk i a ⁴	ˀs u t ⁴
m a k ¹	m a k ⁴
s ui ²	ˀs ui ²
j a ¹	j a ¹
