l a ²	l a ²
ˀl y ³	ˀl y ³
l a ²	l a ²
kʰ o ³	kʰ j o ³
l y̠ ³	ˀl y̠ ³
tʰ a ŋ ³	tʰ u ³
d u ¹	t u ¹
m a ²	m a ²
tsʰ y ¹	tsʰ y ¹
pʰ i ²	pʰ i ²
t u ¹	t u ¹
kʰ o̠ ³	kʰ o̠ ³
m a ³	m a ³
m a ³	m a ³
dz i ¹	dz ɿ ³
n i ²	n i ²
h a ¹	h a ¹
ɣ i ¹	ɣ i ¹
k u ²	k u ²
b o ¹	b ɨ̠ ¹
ˀl i ²	ˀl i ²
dz e ¹	dz e ¹
n e̠ ³	n i̠ ³
k a ¹	z ɛ ¹
n a ²	n a ²
tʃʰ ɨ ¹	tʃʰ ɨ ¹
g u ³	g u̠ ³
ˀn a ³	ˀn i ³
v u ²	v i ²
a ¹	a ²
dʒ i ³	dʒ i ³
ˀn i ³	ˀn i ³
b y ²	b y ²
k o ³	k o ¹
b j ɛ̠ ³	b j a̠ ³
b o ²	b o ²
kʰ ɛ ³	kʰ ɛ ²
ɣ a ŋ ²	ɣ a ŋ ²
ɣ i ¹	ɣ i ¹
tʃ u ¹	tʃ ɛ ¹
ts a ³	ts a ³
l i ³	ˀl u̠ ¹
m a ³	m a ³
b a ²	b a ²
ʒ o̠ ³	ts o̠ ¹
g y ²	g y ²
g o̠ ³	g o̠ ³
n̩ ²	n i ²
s y ²	s y ²
e ²	e ²
ɣ a ŋ a ³	b j y ¹
n i ²	n i ²
ɣ i ¹	ɣ i ¹
dz i ¹	dz i ¹
kʰ ɨ ¹	kʰ ɨ ¹
n i ²	n i ²
x ɛ ²	x ɛ ²
k a ¹	k j i ³
ɣ ɛ ²	ɣ ɛ ²
g a ²	g j a ²
b e̠ ¹	b e̠ ¹
x a ¹	k u ³
ts a ³	ts a ³
tsʰ a ²	tsʰ a ²
g i̠ ¹	tsʰ i̠ ³
v e ³	ˀv ɛ ²
ˀl y ²	ˀl y ²
tsʰ a ŋ ¹	tsʰ a ŋ ¹
v a ¹	v u ¹
a ¹	a ¹
z a ²	z a ²
a ¹	a ¹
pʰ e̠ ³	pʰ e̠ ³
p i ²	p i ²
a ¹	a ¹
ts i̠ ³	ts i̠ ³
kʰ o̠ ³	kʰ o̠ ³
tʃʰ o̠ ¹	tʃʰ o̠ ¹
p ɛ ³	p ɛ ¹
b i ³	b i ³
t a ¹	t u ¹
z a ²	z a ²
d i ²	d i ²
m o ²	m o ²
l a ²	l a ²
g o ¹	g u ¹
t a ŋ ¹	t a ŋ ¹
k a ŋ ³	k u ³³
ˀn y ¹	ˀn y ¹
h a ŋ ²	h a ŋ ²
n e̠ ²	ˀn e̠ ³
ʒ o̠ ¹	ʒ o̠ ¹
z i ³	z i ³
n y ¹	ˀn y ¹
kʰ y ¹	kʰ y ¹
m a ³	m a ³
z a ²	s u ¹
pʰ u ¹	pʰ e̠ ¹
h a ²	h ɛ ²
ˀv ɛ̠ ¹	ˀv ɛ̠ ¹
s i ¹	ʃ y ¹
tʰ u ²	d u ¹
l i ³	ˀl i̠ ³
l a ²	l a ²
t a ³	t a ³
g u ²	g ɨ ²
m o̠ ³	m o̠ ¹
t e̠ ¹	t i̠ ¹
ʃ ɛ ¹	ʃ ɛ ¹
s a ¹	s a ¹
ˀn ɛ̠ ³	ˀn ɛ̠ ³
h e ¹	h e ¹
n u i ²	ŋ i ²
ˀl i ²	l i ²
g o ²	g u ²
ɣ i ¹	ɣ u ²
tsʰ ɛ̠ ¹	tʃʰ ɛ̠ ¹
v ɛ̠ ²	v y ²
b i ¹	b ɨ̠ ¹
ɣ a ŋ ¹	ɣ a ŋ ¹
ʃ ɛ ¹	ʃ ɛ ¹
tsʰ ɛ ¹	tsʰ ɛ ³
ts o ¹	ts i ¹
v i̠ ¹	ˀv i̠ ³
k y ²	kʰ y ²
