u ¹	ʔ ʊ ¹
g u k ⁴	g u k ⁴
d a ŋ ¹	d a m ¹
g i n ²	g a n ²
s ɛ ³	s ɛ ³
g j e ¹	g j e ¹
j a ¹	j a ŋ ¹
ˀs i ⁴	ˀs e ¹
ˀr a ²	ˀr a ²
a ⁴	ʔ a p ⁴
ŋ ai ¹	ŋ ai ¹
j a m ¹	j a m ¹
ˀts a k ⁴	ts a p ⁴
p a ŋ ¹	p a ŋ ¹
n ɛ ¹	n ɛ ¹
ˀp a ²	ˀp a ²
ˀn a ¹	ˀn a ¹
d u ¹	d ʊ ¹
a m ¹	ʔ a m ¹
m u ²	m u ²
d i ³	ˀt i ³
p a ³	p a ³
r a ¹	k r a ¹
t u ŋ ¹	t a ŋ ¹
ŋ a ¹	ŋ a ¹
ˀk a ŋ ⁴	k a t ⁴
m ɛ ²	m a t ⁴
k j a ŋ ³	k j a ŋ ³
ˀk a m ⁴	ˀk a m ¹
ŋ a ¹	ˀŋ a ¹
ˀk a t ⁴	ˀp a t ⁴
p r o ¹	p r o ¹
d i ŋ ²	d i ŋ ²
b j a t ⁴	b j a k ⁴
m i k ²	m i k ⁴
p i k ⁴	p i k ⁴
w a k ⁴	w a p ⁴
ˀt a ²	ˀt a ²
k j ɛ p ⁴	k j a p ⁴
ŋ j ɛ p ⁴	ŋ j a t ⁴
l i k ⁴	l i k ⁴
ˀts i ⁴	ˀts ai ¹
g a k ⁴	g r a k ⁴
k a ¹	k a m ¹
ˀr a k ⁴	ˀr a k ⁴
m a ³	m a ³
g r a ²	g r a ²
j i m ¹	ˀj i m ¹
ʃ a ²	ʃ a ²
ˀk a t ⁴	ˀk a t ⁴
t a k ⁴	t a k ⁴
d u ¹	d u ²
ʔ a ¹	ʔ a ¹
ŋ a t	ŋ a n ¹
m a ŋ ²	m a ŋ ²
ʃ a ¹	ʃ a m ¹
j a n ²	dz a n ²
ˀn a p ⁴	ˀn a p ⁴
ʃ a ¹	ʃ i ³
d i ²	dz e ²
ŋ a n ¹	ˀŋ a n ¹
g j a k ⁴	ˀk j a p ⁴
t a ²	ts a ²
ˀs i ²	ˀs ai ²
ˀŋ j a k ⁴	ŋ j a k ⁴
k ɛ k ⁴	k a p ⁴
j a t ⁴	ˀtʃ a t ⁴
m r i ŋ ¹	m r i ŋ ¹
l a p ⁴	ˀl a p ⁴
tʃ ɛ p ⁴	tʃ a p ⁴
m j a ŋ ²	m j a ŋ ²
m i ²	m e ²
i ¹	n i ¹
w ai ¹	w ai ¹
ˀp j a ŋ ¹	b j a ŋ ¹
ˀt ɛ k ⁴	d a p ⁴
n i k ⁴	n i k ⁴
b i k ⁴	b i k ⁴
l i ²	l i ²
b j ɛ ¹	b r ɛ ¹
g j u k ⁴	ˀk j u ¹
dʒ ɛ p ⁴	dʒ a p ⁴
b i ²	b i ²
ʃ u k ⁴	ʃ u k ⁴
l i ŋ ²	l i ŋ ²
g a k ⁴	ˀk a k ⁴
d a k ⁴	d a k ⁴
a k ⁴	r a k ⁴
p j ɛ ³	p j ɛ ³
ˀk j o b ¹	k r u p ⁴
g a m ¹	g a m ¹
ŋ u ¹	ɲ u ¹
j u k ⁴	r u k ⁴
b i ¹	b i ¹
ˀk j u k ⁴	g j u k ⁴
m i ŋ ¹	m i ŋ ¹
j i p ⁴	j i p ⁴
ˀk u ³	ˀtʃ a k ⁴
g j a ²	g j a ²
m i ²	n e ²
m u ⁴	m u ¹
j a ⁴	ˀn i k ⁴
g i k ⁴	ˀk i k ⁴
m a ŋ ³	m a ŋ ³
g u ²	g u ²
tʃ a t ⁴	ˀts a t ⁴
k j i ¹	ˀk j ai ³
ˀt a p ⁴	ˀt a p ⁴
m j u k ⁴	m j u k ⁴
b j i ŋ ¹	b j i ŋ ¹
ˀn a m ¹	ˀn a m ¹
g j u k ¹	g r u k ⁴
ˀp j u ¹	ˀp r o ¹
b a ³	ˀp a ³
t u ŋ ²	t u ŋ ²
k j u ¹	k j u ¹
m r u ¹	m j u ¹
ˀn a ŋ ¹	ˀn a ŋ ¹
ˀk j a m ²	g j a m ²
dz u d ⁴	ˀts u t ⁴
b j a m ¹	b j a m ¹
ʃ a n ²	ʃ a n ²
b r i ŋ ¹	b r i ŋ ¹
w a m ³	w a m ³
g i ²	g r e ²
a k ⁴	w a k ⁴
ˀk j a k ⁴	ˀk j a k ⁴
ˀk j a ³	g j a ³
w a ¹	w a ¹
s i ŋ ²	s i ŋ ²
b j a ⁴	b j a ¹
l i ¹	l i ¹
ˀp j i k ⁴	b j i k ⁴
ˀp i ŋ ³	b i ŋ ³
