ʕ ʃ t	ʕ a ʃ t
k i n	k w n
g r d	g r ð
r b w	r b j
k m m	k m
ʕ i ɬ r	ʕ i ɬ r uː
ʔ m d n	m d iː n
g b b	g a b b
ɬ j x	ɬ j x
p d j	p d j
sˤ b ɣ	sˤ b ɣ
r ħ	r aː ħ a t
ð u b b	ð b b
ɬ i ʕ r	ɬ a ʕ r
l ħ t	l ħ j a t
ʔ n ʃ	ʔ n ʃ
x l qˤ	x l qˤ
p a r ʕ	p a r ʕ
qˤ r	qˤ r b
ʔ a tˤ a d	ʔ a tˤ a d
θ b r	θ b r
j a r b ʕ	j a r b ʕ
b a r sˤ	b r sˤ
p	p a j
w r d	w r d
ʃ r p	ɬ r p
g j j	g a w i ʔ
qˤ r d	qʷˤ r d
b k	b i k a j
n a sˤ a	n a
s k r	s k r
ħ k k	ħ k k
ɣ d r	ɣ d r
sˤ a l l l	sˤ l
p a x r	p x r
ħ r a ʃ	ħ r ʃ
s n uː n t	s n uː n a t
b x r	b x r
ʃ x n	ʃ x n
k a l b	k a l b
l	x l
tˤ aː b	tˤ j b
k i p p a	k p
ʔ a n t i	ʔ a n t i
m n	m n
r ʔ m	r i ʔ m
ɣ p	ɣ p
m h r	m u h r
j ʕ r	w
x j l	x j l
d i b ʃ	d i b ʃ
qˤ tˤ p	qˤ tˤ p
ʃ i n a t	ʃ i n a t
ʔ i t	ʔ i t
tˤ ħ n	tˤ ħ n
ʔ b r	ʔ b r
ʕ m	ʕ m s
ʕ l j	ʕ l j
n a ħ l	n ħ l
r m	ɬ r m
ʕ a d	ʕ a d a j
ʔ d m qˤ	d m qˤ
ʔ k l	ʔ k l
m	s m k
ʃ	ʃ u
b l j	b l j
k θˤ r	k i
ʃ l ʃ	ɬ a l aː θ
s	s ħ
ʔ a l	ʔ a j l
qˤ i θ θ ʔ	qˤ θ ʔ
θ qˤ l	θ qˤ l
p a r ɬˤ	p a r ɬˤ
l a qˤ l a qˤ	l a qˤ l a qˤ
ɬ a p p r	ɬ p r
m r r	m r r
p l ħ	p l ħ
