kʰ a ²	kʰ a ²
l a ²	l a ²
k a ²	k a ŋ ²
x a̠ ³	x a̠ ³
dz i ¹	dz i ¹
m o̠ ³	m o̠ ³
tʃʰ ɨ ²	tsʰ ɿ ²
p ɨ ²	p ɨ ²
n e̠ ³	n e̠ ³
d o̠ ³	t o̠ ³
m ɨ ³	m ɨ̠ ³
ʃ ɛ ¹	ʃ ɛ ¹
g u ³	g o ŋ ³
tʃʰ u ³	t o̠ ³
ʒ i̠ ³	ʒ i̠ ³
k a ŋ ³	k a ŋ ²
tʰ a ²	tʰ a ŋ ²
m ɛ ²	m u ²
a ¹	a ¹
ʃ ɛ ¹	s e ¹
¹ ¹ ³	h e̠ ³
ˀm ɛ ¹	ˀm ɛ ¹
kʰ u ²	kʰ o ²
g a ³	g a ³
dz e ¹	dz e ¹
¹ ¹ ¹	ˀn i ¹
p a̠ ³	p a̠ ³
kʰ a ²	kʰ a ²
u i̠ ŋ ³	x i̠ ³
ˀl a ŋ ³	ˀl u ²
m a ŋ ²	m a ŋ ²
pʰ i ²	pʰ i ²
d e̠ ¹	d e̠ ¹
tsʰ e ¹	k i ¹
tʃʰ i̠ ²	tʃʰ i ²
t i ¹	t i̠ ¹
tsʰ y ¹	tsʰ y ¹
l y ¹	ˀl y ¹
s y ²	s ɛ ²
t i ²	t i ²
kʰ o ³	kʰ j o ³
ʒ a ¹	ts a ¹
a ¹	a ¹
tsʰ ɛ ¹	tsʰ ɛ ¹
tʃʰ a ŋ ¹	tʃʰ u ¹
a ¹	a ¹
a ¹	a ¹
d ɛ ²	d ɛ ²
b o̠ ¹	b o̠ ¹
ˀn o ³	n i̠ ³
tʃʰ i ²	tʃʰ i ²
ɣ ɨ ¹	ɣ i ¹
k a ²	k j o ²
ˀn i ³	ˀn i ³
b o ²	b o ²
a ¹	a ¹
pʰ j a ŋ ¹	pʰ j a ¹
¹ ¹	e̠ ¹
¹ ¹ ³	s i̠ ¹
m i ¹	ˀm u ²
kʰ u ¹	kʰ u ¹
b i ¹	p ɨ ¹
ˀx e ¹	x e ¹
kʰ a ³	kʰ o̠ ³
n a̠ ¹	n a ¹
g a ¹	g a ¹
dz e ²	dz e ²
n e̠ ¹	n e̠ ¹
n ɛ ¹	n e ¹
d e̠ ¹	d e̠ ¹
ɣ ² e ¹	ʃ y ¹
a ¹	a ¹
kʰ u ²	kʰ o ²
dʒ ɛ ³	ts ɛ̠ ³
d o̠ ³	t o̠ ³
ɣ e̠ ¹	ɣ e̠ ¹
ʃ ɛ ¹	ʃ ɛ ¹
¹ ɛ ¹	ʃ ɛ ¹
kʰ a ³	k a̠ ³
l u ¹	l u ¹
d y ²	d y ²
l e̠ ³	l e̠ ³
pʰ a ŋ ³	pʰ u ³
tʃ u ¹	tʃ a ŋ ¹
m ²	m u ²
s i̠ ¹	s i̠ ¹
ɣ ɨ ²	kʰ o ²
¹ i ¹	ˀl i ³
a ¹	a ¹
ʃ u ¹	ɣ u ²
i ²	i ²
a ¹	a ¹
n u ²	ŋ i ²
g j y ¹	g y ¹
pʰ e̠ ¹	pʰ e̠ ¹
b o ³	b o ³
u u ²	ˀn e̠ ³
ʒ i̠ ³	ts o̠ ¹
dʒ i ¹	dʒ e ³
g u ³	g u̠ ³
tʃʰ i̠ ³	tʃʰ i̠ ³
l i ¹	ˀl i ¹
pʰ i ³	pʰ e ¹
s a ¹	g a ¹
pʰ a ŋ ¹	pʰ j a ¹
tʃ a ³	tʃ a ³
dz i ¹	dz i ¹
l a ²	l a ²
a ¹	a ¹
v e ³	ˀv ɛ ²
¹ ɛ ¹	ɲ e ¹
k a ŋ ¹	k u ¹
s i̠ ¹	s i̠ ¹
l a ŋ ¹	l a ŋ ¹
u a ¹	x a ¹
n i ¹	ɲ a ²
ˀn a ²	ˀn a ²
t e ¹	t i ¹
kʰ a ¹	kʰ a ¹
tʃ a ŋ ³	tʃ ɛ̠ ³
g j i ¹	g ɨ ¹
dz i ¹	dz ɿ ³
pʰ a ³	pʰ o̠ ¹
ɲ e ¹	n e ¹
d e ¹	d e ¹
v u ²	v a ŋ ²
k u ³	k u ³³
m u ²	m j a ²
tʃʰ i ¹	ts i ¹
ˀn i ³	ˀn i ³
