ŋ a k ⁴	ˀŋ a k ⁴
e ¹	tʃ i ¹
m j u k ⁴	m j u k ⁴
d a t ⁴	d a t ⁴
d o ²	d o ²
m j u ¹	m j u ¹
s r a ²	ˀk j u ³
k i ²	tʃ i ²
r i ²	n i ŋ ²
m i ŋ ¹	m i ŋ ¹
j a p ⁴	j a p ⁴
k m i k ⁴	ˀk i k ⁴
a ŋ ¹	p a ŋ ¹
w u t ⁴	w a p ⁴
ʃ u m ²	s u m ²
a ²	dʒ ui ²
ˀl a ⁴	l a ³
k a ŋ ¹	n a ŋ ¹
d i k ⁴	ˀt i k ⁴
ŋ u ¹	ŋ ui ¹
b j a k ⁴	b j a k ⁴
l a k ⁴	l a k ⁴
l i ¹	l i ¹
a m ¹	ʔ a m ¹
m a k ¹	m a k ⁴
d i k ²	d i ŋ ²
l i k ⁴	l i k ⁴
dz a ²	ˀt a ŋ ²
m a ⁴	m a ³
m i ²	m e ²
ŋ a m ¹	ˀŋ a n ¹
dz i k ⁴	ˀs u t ⁴
b j a m ¹	b j a m ¹
w i ¹	w ai ¹
k a m ²	t a ŋ ³
ˀp a ²	ˀp a ²
a m ¹	ts a m ¹
m ai ¹	ˀm ai ¹
k j a ⁴	g j a ³
k a ²	k o ²
ʃ a ¹	ʃ a ŋ ¹
k j a ŋ ³	k j a ŋ ³
m a ŋ ²	m a ŋ ²
dz i m ¹	dʒ i m ¹
g r u k ¹	g r u k ⁴
ʃ u k ⁴	ʃ u k ⁴
ˀɲ i ⁴	n i ³
m a ²	m a t ⁴
ˀk r u k ⁴	ˀk r u k ⁴
s a p ⁴	ˀn a p ⁴
a ²	p a ³
b i ²	b i ²
m u ²	n e ²
b a m ²	b a n ²
ŋ a ²	ŋ a ²
p r i ŋ ¹	b j i ŋ ¹
d a ²	tʃ u ²
k a ŋ ¹	g a ŋ ¹
d u ²	ˀt a ²
ʃ a ¹	ʃ ɛ ¹
a p ⁴	dʒ a p ⁴
r o ¹	r o ¹
j a ¹	j a ŋ ¹
j a ¹	p j a ¹
m i ⁴	m i ³
l a ŋ ⁴	l a ŋ ³
d a p ⁴	ˀt a p ⁴
k a ŋ ³	tʃ a ŋ ³
u ŋ ²	ʔ u ŋ ²
m a ŋ ³	m a ŋ ³
ˀp u k ⁴	p u k ⁴
p r a ¹	b j a ¹
ŋ j a ŋ ²	j a ŋ ²
k a ¹	k a m ¹
j a ¹	j a ¹
ʃ a k ²	ʃ a n ²
l u m ⁴	l u m ¹
s i k ⁴	ˀp i k ⁴
g i ²	g r e ²
b a k ¹	b a n ¹
k a ŋ ²	g a ŋ ²
r a t ⁴	tʃ a p ⁴
l i ²	l i ²
k r e ⁴	g j e ¹
s a m ¹	ˀn a m ¹
m i k ²	t i ŋ ³
k a t ⁴	ˀtʃ a t ⁴
r a m ²	n a m ²
p a ²	b a ³
b u m ¹	b u m ¹
g u k ⁴	g u k ⁴
k j a p ⁴	k j a p ⁴
m k a k ¹	m j i ¹
r u ²	d ʊ ²
ˀp i k ⁴	p i k ⁴
d a k ²	d a p ⁴
k j a ¹	g j ɛ ¹
j i k ⁴	ˀj i k ⁴
ˀk j a ⁴	ˀk j u ¹
ˀk a k ⁴	k a k ⁴
u ²	ˀt o ŋ ²
k a ¹	ˀŋ a ¹
m a m ³	m a n ³
b j a ¹	b r i ŋ ¹
ˀk a m ¹	g a m ¹
j u k ⁴	j u k ⁴
t a k ⁴	t a k ⁴
j a m ¹	j a m ¹
ˀp j a ²	ˀp r ɛ ²
k ai ¹	g ai ¹
d a ŋ ¹	d a m ¹
t u ŋ ²	t u ŋ ²
r i ¹	n i ¹
n i k ⁴	n i k ⁴
r a ²	dʒ a ²
i ŋ ⁴	dʒ i ŋ ³
s ai ⁴	ˀn ai ³
g j r a ⁴	g r a ³
k u ⁴	n u ³
a k ⁴	tʃ a k ⁴
r a k ⁴	r a k ⁴
ˀk u ²	ˀk u ²
k r a m ²	g j a m ²
ˀl a ŋ ²	l a ŋ ²
b i m ¹	b ui ¹
k j i ⁴	b j e ²
r a ²	ts a ²
s a k ²	s a n ²
k a k ²	g a n ²
t a ³	ˀt a ³
a k	ŋ a n ¹
b a ¹	b a ¹
k j a k ⁴	ˀk j a p ⁴
ˀp a ⁴	ˀp a ³
g u ²	g u ²
s i k ⁴	s i k ⁴
p a ¹	b j ɛ ¹
n a ¹	n ɛ ¹
j a k ⁴	j a k ⁴
k j u t ⁴	g j u k ⁴
a ⁴	ˀts ai ¹
i t ⁴	j i p ⁴
b ai ¹	b i ¹
r a ⁴	ˀn i k ⁴
a k ⁴	ʔ a p ⁴
k a ²	k ai ²
k a t ⁴	k a t ⁴
s i ŋ ²	s i ŋ ²
b j a ¹	b r ɛ ¹
ˀk u ²	ˀk ui ²
k j a m ¹	k j a m ¹
r a k ²	dz a n ²
a ²	ˀs ai ²
s a ¹	ˀn a ¹
a k ⁴	ts a p ⁴
g r a k ⁴	g r a k ⁴
ˀr a ²	ˀr o ²
ŋ a k ²	ŋ a k ⁴
ˀp j a ŋ ¹	b j a ŋ ¹
k i k ⁴	k i k ⁴
ŋ a k ⁴	n a p ⁴
k j a ¹	k j u ¹
m r a ŋ ¹	m r a ŋ ¹
ˀp r u ¹	p r o ¹
k a k ⁴	k a p ⁴
i ⁴	ˀs e ¹
d a k ¹	ˀt a k ⁴
a k ⁴	dʒ a k ⁴
b i k ⁴	b u p ⁴
ʃ i ²	ʃ e ²
r a ⁴	k r a ¹
a k ⁴	w a k ⁴
r u k ⁴	r u k ⁴
dz i ¹	dz i ŋ ¹
s a ²	s ɛ ²
s a ⁴	ʃ a ¹
u ²	ʔ ʊ ²
s i ŋ ¹	ˀr i ŋ ¹
dz u ²	ˀts u ²
k r a ŋ ¹	k j a ŋ ¹
w a ¹	w a ¹
k a ŋ ¹	ˀn a ŋ ¹
r a t ⁴	ˀk a t ⁴
a ¹	ʔ a ¹
ʃ a ¹	ʃ i ³
d a m ²	d a ŋ ²
ˀk j a k ⁴	ˀk j a k ⁴
w a m ⁴	w a m ³
k i k ⁴	g i k ⁴
m a k ²	m i k ⁴
a k ⁴	ˀtʃ a p ⁴
ʃ a ³	s ɛ ³
w a ŋ ¹	w a ŋ ¹
ˀŋ j a k ⁴	ŋ j a k ⁴
m j i ŋ ¹	m r i ŋ ¹
j a ³	p j ɛ ³
