tʃʰ i̠ ¹	ˀm j y̠ ¹
ɣ u ²	b ɛ ²
a ¹	a ¹
k a ²	tʰ u ²
dz e ¹	dz e ¹
m o ¹	m o ¹
a ²	a ²
ˀx ɛ ¹	kʰ a ²
m ¹ ²	m j a ²
dz i ³	dz i ²
k e ¹	n i ¹
t a ²	t a ²
d e̠ ¹	d e̠ ¹
kʰ i ²	kʰ i ²
ɣ ɨ ¹	ɣ i ¹
z i ²	dz i ²
dʒ a ¹	dʒ e̠ ¹
kʰ o ²	kʰ o ²
n u ²	n u ²
tʃʰ e ¹	tʃʰ e ¹
ˀm j ɛ ²	ˀm ɛ ²
ɣ a ŋ ²	v a ²
ɲ e̠ ¹	ˀn i̠ ¹
a ²	a ²
g j u ³	g o ŋ ³
p a ¹	p a ¹
t e ¹	d e ¹
t e ³	t a ³
dz e ¹	dz e ¹
ˀl o̠ ¹	ˀl o̠ ¹
t u ¹	t u ¹
s u ¹	s a ¹
kʰ ɨ ²	kʰ a ²
k o ¹	pʰ u ²
ˀn e ²	n i ²
s o ¹	s u ¹
ts ɨ ²	ts i ²
d y ¹	d y ¹
p a̠ ²	b ɨ ²
a ¹	a ¹
tsʰ o̠ ¹	tʃʰ o̠ ¹
ˀx i ³	x ɨ̠ ³
ʒ a ²	z a ²
z a ²	z a ²
s ɛ ²	s ɛ ²
h e̠ ² ³	h e̠ ³
d e ¹	d e ¹
dʒ ɛ ¹	dʒ ɛ ¹
b y ²	b y ²
m a ³	m a ³
g a ³	g a ³
l o̠ ³	ˀl o̠ ³
ʒ y ³	ts y ³
m a ³	m a ³
s i̠ ¹	s i̠ ¹
tʃʰ a ²	dʒ ɛ ²
g a ¹	g a ¹
m o̠ ²	m o̠ ¹
ˀm j ɛ ¹	ˀm ɛ̠ ¹
d e̠ ¹	d e̠ ¹
g j u ¹	x i ³
g a̠ ¹	g ɛ̠ ¹
b i ¹	b o ¹
b o ¹	p ɛ ¹
kʰ u ³	kʰ a ŋ ²
ŋ a ²	ŋ a ²
m a ³	m a ³³
kʰ y ²	kʰ j o ²
p ɨ ¹	p ɨ ¹
ˀn e ³	n e ³
tʃ a ³	tʃ a ³
ˀn o ²	n e ²
g i ¹	g i ¹
k j ɛ ²	k j ɛ ²
pʰ a ¹	pʰ j a ¹
ɣ e ¹	n i̠ ¹
t e ¹	t i ¹
m e ¹	m e ¹
tsʰ e ²	tsʰ i ²
ɲ ɛ ¹	ɲ e ¹
a ¹	a ²
ˀn i ³	ˀn i ³
ɣ ɨ ³	ɣ i̠ ³
ˀm j y ²	ˀm y ²
ɲ i̠ ³	n i̠ ³
ts ɛ ³	tʃ ɛ̠ ³
ˀl u ¹	l u ³
m e̠ ³	ˀm e̠ ³
x a̠ ³	x a̠ ³
s a ³	j a ŋ ²
ɲ u ³	n e̠ ³
pʰ e ³	p e̠ ³
n i̠ ¹	n i̠ ¹
b o ²	b o ²
v e̠ ³	v e̠ ³
ɣ i ¹	dz i ²
a ¹	a ¹
ʒ i ³	ts i ³
ʃ ɛ ¹	ʃ ɛ ¹
k e̠ ¹	k o̠ ¹
kʰ i̠ ¹	kʰ u ¹
b y ²	b o ²
t o̠ ³	t o̠ ³
t a ŋ ¹	t a ŋ ¹
n a ²	n a ²
s i̠ ²	s e ²
a ²	a ²
kʰ a ŋ ²	kʰ a ŋ ²
ʒ o̠ ³	ʒ o̠ ³
pʰ i ²	pʰ e ²
m a ³	m a ³
h a ³ ³	h e̠ ³
m u ²	m j u ²
kʰ a ¹	kʰ ɨ̠ ³
p i ¹	pʰ e̠ ¹
v i̠ ³	v i̠ ³
ɣ ɛ ²	ɣ ɛ ²
tʃ u ¹	tʃ a ŋ ¹
p e̠ ²	p e ³
kʰ ɛ ²	kʰ j ɛ ²
a ²	a ²
v ɛ ³	ˀv ɛ ²
m ²	m u ²
pʰ e̠ ¹	pʰ e̠ ¹
s u ¹	pʰ u ³
ɣ a ¹	s e ¹
m y ¹	m y ¹
m o̠ ²	m o ²
b ɛ ³	ts ɛ ³
d ɛ ²	d ɛ ²
k o̠ ³	t u ³
p a ³	p a̠ ³
d u ²	d u ¹
s i̠ ³	s i ³
b i ³	b i ³
k e̠ ¹	k j o ¹
m i̠ ³	m ɛ ³
l a ²	l a ²
ʒ e ¹	m j a ²
l u ¹	l u ¹
kʰ a ²	kʰ a ²
ʃ a ¹	ʃ a ¹
g a ²	g j a ²
ʒ i ¹	ɣ ɛ ¹
z a ²	z a ²
b j a ²	b a ²
kʰ ɛ̠ ¹	kʰ a̠ ¹
tʃ a̠ ³	tʃ a̠ ³
tsʰ a ¹	tsʰ a ¹
m i̠ ¹	m u ²
ʃ ɛ ¹	ʃ ɛ ¹
d a ²	d a ²
s u ¹	d u ¹
a ¹	a ¹
tʃʰ e ³	d i ³
d a ¹	d a ¹
ts i ³	ts i̠ ³
d e ¹	d i ¹
tsʰ ɨ ¹	tʃʰ ɨ ¹
ʃ a ¹	h a ¹
ʒ o̠ ²	ʒ o̠ ³
k a ³	k a̠ ³
ɣ i ¹	ɣ i ¹
ˀl y ²	ˀl y ²
s i̠ ³	ʃ ɨ̠ ¹
dz i ³	dz ɿ ³
d o̠ ³	d a ²
tsʰ u ¹	tsʰ u ¹
dz y ¹	dz y ¹
d u ¹	d u ¹
pʰ i ¹	pʰ e ¹
ɣ y ¹	tsʰ y ¹
ɲ j a ²	ɲ a ²
v a ¹	v a ³
p i ²	p j ɨ ²
l i̠ ³	l e̠ ³
k e̠ ³	k e̠ ³
tʰ u ¹	tʰ u ¹
b e̠ ³	b e̠ ³
ʒ i ¹	tsʰ i ¹
kʰ j ɨ ¹	kʰ ɨ ³
kʰ ɛ ²	kʰ j ɛ ²
b a ŋ a ŋ ¹	b j y ¹
pʰ y ŋ ²	pʰ y ²
tsʰ a ¹	tsʰ a ¹
m a ³	m a ³
s ɛ ²	s ɛ ²
b o̠ ³	b o̠ ¹
k o̠ ¹	k a ¹
ɣ a ¹	g ɨ ¹
kʰ o ¹	kʰ o ¹
ɣ y ¹	ɣ a ŋ ¹
tsʰ i ²	tʃʰ u ²
ɣ e̠ ²	m ɨ ²
n u ¹	n u̠ ¹
kʰ e̠ ¹	kʰ e̠ ¹
ʃ e ¹	x e ¹
t a ³	t a ³
n e̠ ¹	n i̠ ¹
ˀl y ³	ˀl y ³
z a ²	z a ²
a ¹	a ¹
ʃ i ³	ʃ i̠ ¹
ts i ¹	ts i ¹
ts e ¹	tʃ e ¹
kʰ o̠ ³	kʰ o̠ ³
a ¹	a ¹
tʰ u ¹	tʰ u ³
a ¹	a ²
a ¹	a ¹
h o̠ ²	h e ¹
k o ³	k o ¹
b a ²	b a ²
kʰ o ³	kʰ y̠ ¹
ɣ i ³	dz ɛ̠ ³
kʰ y ²	kʰ y ²
ˀn a ¹	ˀn a ¹
z a ²	z a ²
ɣ ɨ ¹	ɣ i ¹
s o ¹	s i ³
s a ²	s a ²
a ¹	a ¹
ʒ i ¹	kʰ i ¹
b o ³	b o ³
m ɨ ³	m ɨ̠ ³
tʰ e ³	t i̠ ³
a ¹	a ¹
dz a ¹	dz a ŋ ¹
ˀm e ¹	m i ¹
a ¹	a ¹
t u ³	t e̠ ³
tʃʰ u ¹	d u ¹
ˀm j y̠ ¹	ˀm y̠ ¹
n a̠ ²	n ɛ ²
ˀl a ²	ˀl a ²
ˀx y ¹	x y ¹
l a ŋ ¹	l a ŋ ¹
ˀn ɛ̠ ³	ˀn ɛ̠ ³
h e̠ ²	h ɛ ²
ts i ²	ts i ²
s a̠ ²	ʃ a̠ ³
s e ¹	h ɛ̠ ¹
kʰ y ¹	kʰ y ¹
dz e ¹	dz e ¹
dz i ³	dz i ³
ɣ u ¹	pʰ u ¹
dʒ ɛ ¹	dʒ ɛ ¹
l i̠ ³	l e̠ ³
ɣ y ¹	ˀx a ¹
ɣ a ²	n u ²
d e̠ ³	tʃ e̠ ³
d a ¹	t a ŋ ³
kʰ o̠ ²	kʰ u ²
t a̠ ³	t a̠ ³
k u ²	ts u ²
ʒ i ²	ʒ i̠ ³
ˀm e̠ ¹	ˀm j e̠ ¹
ɣ ɛ ²	s ɛ ²
ˀx ɨ ³	x ɨ̠ ³
h i ²	ɣ a̠ ³
ˀm ɛ ¹	ˀm ɛ ¹
g a ²	g i ¹
ʃ u ³	s e ¹
t o̠ ³	t o̠ ³
ɲ i ³	ˀn i ³
a ¹	a ¹
k a ³	d a ŋ ¹
tʰ a ŋ ²	tʰ a ŋ ²
m a ³	m o ²
s o ¹	ɣ u ²
b j a ²	b a ²
k e̠ ²	k j ɛ ²
ˀl u ¹	ˀl u ¹
m e̠ ³	m e̠ ³
kʰ u ²	kʰ o ²
pʰ i ¹	pʰ e̠ ¹
ɣ a ¹	ˀv a ¹
g j u ²	g o ŋ ¹
s o ¹	g a ŋ ³
kʰ a ¹	kʰ a ²
z y ²	z y ²
dz a ²	dz a ²
b o ²	b o ²
l y ²	l y ²
ʃ i ¹	ʃ i ¹
tsʰ ɨ ²	tsʰ ɿ ²
l y ¹	l y ³
ˀɲ a ²	ˀn e̠ ³
ˀm j e̠ ¹	ˀm j e̠ ¹
m e ³	m ɨ ²
m a ŋ ²	m a ŋ ²
tʰ a ²	tʰ a ²
ɣ y ¹	ɣ i ¹
g a ²	g a ²
m i̠ ²	m o ²
n u ²	n i ²
ɣ e̠ ¹	x i ¹
b i ² ¹	b ɨ ¹
b e̠ ¹	b e̠ ¹
p u ³	p u ¹
kʰ j ɛ ²	kʰ ɛ ²
ɣ a ²	ɣ a ŋ ²
ɣ ɨ ¹	ɣ ɨ ¹
ɣ a ²	ɣ a ŋ ²
b y ¹	b y ¹
m ²	m̩ ²
h a ¹	h a ¹
m a ³	m a ³
n u ²	n̩ ²
dz ɛ ²	dz ɛ ²
h a ¹	h a ¹
k a ²	k a ŋ ²
tʃʰ ɨ ²	tʃʰ ɨ ²
h e ¹	h e ¹
kʰ o̠ ³	kʰ o̠ ³
ɣ ¹	n̩ ²
tsʰ ɨ ³	tsʰ i̠ ¹
pʰ e̠ ³	pʰ e̠ ¹
ˀl a ¹	ˀl a ¹
ɣ a ²	dz a ŋ ²
ʒ a ²	dz a ¹
b u ³	pʰ u ²
ɣ u ¹	pʰ u ¹
ʒ o ¹	ʒ u ¹
ʒ ²	i ²
ˀn e ¹	n e ¹
z i ²	z i ²
ɣ a ²	ɣ a ŋ ²
ɣ ɨ ¹	ɣ i ¹
m ɨ ¹	m ɨ ¹
g j o ³	g j ɛ ²
m a ¹	m a ¹
p a̠ ³	p a̠ ³
l y ¹	l y ¹
g a ²	g a ²
kʰ a ¹	g a ³
g j o̠ ³	g o̠ ³
ˀn a ¹	ˀn a ¹
b a ³	b a ³
s i̠ ¹	s i̠ ¹
ɣ ɛ ²	m ɛ ²
n a ²	n a ²
k ɨ ¹	k ɨ ¹
ŋ i ³	ˀn i ³
b a ²	b a ²
s ɛ ²	s e ²
d i ¹	d i ¹
dz a ³	ɣ o ²
s a ²	tsʰ i ²
a ²	a ²
ʒ i̠ ³	ʒ i̠ ³
ʒ e ²	dz e ²
k o̠ ³	k o̠ ¹
m a ³	m a ³
ɣ ² ¹	m u ²
ɣ ɛ ²	s y ²
n u ²	n i ²
t ɛ ¹	t ɛ ¹
a ¹	a ¹
ʃ j a ¹	s y ¹
ɲ i ¹	ˀn i ¹
k e̠ ²	k j ɛ ²
ˀx ɨ ²	x ɛ ²
b y ³	b y ³
l a ¹	tʃ a ¹
ɣ i ¹	ɣ i ¹
b o ²	b o ²
a ¹	a ¹
a ²	a ²
k a ³	k a ŋ ²
tʃʰ o̠ ¹	tʃʰ o̠ ¹
x a ¹	k u ³
b i̠ ²	b i ²
pʰ ɛ ³	p ɛ ³
ˀn a ¹	ˀn a ¹
a ¹	a ¹
s y ²	s y ²
k ɛ ¹	k ɛ ¹
s i̠ ¹	s i̠ ¹
d o̠ ¹	d o̠ ¹
ɣ i ¹	ɣ ɨ ¹
tʰ a ŋ ²	tʰ a ŋ ²
p ɨ ²	p ɨ ²
b y ¹	b y ¹
ŋ a ¹	ŋ a ¹
a ¹	a ¹
b y ²	b a ²
pʰ a̠ ¹	p a̠ ³
pʰ a ¹	pʰ j a ¹
tʃ i ¹	tʃ ɨ̠ ¹
s y ¹	s y ¹
s a ¹	s a ¹
d ɛ ²	d ɛ ²
g i ²	g j u ²
ˀn i ²	n i ²
z a ²	z a ²
v ɛ̠ ³	v ɛ̠ ³
p a̠ ³	p a̠ ³
b i ¹	b i ¹
g y ¹	g y ¹
ɣ e̠ ²	b y ²
a e ²	dz i ²
m o ²	m e ²
ʃ a ²	ʃ a ²
ˀn a ²	ˀn a ²
kʰ a ŋ ¹	ts u ¹
b a ŋ ²	v a ŋ ²
ɣ e ²	v y ²
l o̠ ¹	l u̠ ¹
ʒ y ¹	ˀn y ¹
ɣ i̠ ³	ɣ ɛ̠ ³
k a ²	k j o ²
ɣ a̠ ²	n a ²
m a ŋ ¹	m a ŋ ³
ɣ ²	a ²
tʰ a ²	tʰ a ²
m ɛ̠ ²	m ɛ ²
ʃ ɛ ¹	ʃ ɛ ¹
ʃ a ¹	ʃ a ¹
k e̠ ²	k j e ²
b ɛ ¹	b ɛ ¹
pʰ i ²	pʰ e ¹
kʰ u ³	k a ²
ˀn y̠ ³	ˀn y̠ ³
k y ¹	k o̠ ³
ɣ a̠ ¹	x a̠ ³
k i ¹	tʰ u ³
dz a ¹	dz a ¹
a ¹	a ¹
ɣ i ²	p y̠ ¹
ˀm a ²	m a ²
n u ²	n u ²
ˀn a ²	ˀn a ²
tsʰ a ²	tsʰ a ²
dz i ¹	tʰ a ²
s i̠ ³ ¹	d u ¹
pʰ e̠ ³	pʰ e̠ ³
ˀm j e ¹	ˀm i ¹
g o̠ ¹	g j o̠ ¹
a ¹	a ¹
l a ¹	l a ¹
ɣ y ¹	ɣ a ŋ ¹
k u ³	k ɛ ³
s ¹	ɨ̠ ¹
ˀn a ²	ˀn a ²
s i ²	s i ²
ɣ a ²	ɣ a ²
b u ¹	b e ³
g o ¹	g u ¹
ˀl y ³	ˀl u ³
s i̠ ¹	s i̠ ¹
ˀm j e̠ ¹	ˀm j e̠ ¹
t o̠ ¹	t o̠ ³
d e̠ ³	d ɛ̠ ³
tsʰ y ¹	tsʰ y ¹
b e̠ ³	b e̠ ³
n e̠ ³	ˀn e̠ ³
tʃʰ e ¹	tʃʰ e ¹
m ²	m u ²
v i̠ ³	v i̠ ³
ɣ ɛ ²	ɣ ɛ ²
kʰ ɨ ³	kʰ ɨ̠ ³
s i̠ ¹	s i̠ ¹
d o̠ ³	ts a ŋ ³
p y ¹	p y ¹
m o ¹	m u ¹
g a ³	g a̠ ³
l ¹	e̠ ¹
ɣ ɨ ²	ɣ ɨ ²
k o̠ ¹	n u ²
d y ³	d a ŋ ¹
ts a ¹	ts a ¹
m o̠ ¹	m o̠ ¹
ɣ u ²	ˀx o̠ ¹
pʰ y̠ ³	pʰ y̠ ³
n a ŋ ¹	n a ¹
ɲ j a ³	ɲ a̠ ³
n u ²	n̩ ²
tʃ ɨ ³	tʃ ɨ̠ ¹
l e̠ ³	l e̠ ³
z i ³	z i ³
kʰ ɨ ¹	kʰ i ¹
k a ŋ ¹	k a ŋ ¹
k e̠ ²	k j e ²
v ɛ ¹	v ɛ ¹
h a ¹	h a ¹
p a̠ ³	p a̠ ³
g u ³	g u ³
ʃ a̠ ³	ʃ a̠ ³
ɣ i ²	tʃʰ e ²
