b i ¹	b ui ¹
ˀt a ²	ˀt a ²
ˀt u ²	d ʊ ²
b i ¹	b i ¹
p j a ³	p j ɛ ³
d a p ⁴	ˀt a ŋ ²
g j a ²	g j a ²
m u ²	m u ²
j a k ⁴	j u k ⁴
w a t ⁴	w a p ⁴
ʃ i ¹	ʃ i ³
ʃ a ²	ʃ e ²
g r p k ⁴	ˀk j u ¹
g u k ⁴	g u k ⁴
p a k ⁴	p a k ⁴
b i k ⁴	ˀp i k ⁴
p i k ⁴	p i k ⁴
t a t ⁴	d a t ⁴
m a ²	m a ³
m a k ⁴	m i k ⁴
b i m ¹	b u m ¹
k a k ⁴	ˀtʃ a k ⁴
p a k ⁴	p u k ⁴
l i ¹	l i ¹
m a i ŋ ⁴	dz i ŋ ¹
ŋ p ²	ˀɲ u ²
g a ŋ ²	g a ŋ ²
b r i ŋ ⁴	b r i ŋ ³
b j a ⁴	b j a m ¹
l a ŋ ³	l a ŋ ³
p a ŋ ²	t u ŋ ²
b j a k ⁴	b j a k ⁴
ʔ i t ⁴	ˀts u t ⁴
p a p ⁴	ˀr a k ⁴
w a ŋ ¹	w a ŋ ¹
m u ⁴	m i ³
b r p k ¹	m j i ¹
d a ²	d ai ²
ŋ a k ⁴	ˀŋ a k ⁴
s i ŋ ²	s i ŋ ²
l a p ⁴	ˀl a p ⁴
ts a k ⁴	ˀts u ²
ˀt a ŋ ¹	d u ŋ ¹
p a ¹	ˀm ai ¹
m j u k ⁴	m j u k ⁴
ŋ i ⁴	n i ³
k a ²	ˀk u ²
a ŋ ²	ʔ u ŋ ²
j i k ⁴	ˀj i k ⁴
g r a ⁴	g r a ²
ŋ j a k ⁴	ŋ j a k ⁴
s a ²	ˀr a ²
t a ⁴	d ʊ ¹
w a m ³	w a m ³
d a ²	tʃ u ²
ˀk a ²	g u ²
ʃ a ²	ʃ a ²
n a m ²	n a m ²
l i ²	l i ²
j a ¹	j a ¹
p i ŋ ³	t i ŋ ³
n a ³	ˀn ai ³
a a p ⁴	tʃ a p ⁴
p j a ⁴	b j a ¹
ʃ a ¹	ʃ a m ¹
k a n ²	g a n ²
a a ŋ ²	l a ŋ ²
j a ŋ ²	j a ŋ ²
g a k ⁴	ˀtʃ a t ⁴
b r a ²	ˀp r ɛ ²
p j a ¹	p j a ¹
m a p ²	m a t ⁴
s u m ²	s u m ²
ˀn a p ⁴	ˀn a p ⁴
p a p ⁴	dʒ i m ¹
g j i k ⁴	ˀk j a k ⁴
ˀt a ¹	d u ²
j a m ²	j a m ²
p a ŋ ¹	p a ŋ ¹
ʔ a ²	ˀr o ²
ŋ a ²	ŋ a ²
m a ŋ ¹	k r a ¹
g i p ⁴	ˀs u t ⁴
ts a ²	ts a ²
g i k ⁴	g i k ⁴
ŋ ai ⁴	ŋ ai ¹
ʃ u k ⁴	ʃ u k ⁴
ˀj i p ⁴	j i p ⁴
g a k ⁴	g r a k ⁴
b i p ⁴	b u p ⁴
ŋ a ¹	ŋ u ¹
s i k ⁴	s u t ⁴
n i k ⁴	n i k ⁴
g r a ⁴	g r a ³
s a ²	ʃ o ²
s a ŋ ¹	s a ŋ ¹
p a ¹	ˀl ai ¹
m r u ¹	m j u ¹
ʔ a p ⁴	ˀk a m ¹
ʔ a p ⁴	ˀt o ŋ ²
d a ŋ ¹	d a m ¹
ʔ a p ⁴	w a k ⁴
b i k ⁴	b i k ⁴
p a p ⁴	ˀts a t ⁴
b p ¹	ˀp e ¹
ˀt a ²	dz e ²
t a ⁴	ˀt a ³
ˀt a ⁴	d a ŋ ²
a ²	ʔ ʊ ²
m j i ²	n e ²
g j a ³	g j a ³
j a k ⁴	t a k ⁴
g a p ⁴	ŋ a n ¹
p a ²	m e ²
g j a m ⁴	g j a m ²
k j u ²	k j u ³
ʔ m u ¹	m u ¹
a ¹	ʔ a ¹
p a p ⁴	tʃ a k ⁴
g i ²	g r e ²
m a ŋ ³	m a ŋ ³
ŋ a p ⁴	ˀŋ a p ⁴
s a ⁴	n ai ¹
j a ¹	j a ŋ ¹
ʃ a ⁴	ʃ a ¹
b a ¹	b a ¹
p a ³	ˀl ai ³
tʃ a ¹	tʃ i ¹
ts a m ¹	ts a m ¹
d i ŋ ³	ˀt i ŋ ³
a ¹	ʔ ʊ ¹
m a n ³	m a n ³
b r a ¹	ˀp r o ¹
l i ŋ ²	l i ŋ ²
dʒ ɛ p ⁴	dʒ a p ⁴
s a ŋ ²	dz a ²
b i ¹	n i ¹
k j a m ¹	k j a m ¹
g a m ¹	g a m ¹
g p ⁴ ⁴	ˀk j i ²
s a ²	s ɛ ²
b a n ²	b a n ²
d i ŋ ²	d i ŋ ²
dʒ a k ⁴	dʒ a k ⁴
k a ⁴	k a m ¹
b a ŋ ²	t a ŋ ²
g r p k ⁴	g r o k ⁴
m j a ²	m j a ²
ʔ a ŋ ²	n i ŋ ²
a k ⁴	r a k ⁴
s i ŋ ¹	ˀr i ŋ ¹
b a ²	ˀp a ²
b r a ¹	b r ɛ ¹
w a ¹	w ai ¹
p j a ŋ ⁴	b j i ŋ ¹
dʒ i ŋ ³	dʒ i ŋ ³
ˀt a p ⁴	ˀt a p ⁴
b j p p ⁴	ˀp j a t ⁴
ts a ⁴	ˀts ai ¹
p j a ⁴	b j ɛ ¹
b a p ⁴	b i ²
k j a p ⁴	k r u p ⁴
ʔ a p ⁴	ˀj u k ⁴
ʔ a ⁴	ˀs e ¹
k j i k ⁴	k j i k ⁴
g j p p ⁴	ˀk j a p ⁴
tʃ a ŋ ³	tʃ a ŋ ³
ˀt o ²	d o ²
dʒ a a ⁴	dʒ a ²
k r i ¹	ˀk j ai ³
ʔ a p	ˀs ai ²
m a k ⁴	m a k ⁴
k a k ⁴	r u k ⁴
a m ¹	ʔ a m ¹
w a ¹	w a ¹
ŋ a ⁴	n a p ⁴
dʒ a p ⁴	ˀtʃ a p ⁴
ˀp r a ¹	p r o ¹
p a p ⁴	k a k ⁴
b r i ²	b j e ²
g a t ⁴	ˀk a t ⁴
g r i ⁴	g j e ¹
ˀl a ³	l a ³
g a n ²	dz a n ²
d a p ⁴	ˀt a k ⁴
ŋ a ¹	ˀŋ a ¹
p i k ⁴	k i k ⁴
n ɛ ¹	n ɛ ¹
g i k ⁴	ˀk i k ⁴
ŋ a u ⁴	ɲ u ¹
p a ŋ ²	t a ŋ ³
p a p ⁴	k a p ⁴
p a ²	m ai ²
s ui ²	ˀs ui ²
k j a ŋ ²	k r u ŋ ²
j a ⁴	ˀn i k ⁴
ˀn a ¹	ˀn a ¹
g j a ¹	g j ɛ ¹
g j p ²	ˀk j u ³
ŋ j a p ⁴	ŋ j a t ⁴
m j a ŋ ²	m j a ŋ ²
n a ³	n u ³
b a ²	b a ³
k o ²	k o ²
k ai ²	k ai ²
l a k ⁴	l a k ⁴
ˀn a ŋ ¹	ˀn a ŋ ¹
g a ⁴	dz a ¹
j a k ⁴	m j a k ⁴
ˀk a ŋ ¹	g a ŋ ¹
ˀk j u k ⁴	ˀk r u k ⁴
ˀt a k ⁴	d a k ⁴
b a n ¹	b a n ¹
l a p ⁴	l u m ¹
l a m ¹	l a m ¹
